time,alb_CP1,lat_CP1,lon_CP1,cloud_CP1
2021-06-17,0.5991,,,0.0027
2021-06-18,0.6012,,,0.0395
2021-06-19,0.5905,,,0.2933
2021-06-20,0.6251,,,0.7683
2021-06-21,0.6333,,,0.413
2021-06-22,0.6154,,,0.0754
2021-06-23,0.6021,,,0.3692
2021-06-24,0.6207,,,0.8173
2021-06-25,0.6278,,,0.9285
2021-06-26,0.6313,,,0.6791
2021-06-27,0.6038,,,0.5088
2021-06-28,0.6296,,,0.8898
2021-06-29,0.6463,,,0.8933
2021-06-30,0.6227,,,0.8892
2021-07-01,0.7099,,,0.4777
2021-07-02,0.6241,,,0.0693
2021-07-03,0.6299,,,0.6087
2021-07-04,0.6408,,,0.9274
2021-07-05,0.6625,,,0.8578
2021-07-06,0.6877,,,0.6145
2021-07-07,0.6434,,,0.8448
2021-07-08,0.6776,,,0.5188
2021-07-09,0.6174,,,0.0315
2021-07-10,0.6267,,,0.0606
2021-07-11,0.6217,,,0.3055
2021-07-12,0.5902,,,0.1506
2021-07-13,0.6588,,,0.5149
2021-07-14,0.6426,,,0.9604
2021-07-15,0.6444,,,0.8628
2021-07-16,0.6528,,,0.2219
2021-07-17,0.62,,,0.1566
2021-07-18,0.6073,,,0.4425
2021-07-19,0.589,69.872425,-47.036582,0.8934
2021-07-20,0.6877,,,0.9399
2021-07-21,0.6452,,,0.4264
2021-07-22,0.6978,,,0.2511
2021-07-23,0.6238,,,0.7835
2021-07-24,0.6152,,,0.3744
2021-07-25,0.6108,,,0.3728
2021-07-26,0.6281,,,0.8365
2021-07-27,0.6106,,,0.8765
2021-07-28,0.5527,,,0.2859
2021-07-29,0.5866,,,0.3839
2021-07-30,0.5643,,,0.0382
2021-07-31,0.5599,,,0.0054
2021-08-01,0.5637,,,0.0438
2021-08-02,0.5621,,,0.1371
2021-08-03,0.5678,,,0.0939
2021-08-04,0.5688,,,0.0664
2021-08-05,0.6637,,,0.1047
2021-08-06,0.6277,,,0.7416
2021-08-07,0.6064,,,0.5189
2021-08-08,0.619,,,0.7796
2021-08-09,0.6166,,,0.7193
2021-08-10,0.6183,,,0.107
2021-08-11,0.6347,,,0.8884
2021-08-12,0.6604,,,0.8343
2021-08-13,0.6091,,,0.9542
2021-08-14,0.5931,69.872399,-47.036742,0.9999
2021-08-15,0.6051,,,0.9419
2021-08-16,0.6138,,,0.9141
2021-08-17,0.6155,,,0.4842
2021-08-18,0.5739,,,0.9919
2021-08-19,0.5766,69.872391,-47.036788,0.3636
2021-08-20,0.5921,,,0.1334
2021-08-21,0.5653,,,0.3275
2021-08-22,0.5997,,,0.3571
2021-08-23,0.6166,,,0.2379
2021-08-24,0.6005,,,0.3653
2021-08-25,0.6297,,,0.8955
2021-08-26,0.6318,,,0.8911
2021-08-27,0.6336,,,0.7953
2021-08-28,0.7144,,,0.6277
2021-08-29,0.6347,,,0.8303
2021-08-30,0.7044,,,0.6064
2021-08-31,0.6977,,,0.3941
2021-09-01,0.6778,,,0.3182
2021-09-02,0.5995,,,0.6934
2021-09-03,0.6089,,,0.7932
2021-09-04,0.5887,,,0.7318
2021-09-05,0.5653,,,0.238
2021-09-06,0.571,,,0.3229
2021-09-07,0.6262,,,0.8608
2021-09-08,0.68,,,0.8081
2021-09-09,0.6448,,,0.8272
2021-09-10,0.6929,,,0.515
2021-09-11,0.6206,,,0.1156
2021-09-12,0.6397,,,0.863
2021-09-13,0.6498,,,0.6028
2021-09-14,0.6307,,,0.8211
2021-09-15,0.6553,,,0.899
2021-09-16,0.6862,,,0.2858
2021-09-17,0.6056,,,0.1494
2021-09-18,0.6398,,,0.1344
2021-09-19,0.6875,,,0.1867
2021-09-20,0.6502,,,0.4347
2021-09-21,0.6113,,,0.7977
2021-09-22,0.7451,,,0.9297
2021-09-23,0.8182,,,0.7899
2022-06-15,0.8544,69.872126,-47.038722,0.038
2022-06-16,0.8161,69.872124,-47.038736,0.1524
2022-06-17,0.8241,69.872127,-47.038742,0.5254
2022-06-18,0.9045,69.872127,-47.038751,0.95
2022-06-19,0.8812,69.872125,-47.038756,0.276
2022-06-20,0.8044,69.872123,-47.038766,0.2761
2022-06-21,0.806,69.872118,-47.038783,0.9157
2022-06-22,0.8369,69.872122,-47.038782,0.8732
2022-06-23,0.8492,69.872118,-47.038793,0.8743
2022-06-24,0.9091,69.872122,-47.038802,0.8456
2022-06-25,0.8243,69.872118,-47.038793,0.2503
2022-06-26,0.8115,69.872117,-47.038811,0.2284
2022-06-27,0.8091,69.872113,-47.038808,0.174
2022-06-28,0.8373,69.872114,-47.038831,0.4467
2022-06-29,0.8919,69.872118,-47.038813,0.8297
2022-06-30,0.8418,69.87212,-47.038818,0.8899
2022-07-01,0.7768,69.872117,-47.038829,0.1817
2022-07-02,0.8427,69.872119,-47.038826,0.8893
2022-07-03,0.7635,69.872115,-47.038832,0.166
2022-07-04,0.7895,69.872116,-47.038843,0.1834
2022-07-05,0.8136,69.872106,-47.038843,0.7777
2022-07-06,0.823,69.872107,-47.038855,0.6453
2022-07-07,0.8014,69.872105,-47.038856,0.929
2022-07-08,0.8322,69.872106,-47.038868,0.5979
2022-07-09,0.762,69.872104,-47.038868,0.1386
2022-07-10,0.7577,69.872107,-47.038872,0.166
2022-07-11,0.7675,69.872107,-47.03888,0.2387
2022-07-12,0.8516,69.872105,-47.038875,0.9385
2022-07-13,0.8668,69.872102,-47.038893,0.6651
2022-07-14,0.7749,69.872105,-47.038892,0.1337
2022-07-15,0.7941,69.872101,-47.038898,0.3618
2022-07-16,0.7801,69.872096,-47.038908,0.3331
2022-07-17,0.7684,69.872097,-47.03891,0.4362
2022-07-18,0.8143,69.872091,-47.038922,0.8864
2022-07-19,0.7861,69.872094,-47.038932,0.5707
2022-07-20,0.7724,69.872094,-47.038931,0.2755
2022-07-21,0.8224,69.872093,-47.038958,0.8901
2022-07-22,0.8066,69.87209,-47.038955,0.8095
2022-07-23,0.8692,69.872089,-47.038967,0.9959
2022-07-24,0.8329,69.872085,-47.038972,0.7
2022-07-25,0.8334,69.872089,-47.038975,0.6428
2022-07-26,0.8724,69.872093,-47.038992,0.8018
2022-07-27,0.8431,69.872094,-47.038992,0.8634
2022-07-28,0.8773,69.872089,-47.03899,0.6347
2022-07-29,0.7869,69.872093,-47.039003,0.2326
2022-07-30,0.8307,69.87209,-47.039009,0.8355
2022-07-31,0.7753,69.872088,-47.039011,0.3697
2022-08-01,0.7684,69.872087,-47.039027,0.1512
2022-08-02,0.8637,69.87208,-47.039026,0.8635
2022-08-03,0.7813,69.872084,-47.039031,0.4822
2022-08-04,0.8701,69.872081,-47.03904,0.9194
2022-08-05,0.9089,69.872076,-47.039047,0.9581
2022-08-06,0.8833,69.872078,-47.039061,0.6578
2022-08-07,0.8548,69.872076,-47.039072,0.4431
2022-08-08,0.8256,69.872069,-47.039073,0.7075
2022-08-09,0.9325,69.872067,-47.039077,0.9695
2022-08-10,0.8824,69.872069,-47.039091,0.87
2022-08-11,0.8384,69.872066,-47.039104,0.8394
2022-08-12,0.9111,69.872065,-47.0391,0.9344
2022-08-13,0.8274,69.872071,-47.039099,0.4009
2022-08-14,0.8365,69.872065,-47.039112,0.6364
2022-08-15,0.8318,69.872069,-47.039123,0.7645
2022-08-16,0.8775,69.872064,-47.039121,0.8885
2022-08-17,0.8799,69.872066,-47.039131,0.8493
2022-08-18,0.8623,69.872061,-47.039135,0.9759
2022-08-19,0.8164,69.872061,-47.039142,0.5615
2022-08-20,0.8489,69.872057,-47.03914,0.4433
2022-08-21,0.8919,69.872061,-47.039156,0.7011
2022-08-22,0.8837,69.872059,-47.03916,0.8724
2022-08-23,0.8921,69.872053,-47.039169,0.9063
2022-08-24,0.9071,69.872047,-47.039182,0.6324
2022-08-25,0.8449,69.872051,-47.039177,0.6131
2022-08-26,0.8889,69.872053,-47.039187,0.9014
2022-08-27,0.9367,69.872054,-47.039209,0.5676
