time,alb_EGP,lat_EGP,lon_EGP,cloud_EGP
2017-05-01,0.824,75.624933,-35.974062,0.3702
2017-05-02,0.8279,75.624938,-35.974067,0.3417
2017-05-03,0.8355,75.624938,-35.974059,0.3821
2017-05-04,0.8418,75.624933,-35.974063,0.2746
2017-05-05,0.8352,75.624937,-35.974086,0.4855
2017-05-06,0.8111,75.624937,-35.974056,0.5008
2017-05-07,0.8069,75.624945,-35.974058,0.4811
2017-05-08,0.8222,75.624944,-35.974051,0.4846
2017-05-09,0.8262,75.624942,-35.974066,0.4344
2017-05-10,0.8303,75.624942,-35.974062,0.3164
2017-05-11,0.8203,75.624942,-35.974037,0.4464
2017-05-12,0.7781,75.624946,-35.97402,0.3581
2017-05-13,0.8158,75.624946,-35.974029,0.2045
2017-05-14,0.8206,75.62495,-35.974025,0.2623
2017-05-15,0.8028,75.624949,-35.974047,0.3321
2017-05-16,0.7679,75.624946,-35.974053,0.3094
2017-05-17,0.8003,75.624842,-35.97448,0.4796
2017-05-18,0.8264,75.624844,-35.974472,0.3902
2017-05-19,0.7986,75.624843,-35.974482,0.305
2017-05-20,0.8178,75.624847,-35.974473,0.2225
2017-05-21,0.7942,75.624842,-35.974467,0.3072
2017-05-22,0.7824,75.624855,-35.974476,0.2746
2017-05-23,0.752,75.624855,-35.974468,0.2277
2017-05-24,0.8138,75.624857,-35.974475,0.2612
2017-05-25,0.8178,75.624856,-35.974462,0.2837
2017-05-26,0.8143,75.624862,-35.974462,0.3179
2017-05-27,0.8074,75.624867,-35.974447,0.4604
2017-05-28,0.8192,75.624862,-35.974469,0.261
2017-05-29,0.8164,75.624865,-35.974464,0.2791
2017-05-30,0.8055,75.624871,-35.974458,0.2771
2017-05-31,0.8042,75.624865,-35.974438,0.2225
2017-06-01,0.8151,75.624866,-35.974449,0.3921
2017-06-02,0.8101,75.624868,-35.974436,0.2149
2017-06-03,0.8099,75.624872,-35.974439,0.2354
2017-06-04,0.7388,75.624871,-35.974438,0.3161
2017-06-05,0.7967,75.624866,-35.97442,0.2322
2017-06-06,0.793,75.624874,-35.974436,0.2862
2017-06-07,0.796,75.624872,-35.974429,0.3085
2017-06-08,0.8228,75.624876,-35.974436,0.5212
2017-06-09,0.8602,75.624877,-35.97443,0.8511
2017-06-10,0.8421,75.624883,-35.974436,0.5682
2017-06-11,0.8154,75.624886,-35.974428,0.1947
2017-06-12,0.81,75.624884,-35.974424,0.3704
2017-06-13,0.798,75.624882,-35.974423,0.514
2017-06-14,0.7916,75.624885,-35.974418,0.5491
2017-06-15,0.8047,75.624885,-35.974418,0.2056
2017-06-16,0.7918,75.624889,-35.974407,0.3365
2017-06-17,0.8162,75.624888,-35.974413,0.2277
2017-06-18,0.8081,75.624888,-35.974391,0.6543
2017-06-19,0.7925,75.624891,-35.974409,0.6446
2017-06-20,0.8196,75.624891,-35.974392,0.257
2017-06-21,0.8071,75.62489,-35.974386,0.2996
2017-06-22,0.7977,75.624894,-35.974389,0.228
2017-06-23,0.7665,75.624894,-35.974385,0.2672
2017-06-24,0.7869,75.6249,-35.974383,0.349
2017-06-25,0.7929,75.6249,-35.974377,0.3435
2017-06-26,0.7974,75.624904,-35.97438,0.4502
2017-06-27,0.8361,75.624898,-35.974364,0.6746
2017-06-28,0.8203,75.624901,-35.974371,0.4795
2017-06-29,0.8258,75.624908,-35.974358,0.4476
2017-06-30,0.825,75.624903,-35.974356,0.508
2017-07-01,0.7907,75.624903,-35.97436,0.2433
2017-07-02,0.7811,75.624912,-35.974371,0.2101
2017-07-03,0.8253,75.624906,-35.974354,0.7204
2017-07-04,0.8009,75.624907,-35.974347,0.3573
2017-07-05,0.778,75.624913,-35.974355,0.2854
2017-07-06,0.7834,75.62491,-35.974341,0.2741
2017-07-07,0.7715,75.624916,-35.974338,0.2278
2017-07-08,0.7771,75.624914,-35.974332,0.2219
2017-07-09,0.7883,75.624918,-35.974334,0.4073
2017-07-10,0.7423,75.624918,-35.974332,0.493
2017-07-11,0.7778,75.624921,-35.974335,0.2569
2017-07-12,0.777,75.624919,-35.974335,0.3426
2017-07-13,0.7741,75.62492,-35.974317,0.2641
2017-07-14,0.7674,75.624923,-35.974314,0.1777
2017-07-15,0.8105,75.624922,-35.974296,0.4815
2017-07-16,0.8088,75.624922,-35.974312,0.2337
2017-07-17,0.8339,75.624925,-35.97432,0.7027
2017-07-18,0.8288,75.624924,-35.974312,0.6526
2017-07-19,0.8184,75.624925,-35.974303,0.4223
2017-07-20,0.8022,75.624933,-35.974316,0.4256
2017-07-21,0.8497,75.624927,-35.97431,0.6711
2017-07-22,0.8011,75.62493,-35.974289,0.3258
2017-07-23,0.8184,75.624933,-35.974299,0.5071
2017-07-24,0.7946,75.624934,-35.974293,0.3473
2017-07-25,0.8134,75.624933,-35.974267,0.3481
2017-07-26,0.8047,75.624935,-35.974279,0.3717
2017-07-27,0.8407,75.624936,-35.974279,0.8253
2017-07-28,0.7965,75.624936,-35.97428,0.4076
2017-07-29,0.7868,75.624939,-35.974264,0.2654
2017-07-30,0.7879,75.624933,-35.974239,0.2885
2017-07-31,0.7855,75.624942,-35.974277,0.3017
2017-08-01,0.7762,75.624942,-35.974267,0.3613
2017-08-02,0.8018,75.624938,-35.974271,0.4729
2017-08-03,0.9026,75.624945,-35.974271,0.8304
2017-08-04,0.8625,75.624945,-35.974251,0.7936
2017-08-05,0.7809,75.62495,-35.974248,0.5684
2017-08-06,0.8382,75.624948,-35.97424,0.5477
2017-08-07,0.8299,75.624951,-35.974248,0.5707
2017-08-08,0.7993,75.624951,-35.974229,0.5522
2017-08-09,0.8359,75.624949,-35.974236,0.7095
2017-08-10,0.8491,75.624953,-35.974243,0.7885
2017-08-11,0.846,75.624954,-35.974231,0.6417
2017-08-12,0.8462,75.624953,-35.97423,0.7107
2017-08-13,0.8619,75.624958,-35.974246,0.7393
2017-08-14,0.8437,75.624954,-35.974214,0.6759
2017-08-15,0.846,75.624954,-35.974216,0.8056
2017-08-16,0.8442,75.624955,-35.974221,0.6746
2017-08-17,0.8161,75.624957,-35.974213,0.6642
2017-08-18,0.8131,75.62496,-35.974224,0.6427
2017-08-19,0.8222,75.624967,-35.97422,0.7303
2017-08-20,0.7024,75.624963,-35.974197,0.7225
2017-08-21,0.8946,75.624964,-35.974198,0.9879
2017-08-22,0.8405,75.624968,-35.974194,0.7542
2017-08-23,0.8011,75.624968,-35.974198,0.4563
2017-08-24,0.7824,75.624967,-35.974186,0.2911
2017-08-25,0.7599,75.624964,-35.974158,0.62
2017-08-26,0.8191,75.624973,-35.974195,0.6072
2017-08-27,0.8327,75.624969,-35.97419,0.6529
2017-08-28,0.8352,75.624971,-35.974165,0.7525
2017-08-29,0.8258,75.624977,-35.974175,0.5202
2017-08-30,0.8369,75.624977,-35.974172,0.5918
2017-08-31,0.8551,75.624974,-35.974179,0.5723
2017-09-01,0.849,75.624982,-35.974162,0.858
2017-09-02,0.844,75.624977,-35.974173,0.7667
2017-09-03,0.829,75.62498,-35.974162,0.679
2017-09-04,0.8584,75.62498,-35.974161,0.9182
2017-09-05,0.8548,75.624981,-35.97415,0.8163
2017-09-06,0.868,75.624982,-35.974141,0.7117
2017-09-07,0.9427,75.624986,-35.974161,0.6304
2018-05-01,0.8537,75.625262,-35.973404,0.8166
2018-05-02,0.8715,75.625256,-35.973386,0.7935
2018-05-03,0.8521,75.625264,-35.973393,0.781
2018-05-04,0.8261,75.625259,-35.973378,0.5025
2018-05-05,0.8167,75.625269,-35.973391,0.7049
2018-05-06,0.8255,75.625274,-35.97337,0.6149
2018-05-07,0.7992,75.625261,-35.97337,0.4637
2018-05-08,0.7806,75.625273,-35.973384,0.3209
2018-05-09,0.7924,75.625266,-35.973357,0.256
2018-05-10,0.8004,75.625274,-35.97336,0.3111
2018-05-11,0.7997,75.625271,-35.97338,0.3632
2018-05-12,0.7997,75.625272,-35.973365,0.2202
2018-05-13,0.8227,75.625276,-35.973368,0.6029
2018-05-14,0.808,75.625278,-35.973367,0.5257
2018-05-15,0.79,75.625275,-35.973343,0.5497
2018-05-16,0.8172,75.62528,-35.973368,0.4974
2018-05-17,0.8014,75.625282,-35.97335,0.5284
2018-05-18,0.7944,75.625281,-35.973338,0.3982
2018-05-19,0.7942,75.625283,-35.973346,0.5903
2018-05-20,0.8121,75.625282,-35.973347,0.5923
2018-05-21,0.7946,75.625288,-35.973338,0.3502
2018-05-22,0.7922,75.625285,-35.973344,0.3057
2018-05-23,0.7885,75.625287,-35.97333,0.2235
2018-05-24,0.793,75.62529,-35.97333,0.2799
2018-05-25,0.7966,75.62529,-35.973323,0.3862
2018-05-26,0.7935,75.625288,-35.973324,0.2829
2018-05-27,0.8028,75.62529,-35.973312,0.3856
2018-05-28,0.7885,75.625293,-35.973305,0.2552
2018-05-29,0.7788,75.625288,-35.973318,0.1989
2018-05-30,0.7904,75.625253,-35.973411,0.3383
2018-05-31,0.8327,75.625092,-35.973849,0.5141
2018-06-01,0.8124,75.625095,-35.973836,0.2826
2018-06-02,0.7942,75.625099,-35.97383,0.1571
2018-06-03,0.7894,75.625096,-35.973841,0.1906
2018-06-04,0.7801,75.625095,-35.973827,0.2532
