time,alb_FRE,lat_FRE,lon_FRE,cloud_FRE
2021-07-27,0.3058,74.387917,-20.832822,0.0773
2021-07-28,0.1747,74.387918,-20.83285,0.1953
2021-07-29,0.1631,74.387923,-20.832858,0.2057
2021-07-30,0.1645,74.387916,-20.832829,0.2493
2021-07-31,0.1705,74.387912,-20.83284,0.2388
2021-08-01,0.1983,74.387918,-20.83284,0.2475
2021-08-02,0.176,74.387916,-20.832843,0.3404
2021-08-03,0.2059,74.387918,-20.832846,0.324
2021-08-04,0.2555,74.387919,-20.832838,0.4195
2021-08-05,0.176,74.387917,-20.832835,0.8585
2021-08-06,0.2466,74.387913,-20.832861,0.4647
2021-08-07,0.3111,74.387917,-20.832856,0.2963
2021-08-08,0.2706,74.387912,-20.832855,0.245
2021-08-09,0.2326,74.387915,-20.832836,0.1881
2021-08-10,0.1944,74.387921,-20.832844,0.3276
2021-08-11,0.2721,74.387916,-20.832855,0.119
2021-08-12,0.2713,74.387923,-20.832868,0.2829
2021-08-13,0.2017,74.38792,-20.832836,0.7969
2021-08-14,0.2482,74.387922,-20.832848,0.7248
2021-08-15,0.2353,74.387928,-20.83288,0.4513
2021-08-16,0.1576,74.387921,-20.832847,0.338
2021-08-17,0.2137,74.38792,-20.832844,0.3046
2021-08-18,0.2774,74.38792,-20.832849,0.2944
2021-08-19,0.3089,74.387917,-20.832832,0.2354
2021-08-20,0.2885,74.387923,-20.832857,0.3298
2021-08-21,0.2898,74.387915,-20.832845,0.2077
2021-08-22,0.2782,74.387922,-20.832858,0.2221
2021-08-23,0.2381,74.387916,-20.832874,0.6731
2021-08-24,0.3636,74.387914,-20.832864,0.6934
2021-08-25,0.2011,74.387917,-20.832857,0.3063
2021-08-26,0.1358,74.387916,-20.832864,0.471
2021-08-27,0.2251,74.387914,-20.83287,0.3609
2021-08-28,0.1304,74.387915,-20.832865,0.9408
2021-08-29,0.1422,74.387914,-20.832863,0.9791
2021-08-31,0.9927,74.387915,-20.832858,0.4378
2022-05-02,0.9618,74.387943,-20.832924,0.4069
2022-05-03,0.958,74.387949,-20.832934,0.4242
2022-05-04,0.9553,74.387954,-20.832926,0.4339
2022-05-05,0.9505,74.387941,-20.832917,0.4323
2022-05-06,0.9511,74.38794,-20.832929,0.415
2022-05-07,0.9466,74.387946,-20.832935,0.4338
2022-05-08,0.9404,74.387948,-20.832931,0.4206
2022-05-09,0.9356,74.387949,-20.832923,0.4295
2022-05-10,0.9359,74.387947,-20.832928,0.4125
2022-05-11,0.9341,74.387951,-20.832924,0.4012
2022-05-12,0.9352,74.387951,-20.832924,0.4285
2022-05-13,0.9369,74.387949,-20.832913,0.4141
2022-05-14,0.9356,74.38795,-20.832916,0.4283
2022-05-15,0.9285,74.387949,-20.832925,0.3934
2022-05-16,0.9705,74.387957,-20.832944,0.3972
2022-05-17,0.9243,74.387949,-20.832942,0.3712
2022-05-18,0.9621,74.387949,-20.832928,0.5952
2022-05-19,0.9335,74.387953,-20.832934,0.5227
2022-05-20,0.9586,74.387952,-20.832921,0.704
2022-05-22,0.9689,74.387947,-20.832929,0.8237
2022-05-23,0.9732,74.387948,-20.83293,0.6934
2022-05-24,0.9465,74.387953,-20.832929,0.799
2022-05-26,0.9987,74.387953,-20.832927,0.7766
2022-05-27,0.9806,74.387951,-20.832926,0.6298
2022-05-28,0.9073,74.387946,-20.83292,0.3604
2022-05-29,0.8996,74.387951,-20.832927,0.4166
2022-05-30,0.9017,74.387952,-20.832924,0.5464
2022-05-31,0.9358,74.387956,-20.832934,0.7558
2022-06-01,0.9143,74.387954,-20.832911,0.7222
2022-06-02,0.9572,74.387954,-20.832915,0.9098
2022-06-03,0.9271,74.38796,-20.832913,0.4715
2022-06-04,0.9006,74.387949,-20.83293,0.3786
2022-06-05,0.9366,74.387956,-20.832925,0.6292
2022-06-07,0.9439,74.387958,-20.832928,0.5608
2022-06-08,0.9076,74.387956,-20.832927,0.427
2022-06-09,0.8781,74.387952,-20.832926,0.396
2022-06-10,0.8619,74.387953,-20.832923,0.4007
2022-06-11,0.9172,74.387953,-20.832937,0.6131
2022-06-12,0.9156,74.38795,-20.832941,0.8491
2022-06-13,0.919,74.387948,-20.832919,0.9357
2022-06-14,0.9122,74.387953,-20.832926,0.9547
2022-06-15,0.9147,74.38795,-20.832929,0.7292
2022-06-16,0.8755,74.387948,-20.832931,0.6004
2022-06-17,0.9522,74.387947,-20.832932,0.9258
2022-06-18,0.8758,74.387952,-20.832932,0.673
2022-06-20,0.9468,74.387948,-20.832931,0.7016
2022-06-21,0.9025,74.38795,-20.832923,0.6477
2022-06-22,0.9698,74.387953,-20.832942,0.8512
2022-06-26,0.9498,74.387954,-20.832933,0.7533
2022-06-27,0.9141,74.387954,-20.832936,0.7491
2022-06-28,0.9292,74.387956,-20.832935,0.9636
2022-06-29,0.855,74.387958,-20.832949,0.5282
2022-06-30,0.8411,74.387956,-20.832938,0.444
2022-07-01,0.876,74.387957,-20.832933,0.7472
2022-07-02,0.8405,74.387958,-20.832943,0.7775
2022-07-03,0.8769,74.387961,-20.832949,0.8513
2022-07-04,0.9969,74.387963,-20.832953,0.9346
2022-07-05,0.9205,74.387958,-20.832943,0.8841
2022-07-06,0.8449,74.38796,-20.83293,0.7701
2022-07-07,0.8409,74.387959,-20.832957,0.7099
