time,alb_HUM,lat_HUM,lon_HUM,cloud_HUM
2022-06-19,0.8114,78.528826,-56.844175,0.1241
2022-06-20,0.8298,78.528819,-56.844164,0.4764
2022-06-21,0.8824,78.528821,-56.844176,0.7218
2022-06-22,0.8338,78.528821,-56.844183,0.3
2022-06-23,0.8168,78.528829,-56.844183,0.1623
2022-06-24,0.8182,78.528833,-56.844206,0.1105
2022-06-25,0.8122,78.52883,-56.844192,0.1028
2022-06-26,0.82,78.528826,-56.844167,0.1616
2022-06-27,0.8111,78.528828,-56.844177,0.1812
2022-06-28,0.8088,78.528829,-56.844194,0.1402
2022-06-29,0.8048,78.528829,-56.844204,0.1397
2022-06-30,0.8085,78.52883,-56.844212,0.3189
2022-07-01,0.8321,78.528829,-56.844201,0.5884
2022-07-02,0.8243,78.528827,-56.844204,0.5674
2022-07-03,0.8765,78.528828,-56.844194,0.9079
2022-07-04,0.8416,78.528831,-56.844209,0.4672
2022-07-05,0.8186,78.528827,-56.844202,0.1947
2022-07-06,0.8265,78.528827,-56.844203,0.3629
2022-07-07,0.8105,78.528828,-56.844206,0.2616
2022-07-08,0.8128,78.528828,-56.84419,0.4007
2022-07-09,0.8579,78.528829,-56.844228,0.7718
2022-07-10,0.8438,78.528827,-56.844204,0.6458
2022-07-11,0.8463,78.528828,-56.8442,0.6723
2022-07-12,0.822,78.528827,-56.844202,0.3596
2022-07-13,0.882,78.528829,-56.8442,0.962
2022-07-14,0.8508,78.528827,-56.844215,0.8554
2022-07-15,0.8715,78.528828,-56.844203,0.875
2022-07-16,0.7832,78.52883,-56.844246,0.7866
2022-07-17,0.7561,78.52883,-56.844223,0.1345
2022-07-18,0.7609,78.528827,-56.844207,0.1181
2022-07-19,0.7659,78.528823,-56.844222,0.3031
2022-07-20,0.8401,78.528826,-56.844221,0.8094
2022-07-21,0.8039,78.528834,-56.844224,0.6138
2022-07-22,0.8375,78.528838,-56.844222,0.527
2022-07-23,0.7947,78.528834,-56.844217,0.3869
2022-07-24,0.7899,78.52883,-56.844216,0.3473
2022-07-25,0.7853,78.528834,-56.844226,0.173
2022-07-26,0.7876,78.528834,-56.844226,0.2128
2022-07-27,0.7845,78.528836,-56.844234,0.2533
2022-07-28,0.7858,78.528837,-56.844246,0.2021
2022-07-29,0.7862,78.528839,-56.844244,0.273
2022-07-30,0.7852,78.528835,-56.844237,0.1537
2022-07-31,0.7853,78.528837,-56.84424,0.1978
2022-08-01,0.7946,78.528837,-56.844246,0.2078
2022-08-02,0.7814,78.528834,-56.844244,0.2078
2022-08-03,0.7824,78.528834,-56.844243,0.2141
2022-08-04,0.7817,78.528835,-56.844241,0.1911
2022-08-05,0.791,78.528839,-56.844262,0.25
2022-08-06,0.7411,78.528834,-56.844259,0.2355
2022-08-07,0.8117,78.528834,-56.844246,0.2662
2022-08-08,0.8189,78.528835,-56.844246,0.7739
2022-08-09,0.7833,78.528834,-56.844242,0.4907
2022-08-10,0.8257,78.528839,-56.844268,0.8651
2022-08-11,0.8826,78.528834,-56.844253,0.9017
2022-08-12,0.8392,78.528833,-56.844224,0.7087
2022-08-13,0.8382,78.528843,-56.844247,0.643
2022-08-14,0.8322,78.528842,-56.844243,0.4388
2022-08-15,0.8231,78.528841,-56.844251,0.4486
2022-08-16,0.8164,78.52884,-56.844249,0.2135
2022-08-17,0.8202,78.528845,-56.844263,0.4538
2022-08-18,0.8307,78.52884,-56.844267,0.7999
2022-08-19,0.859,78.528841,-56.844272,0.5303
2022-08-20,0.8179,78.528844,-56.844261,0.2765
2022-08-21,0.8245,78.528842,-56.84426,0.4687
2022-08-22,0.817,78.528842,-56.844273,0.5245
2022-08-23,0.818,78.528843,-56.844273,0.2335
2022-08-24,0.8737,78.528843,-56.844277,0.6896
2022-08-25,0.8534,78.528844,-56.844268,0.2834
2022-08-26,0.8422,78.528843,-56.844264,0.2621
2022-08-27,0.8041,78.528845,-56.844275,0.3729
2022-08-28,0.833,78.528846,-56.84427,0.5502
2022-08-29,0.8047,78.528849,-56.844274,0.3662
2022-08-30,0.9302,78.528849,-56.844267,0.6184
2022-08-31,0.8404,78.528845,-56.844262,0.6628
2023-06-30,0.7589,78.528948,-56.844702,0.2438
2023-07-01,0.7501,78.528952,-56.8447,0.0787
2023-07-02,0.7483,78.528951,-56.844686,0.0232
2023-07-03,0.7459,78.528948,-56.844672,0.031
2023-07-04,0.7415,78.528935,-56.844689,0.0784
2023-07-05,0.7494,78.528943,-56.844677,0.2952
2023-07-06,0.7631,78.528941,-56.844685,0.3252
2023-07-07,0.7542,78.528948,-56.844679,0.4706
2023-07-08,0.8795,78.528944,-56.844682,0.9211
2023-07-09,0.8244,78.528951,-56.844692,0.4045
2023-07-10,0.8236,78.528937,-56.84469,0.3378
2023-07-11,0.8459,78.52894,-56.844682,0.8148
2023-07-12,0.8568,78.528949,-56.844661,0.5845
2023-07-13,0.8122,78.528939,-56.844717,0.2483
2023-07-14,0.8041,78.528952,-56.844703,0.2215
2023-07-15,0.7976,78.528963,-56.844707,0.3043
2023-07-16,0.7941,78.52895,-56.844664,0.2257
2023-07-17,0.7952,78.528954,-56.844676,0.2175
2023-07-18,0.7975,78.528955,-56.844712,0.341
2023-07-19,0.7923,78.528937,-56.844732,0.2665
2023-07-20,0.8286,78.528938,-56.844704,0.1781
2023-07-21,0.7958,78.528945,-56.844704,0.2047
2023-07-22,0.8616,78.528963,-56.844708,0.6593
2023-07-23,0.8236,78.528947,-56.844709,0.6527
2023-07-24,0.848,78.528954,-56.844715,0.8345
2023-07-25,0.8467,78.528939,-56.844701,0.5268
2023-07-26,0.8248,78.528955,-56.844746,0.4178
2023-07-27,0.837,78.528946,-56.844695,0.7846
2023-07-28,0.819,78.528943,-56.844723,0.7065
2023-07-29,0.8725,78.528947,-56.844673,0.9663
2023-07-30,0.822,78.528948,-56.844692,0.7833
2023-07-31,0.9065,78.528959,-56.844731,0.947
2023-08-01,0.8936,78.528948,-56.844733,0.9561
2023-08-02,0.8946,78.528951,-56.844751,0.9347
2023-08-03,0.8897,78.528948,-56.844731,0.9024
2023-08-04,0.8717,78.528953,-56.844712,0.8951
2023-08-05,0.8845,78.528963,-56.844684,0.9166
2023-08-06,0.8897,78.528966,-56.844706,0.9528
2023-08-07,0.8619,78.528945,-56.844694,0.82
