time,alb_KAN_L,lat_KAN_L,lon_KAN_L,cloud_KAN_L
2017-05-01,0.5838,67.095339,-49.952066,0.0619
2017-05-02,0.6142,67.095336,-49.952072,0.5915
2017-05-03,0.622,67.095337,-49.952072,0.5585
2017-05-04,0.5333,67.095335,-49.952081,0.5997
2017-05-05,0.5393,67.095334,-49.952084,0.3008
2017-05-06,0.5401,67.095335,-49.952083,0.3117
2017-05-07,0.5825,67.095337,-49.952092,0.3663
2017-05-08,0.6452,67.095337,-49.952096,0.7755
2017-05-09,0.5958,67.095336,-49.952095,0.9674
2017-05-10,0.5602,67.095335,-49.952108,0.2026
2017-05-11,0.6124,67.095329,-49.95212,0.3989
2017-05-12,0.7429,67.095334,-49.952127,0.9205
2017-05-13,0.6722,67.095332,-49.952135,0.3193
2017-05-14,0.6423,67.09533,-49.952141,0.0519
2017-05-15,0.6039,67.09533,-49.952152,0.0915
2017-05-16,0.5742,67.095333,-49.952156,0.1203
2017-05-17,0.5727,67.09533,-49.952165,0.327
2017-05-18,0.5777,67.095327,-49.952171,0.9405
2017-05-19,0.5463,67.095327,-49.952185,0.7523
2017-05-20,0.5712,67.095327,-49.952191,0.8044
2017-05-21,0.7124,67.095325,-49.952202,0.9273
2017-05-22,0.7986,67.095328,-49.952202,0.9226
2017-05-23,0.697,67.095324,-49.95221,0.7284
2017-05-24,0.6615,67.095322,-49.952227,0.8546
2017-05-25,0.593,67.095319,-49.952233,0.5333
2017-05-26,0.5988,67.09532,-49.952238,0.5728
2017-05-27,0.5722,67.095322,-49.95224,0.1711
2017-05-28,0.6878,67.095319,-49.952259,0.6982
2017-05-29,0.6373,67.095318,-49.952279,0.2952
2017-05-30,0.7281,67.095314,-49.952278,0.6479
2017-05-31,0.6412,67.095315,-49.952289,0.1169
2017-06-01,0.5798,67.095312,-49.952292,0.1251
2017-06-02,0.5746,67.095314,-49.952301,0.1006
2017-06-03,0.5638,67.095318,-49.952309,0.2768
2017-06-04,0.5704,67.095312,-49.95232,0.4791
2017-06-05,0.574,67.09531,-49.952327,0.2372
2017-06-06,0.5843,67.095309,-49.952336,0.5277
2017-06-07,0.5672,67.095307,-49.952351,0.2094
2017-06-08,0.5572,67.095305,-49.952364,0.1417
2017-06-09,0.5712,67.095306,-49.952374,0.3604
2017-06-10,0.5484,67.095303,-49.952386,0.2491
2017-06-11,0.531,67.095301,-49.952398,0.6702
2017-06-12,0.505,67.0953,-49.952416,0.2033
2017-06-13,0.5197,67.095297,-49.952426,0.2065
2017-06-14,0.516,67.095301,-49.952444,0.1096
2017-06-15,0.5088,67.095297,-49.952448,0.0948
2017-06-16,0.5379,67.095295,-49.952456,0.6701
2017-06-17,0.6236,67.095293,-49.952468,0.9594
2017-06-18,0.5585,67.095291,-49.952475,0.5817
2017-06-19,0.6307,67.095292,-49.952486,0.8835
2017-06-20,0.5681,67.095289,-49.952493,0.8069
2017-06-21,0.5698,67.095291,-49.952492,0.4607
2017-06-22,0.5609,67.095291,-49.952504,0.2601
2017-06-23,0.5326,67.095287,-49.952507,0.7487
2017-06-24,0.4957,67.095289,-49.952524,0.368
2017-06-25,0.4445,67.09529,-49.952531,0.221
2017-06-26,0.4331,67.095283,-49.952551,0.1016
2017-06-27,0.4541,67.095284,-49.952562,0.2028
2017-06-28,0.489,67.09528,-49.952586,0.3909
2017-06-29,0.495,67.095278,-49.952597,0.4709
2017-06-30,0.4991,67.095276,-49.952608,0.8229
2017-07-01,0.8901,67.095274,-49.952618,0.9341
2017-07-02,0.895,67.095274,-49.95262,0.8771
2017-07-03,0.8305,67.095276,-49.952624,0.6599
2017-07-04,0.8325,67.095272,-49.95263,0.9829
2017-07-05,0.7651,67.095272,-49.952634,0.5312
2017-07-06,0.7313,67.095272,-49.952636,0.2767
2017-07-07,0.6489,67.09527,-49.952644,0.1701
2017-07-08,0.559,67.095271,-49.952655,0.6639
2017-07-09,0.4791,67.095269,-49.952668,0.6861
2017-07-10,0.4925,67.095266,-49.952686,0.1574
2017-07-11,0.4857,67.095268,-49.952698,0.1596
2017-07-12,0.4683,67.095265,-49.952709,0.2043
2017-07-13,0.459,67.095262,-49.952717,0.2554
2017-07-14,0.4586,67.095263,-49.952731,0.4515
2017-07-15,0.4704,67.09526,-49.952739,0.3737
2017-07-16,0.7121,67.095259,-49.952759,0.8063
2017-07-17,0.6598,67.095254,-49.952764,0.8154
2017-07-18,0.5907,67.095256,-49.952764,0.4754
2017-07-19,0.4895,67.095254,-49.952771,0.847
2017-07-20,0.4429,67.095254,-49.952781,0.3929
2017-07-21,0.4878,67.095251,-49.952785,0.0365
2017-07-22,0.4839,67.095252,-49.952793,0.0733
2017-07-23,0.4935,67.095251,-49.952809,0.2265
2017-07-24,0.4418,67.095253,-49.952819,0.3634
2017-07-25,0.4262,67.095251,-49.952827,0.3318
2017-07-26,0.4294,67.095246,-49.952848,0.3016
2017-07-27,0.4192,67.095239,-49.952868,0.2829
2017-07-28,0.423,67.09524,-49.952878,0.2138
2017-07-29,0.4308,67.095243,-49.952886,0.2807
2017-07-30,0.4324,67.09524,-49.952894,0.2894
2017-07-31,0.433,67.095238,-49.952902,0.2947
2017-08-01,0.4385,67.095234,-49.952904,0.3157
2017-08-02,0.4284,67.095237,-49.952913,0.699
2017-08-03,0.4334,67.095237,-49.952914,0.2932
2017-08-04,0.4554,67.095236,-49.952922,0.1472
2017-08-05,0.4776,67.095233,-49.952922,0.3532
2017-08-06,0.4612,67.095237,-49.952932,0.2131
2017-08-07,0.4697,67.095233,-49.952937,0.5524
2017-08-08,0.4361,67.095232,-49.952953,0.1677
2017-08-09,0.418,67.095231,-49.952953,0.1814
2017-08-10,0.4183,67.095232,-49.952967,0.5086
2017-08-11,0.4231,67.095228,-49.952968,0.5011
2017-08-12,0.4435,67.09523,-49.952988,0.3188
