time,alb_KAN_M,lat_KAN_M,lon_KAN_M,cloud_KAN_M
2017-05-01,0.8028,67.066993,-48.83663,0.0787
2017-05-02,0.8021,67.066993,-48.836637,0.3134
2017-05-03,0.8063,67.066992,-48.836642,0.5
2017-05-04,0.8062,67.066992,-48.836651,0.5028
2017-05-05,0.7877,67.066993,-48.836658,0.3297
2017-05-06,0.7383,67.066995,-48.836668,0.1985
2017-05-07,0.7744,67.066996,-48.83667,0.3619
2017-05-08,0.8709,67.066995,-48.836679,0.7745
2017-05-09,0.8133,67.066995,-48.836682,0.9113
2017-05-10,0.7231,67.066997,-48.836686,0.1545
2017-05-11,0.7556,67.066995,-48.836693,0.3869
2017-05-12,0.8045,67.066997,-48.8367,0.8148
2017-05-13,0.757,67.066996,-48.836704,0.3173
2017-05-14,0.7674,67.066996,-48.836702,0.0689
2017-05-15,0.7582,67.066995,-48.836712,0.117
2017-05-16,0.7585,67.066997,-48.836724,0.1147
2017-05-17,0.7815,67.067002,-48.83673,0.3504
2017-05-18,0.826,67.066999,-48.836737,0.9238
2017-05-19,0.8073,67.067005,-48.836737,0.8633
2017-05-20,0.811,67.066999,-48.836752,0.7803
2017-05-21,0.8259,67.067001,-48.836764,0.9163
2017-05-22,0.8043,67.067002,-48.836773,0.9137
2017-05-23,0.7475,67.067001,-48.836768,0.514
2017-05-24,0.758,67.067003,-48.836776,0.5313
2017-05-25,0.731,67.067002,-48.836779,0.3775
2017-05-26,0.8318,67.067002,-48.836788,0.8026
2017-05-27,0.7581,67.067001,-48.836788,0.1626
2017-05-28,0.7871,67.067003,-48.836796,0.4306
2017-05-29,0.8022,67.067,-48.836807,0.8067
2017-05-30,0.8107,67.066999,-48.836809,0.6377
2017-05-31,0.7635,67.067003,-48.836819,0.0874
2017-06-01,0.757,67.067004,-48.836817,0.0979
2017-06-02,0.7565,67.067006,-48.836821,0.1033
2017-06-03,0.7429,67.06701,-48.836828,0.2032
2017-06-04,0.7384,67.067007,-48.836844,0.5431
2017-06-05,0.708,67.067008,-48.836851,0.1778
2017-06-06,0.7303,67.067009,-48.836852,0.4448
2017-06-07,0.7213,67.067007,-48.836857,0.1359
2017-06-08,0.7277,67.067008,-48.836865,0.2633
2017-06-09,0.7345,67.067008,-48.83687,0.3142
2017-06-10,0.7376,67.067009,-48.836874,0.2188
2017-06-11,0.7565,67.067009,-48.836875,0.7918
2017-06-12,0.6988,67.067009,-48.836892,0.1659
2017-06-13,0.7082,67.067009,-48.836887,0.1405
2017-06-14,0.6959,67.067011,-48.836897,0.0927
2017-06-15,0.6922,67.067011,-48.8369,0.0917
2017-06-16,0.7484,67.067014,-48.836904,0.5565
2017-06-17,0.8566,67.067011,-48.836915,0.9359
