time,alb_KAN_U,lat_KAN_U,lon_KAN_U,cloud_KAN_U
2017-05-01,0.8461,67.000409,-47.02649,0.4274
2017-05-02,0.8293,67.000415,-47.026518,0.278
2017-05-03,0.8823,67.000407,-47.026488,0.8101
2017-05-04,0.831,67.000411,-47.026487,0.4795
2017-05-05,0.8526,67.00041,-47.026489,0.3239
2017-05-06,0.8158,67.00041,-47.026479,0.221
2017-05-07,0.8253,67.00041,-47.026529,0.3336
2017-05-08,0.903,67.000413,-47.026481,0.8882
2017-05-09,0.9152,67.0004,-47.026512,0.9577
2017-05-10,0.805,67.000418,-47.026522,0.1386
2017-05-11,0.8178,67.000411,-47.026518,0.2066
2017-05-12,0.862,67.000406,-47.026526,0.6757
2017-05-13,0.8185,67.000407,-47.026525,0.241
2017-05-14,0.8165,67.000417,-47.026515,0.0935
2017-05-15,0.8095,67.00042,-47.026547,0.1076
2017-05-16,0.8034,67.000414,-47.026552,0.1579
2017-05-17,0.8237,67.000417,-47.026542,0.3055
2017-05-18,0.8783,67.000405,-47.026526,0.9115
2017-05-19,0.877,67.000414,-47.026556,0.9028
2017-05-20,0.8993,67.000408,-47.026551,0.8979
2017-05-21,0.8359,67.000406,-47.02654,0.8813
2017-05-22,0.7739,67.000417,-47.026533,0.2804
2017-05-23,0.7787,67.000404,-47.026535,0.4447
2017-05-24,0.7772,67.000417,-47.026562,0.3285
2017-05-25,0.7726,67.000407,-47.026561,0.27
2017-05-26,0.8385,67.000406,-47.026566,0.6053
2017-05-27,0.7733,67.000417,-47.026554,0.0867
2017-05-28,0.7917,67.00042,-47.026566,0.3266
2017-05-29,0.8237,67.000418,-47.026574,0.7893
2017-05-30,0.8596,67.000414,-47.026585,0.5831
2017-05-31,0.7908,67.000419,-47.026586,0.0842
2017-06-01,0.7884,67.000417,-47.026594,0.0984
2017-06-02,0.7861,67.000416,-47.02657,0.0929
2017-06-03,0.7858,67.000417,-47.026597,0.1105
2017-06-04,0.8743,67.000414,-47.026602,0.83
2017-06-05,0.7992,67.000411,-47.026599,0.3013
2017-06-06,0.798,67.000413,-47.026583,0.2255
2017-06-07,0.7738,67.000404,-47.026576,0.1549
2017-06-08,0.8065,67.00042,-47.026628,0.2624
2017-06-09,0.8639,67.000407,-47.026614,0.6372
2017-06-10,0.793,67.000419,-47.026626,0.171
2017-06-11,0.8177,67.00041,-47.026576,0.619
2017-06-12,0.7683,67.000417,-47.0266,0.0729
2017-06-13,0.7591,67.000414,-47.026625,0.0863
2017-06-14,0.7593,67.000418,-47.026629,0.0705
2017-06-15,0.7635,67.000423,-47.026615,0.0531
2017-06-16,0.7705,67.000421,-47.026647,0.2574
2017-06-17,0.8873,67.000418,-47.026648,0.8758
2017-06-18,0.8537,67.000411,-47.026654,0.5569
2017-06-19,0.8551,67.000411,-47.026666,0.6088
2017-06-20,0.8247,67.000418,-47.026664,0.1969
2017-06-21,0.8279,67.000411,-47.026646,0.4388
2017-06-22,0.8218,67.000413,-47.026662,0.5152
2017-06-23,0.8511,67.000408,-47.026653,0.8111
2017-06-24,0.8133,67.000413,-47.026679,0.3597
2017-06-25,0.7882,67.000413,-47.026647,0.1028
2017-06-26,0.7606,67.000416,-47.026671,0.0628
2017-06-27,0.7491,67.000414,-47.026654,0.0651
2017-06-28,0.8093,67.000404,-47.026678,0.5669
2017-06-29,0.8099,67.000414,-47.026666,0.9287
2017-06-30,0.8597,67.00041,-47.026663,0.9579
2017-07-01,0.8932,67.000415,-47.026694,0.9831
2017-07-02,0.8874,67.000415,-47.026695,0.8464
2017-07-03,0.8806,67.000411,-47.026698,0.8036
2017-07-04,0.9098,67.000409,-47.02667,0.9661
2017-07-05,0.8401,67.000413,-47.026709,0.4228
2017-07-06,0.9,67.000408,-47.026724,0.7769
