time,alb_KPC_U,lat_KPC_U,lon_KPC_U,cloud_KPC_U
2017-05-01,0.8159,79.834665,-25.165685,0.2591
2017-05-02,0.8174,79.834667,-25.165732,0.326
2017-05-03,0.8203,79.834673,-25.165612,0.2964
2017-05-04,0.812,79.834667,-25.165687,0.3755
2017-05-05,0.8119,79.834673,-25.165584,0.244
2017-05-06,0.8164,79.834664,-25.165666,0.2914
2017-05-07,0.8162,79.834675,-25.165722,0.2555
2017-05-08,0.8191,79.834672,-25.165692,0.6083
2017-05-09,0.8505,79.834672,-25.165635,0.7285
2017-05-10,0.8358,79.83467,-25.165648,0.232
2017-05-11,0.8341,79.834678,-25.165704,0.2062
2017-05-12,0.8274,79.834682,-25.165553,0.2177
2017-05-13,0.8254,79.834682,-25.165657,0.2815
2017-05-14,0.8463,79.834677,-25.165638,0.5357
2017-05-15,0.828,79.834659,-25.165719,0.223
2017-05-16,0.819,79.834671,-25.165625,0.2784
2017-05-17,0.8213,79.834676,-25.165576,0.3433
2017-05-18,0.8173,79.834682,-25.165653,0.2812
2017-05-19,0.8318,79.834674,-25.165654,0.5257
2017-05-20,0.8262,79.834682,-25.165748,0.3798
2017-05-21,0.8426,79.834686,-25.165568,0.2089
2017-05-22,0.8367,79.834665,-25.165641,0.1613
2017-05-23,0.8178,79.834675,-25.165522,0.1845
2017-05-24,0.8086,79.83469,-25.165578,0.2502
2017-05-25,0.8077,79.834676,-25.165616,0.1996
2017-05-26,0.8085,79.834668,-25.165502,0.1621
2017-05-27,0.8104,79.834674,-25.165606,0.225
2017-05-28,0.8331,79.834666,-25.165545,0.5169
2017-05-29,0.8211,79.83467,-25.16567,0.2858
2017-05-30,0.8248,79.83467,-25.165588,0.3996
2017-05-31,0.8072,79.83467,-25.165613,0.2843
2017-06-01,0.8016,79.83466,-25.165691,0.1704
2017-06-02,0.812,79.834648,-25.165765,0.2845
2017-06-03,0.8065,79.834666,-25.165603,0.1938
2017-06-04,0.8016,79.834668,-25.165596,0.2037
2017-06-05,0.7951,79.83466,-25.165634,0.1804
2017-06-06,0.7971,79.834649,-25.165714,0.1421
2017-06-07,0.7949,79.834595,-25.165292,0.2075
2017-06-08,0.7909,79.83467,-25.165666,0.2698
2017-06-09,0.7949,79.834656,-25.165698,0.6958
2017-06-10,0.7831,79.834676,-25.165573,0.5786
2017-06-11,0.7732,79.834667,-25.165581,0.7696
2017-06-12,0.7582,79.834661,-25.165724,0.23
2017-06-13,0.8222,79.834662,-25.16565,0.6964
2017-06-14,0.7701,79.834671,-25.165639,0.504
2017-06-15,0.7538,79.834674,-25.165616,0.29
2017-06-16,0.8925,79.834684,-25.165591,0.8149
2017-06-17,0.8289,79.834683,-25.165651,0.2581
2017-06-18,0.8202,79.834681,-25.165591,0.1838
2017-06-19,0.8212,79.834677,-25.165652,0.1303
2017-06-20,0.809,79.834682,-25.16566,0.2323
2017-06-21,0.8091,79.834675,-25.165708,0.3086
2017-06-22,0.7933,79.834682,-25.165708,0.461
2017-06-23,0.7633,79.834685,-25.165553,0.1303
2017-06-24,0.7737,79.834676,-25.165612,0.0859
2017-06-25,0.7631,79.834682,-25.165578,0.112
2017-06-26,0.7561,79.834685,-25.165567,0.2983
2017-06-27,0.8095,79.834685,-25.165555,0.3588
2017-06-28,0.7947,79.83469,-25.165562,0.1148
2017-06-29,0.8311,79.834693,-25.165564,0.6368
2017-06-30,0.8627,79.834687,-25.165659,0.8019
2017-07-01,0.8166,79.83469,-25.165589,0.2795
2017-07-02,0.8101,79.834694,-25.165504,0.1931
2017-07-03,0.8207,79.834688,-25.165568,0.5104
2017-07-04,0.8075,79.834692,-25.165542,0.5007
2017-07-05,0.7715,79.834687,-25.1655,0.39
2017-07-06,0.7437,79.834687,-25.165499,0.2673
2017-07-07,0.7279,79.83469,-25.165496,0.3464
2017-07-08,0.76,79.834688,-25.16557,0.7431
2017-07-09,0.7095,79.834682,-25.165548,0.1924
2017-07-10,0.7096,79.83468,-25.165498,0.0561
2017-07-11,0.7012,79.834675,-25.165575,0.0844
2017-07-12,0.6938,79.834679,-25.165524,0.1106
2017-07-13,0.6944,79.834678,-25.165519,0.1372
2017-07-14,0.6624,79.834681,-25.165576,0.1128
2017-07-15,0.6179,79.83468,-25.16553,0.1392
2017-07-16,0.5804,79.834678,-25.165528,0.1569
2017-07-17,0.6292,79.834678,-25.165576,0.6917
2017-07-18,0.5519,79.834676,-25.16557,0.9061
2017-07-19,0.4873,79.834676,-25.165538,0.2021
2017-07-20,0.4814,79.834681,-25.165493,0.0485
2017-07-21,0.53,79.834668,-25.165561,0.5935
2017-07-22,0.6794,79.834679,-25.165506,0.6911
2017-07-23,0.5906,79.83468,-25.165493,0.0613
2017-07-24,0.6094,79.83468,-25.16553,0.1457
2017-07-25,0.6227,79.83468,-25.165503,0.159
2017-07-26,0.6277,79.83468,-25.165512,0.0162
2017-07-27,0.6389,79.834684,-25.16552,0.3618
2017-07-28,0.5957,79.834683,-25.165537,0.2252
2017-07-29,0.6114,79.83468,-25.165542,0.2835
2017-07-30,0.5745,79.834688,-25.16551,0.1836
2017-07-31,0.5891,79.834688,-25.16554,0.2245
2017-08-01,0.5588,79.83469,-25.165492,0.222
2017-08-02,0.5657,79.834686,-25.165513,0.2803
2017-08-03,0.6012,79.834695,-25.165544,0.0349
2017-08-04,0.6382,79.834694,-25.165494,0.6881
2017-08-05,0.6444,79.834693,-25.165551,0.495
2017-08-06,0.6682,79.834692,-25.165538,0.5892
2017-08-07,0.6533,79.834697,-25.165511,0.2566
2017-08-08,0.657,79.834688,-25.165533,0.519
