time,alb_NAE,lat_NAE,lon_NAE,cloud_NAE
2022-05-28,0.7841,75.002421,-29.980519,0.1535
2022-05-29,0.7813,75.002426,-29.98058,0.1083
2022-05-30,0.8633,75.002431,-29.980572,0.9288
2022-06-10,0.8204,75.002422,-29.980489,0.06
2022-06-11,0.8217,75.002428,-29.980504,0.4815
2022-06-12,0.8027,75.002433,-29.98053,0.0298
2022-06-14,0.805,75.00244,-29.980493,0.2754
2022-06-15,0.8038,75.002434,-29.980528,0.0727
2022-06-16,0.8071,75.002433,-29.980525,0.5652
2022-06-17,0.8046,75.002429,-29.980549,0.1883
2022-06-18,0.8133,75.002457,-29.980552,0.5992
2022-06-24,0.8541,75.002446,-29.980558,0.9165
2022-06-27,0.8439,75.002422,-29.980451,0.7599
2022-06-28,0.8163,75.002431,-29.980491,0.5323
2022-06-29,0.8137,75.002437,-29.980521,0.3588
2022-06-30,0.7961,75.002436,-29.980507,0.0799
2022-07-01,0.7891,75.002434,-29.980534,0.2828
2022-07-02,0.8273,75.002459,-29.980597,0.8935
2022-07-03,0.8395,75.00245,-29.98061,0.9012
2022-07-04,0.8285,75.002464,-29.980495,0.781
2022-07-05,0.8288,75.002435,-29.980503,0.6752
2022-07-06,0.7903,75.002423,-29.980477,0.0649
2022-07-07,0.8303,75.002433,-29.980449,0.688
2022-07-09,0.8454,75.002437,-29.98049,0.8565
2022-07-10,0.7994,75.002428,-29.980468,0.2077
2022-07-11,0.8351,75.002445,-29.980484,0.74
2022-07-12,0.82,75.002431,-29.980497,0.7724
2022-07-13,0.8352,75.002426,-29.980453,0.8414
2022-07-14,0.8262,75.002435,-29.980486,0.6952
2022-07-15,0.8136,75.002444,-29.980476,0.3944
2022-07-16,0.7935,75.002436,-29.980472,0.347
2022-07-17,0.8529,75.002431,-29.980453,0.9151
2022-07-18,0.8394,75.002437,-29.980454,0.8356
2022-07-19,0.8545,75.002429,-29.980454,0.8576
2022-07-20,0.8303,75.002428,-29.980482,0.7277
2022-07-21,0.7971,75.00244,-29.980484,0.3021
2022-07-22,0.7948,75.002442,-29.980486,0.3753
2022-07-23,0.7875,75.002435,-29.980464,0.3783
2022-07-24,0.825,75.002438,-29.980466,0.9061
