time,alb_NAU,lat_NAU,lon_NAU,cloud_NAU
2021-08-15,0.1736,77.467345,-69.219607,1.0
2021-08-17,0.8855,73.840563,-49.531508,0.1404
2021-08-18,0.8334,73.840561,-49.531532,0.3096
2021-08-19,0.9322,73.840557,-49.531524,0.7601
2021-08-20,0.858,73.84056,-49.531537,0.5154
2021-08-21,0.8756,73.840558,-49.53154,0.6749
2021-08-22,0.8513,73.840559,-49.531546,0.7752
2021-08-23,0.8724,73.840559,-49.531554,0.6195
2021-08-24,0.8626,73.84056,-49.531559,0.5816
2021-08-25,0.8957,73.840558,-49.531563,0.869
2021-08-26,0.8722,73.840559,-49.531566,0.8284
2021-08-27,0.8655,73.840559,-49.531569,0.7421
2021-08-28,0.882,73.84056,-49.531579,0.881
2021-08-29,0.8745,73.840562,-49.531582,0.771
2021-08-30,0.7523,73.84056,-49.531586,0.5852
2021-08-31,0.8452,73.840559,-49.531586,0.4615
2021-09-01,0.8288,73.84056,-49.531588,0.3039
2021-09-02,0.8369,73.840564,-49.531604,0.1165
2021-09-03,0.8038,73.840561,-49.531608,0.4879
2021-09-04,0.8595,73.840561,-49.531607,0.847
2021-09-05,0.8693,73.840561,-49.531615,0.8723
2021-09-06,0.8721,73.840559,-49.53161,0.7659
2021-09-07,0.8594,73.840556,-49.531613,0.6829
2021-09-09,0.9799,73.840557,-49.531626,0.4567
2021-09-11,0.8251,73.840559,-49.531634,0.2269
2021-09-12,0.833,73.84056,-49.531649,0.5425
2021-09-13,0.8242,73.84056,-49.531645,0.6367
2022-05-01,0.8309,73.840515,-49.53254,0.1889
2022-05-02,0.8183,73.840513,-49.532541,0.1823
2022-05-03,0.8098,73.840516,-49.532545,0.2518
2022-05-04,0.838,73.840516,-49.532545,0.3598
2022-05-05,0.8395,73.840515,-49.532547,0.3737
2022-05-06,0.8239,73.840516,-49.532556,0.2861
2022-05-07,0.8213,73.84052,-49.532571,0.1654
2022-05-08,0.7934,73.84052,-49.532566,0.1999
2022-05-09,0.7973,73.840517,-49.532565,0.2606
2022-05-10,0.8523,73.840513,-49.532575,0.4049
2022-05-11,0.8151,73.840518,-49.532581,0.1592
2022-05-12,0.8115,73.840519,-49.532588,0.1024
