time,alb_NEM,lat_NEM,lon_NEM,cloud_NEM
2021-08-13,0.6074,77.441377,-51.083424,0.0234
2021-08-14,0.7703,77.441381,-51.08342,0.8187
2021-08-15,0.731,77.441379,-51.083393,0.6822
2021-08-16,0.768,77.44138,-51.083405,0.8048
2021-08-17,0.7831,77.441378,-51.083397,0.561
2021-08-18,0.768,77.44138,-51.083404,0.5142
2021-08-19,0.8196,77.44138,-51.083403,0.8158
2021-08-20,0.8108,77.441378,-51.083409,0.4607
2021-08-21,0.8606,77.44138,-51.083412,0.7766
2021-08-22,0.8468,77.441379,-51.083417,0.7688
2021-08-23,0.7768,77.441381,-51.083413,0.7127
2021-08-24,0.7298,77.441381,-51.083415,0.5669
2021-08-25,0.751,77.441381,-51.083426,0.8278
2021-08-26,0.7354,77.441381,-51.083415,0.6765
2021-08-27,0.696,77.441377,-51.083415,0.5583
2021-08-28,0.7837,77.441378,-51.083413,0.8962
2021-08-29,0.7629,77.44138,-51.08341,0.6192
2021-08-30,0.9059,77.441381,-51.083432,0.5965
2021-08-31,0.6527,77.441379,-51.083417,0.3542
2022-06-20,0.7687,77.441422,-51.083607,0.185
2022-06-21,0.8097,77.44142,-51.083606,0.6741
2022-06-22,0.8085,77.441421,-51.083619,0.256
2022-06-23,0.7889,77.441418,-51.083633,0.1437
2022-06-24,0.8411,77.441411,-51.083646,0.0926
2022-06-25,0.8013,77.441425,-51.083647,0.1945
2022-06-26,0.7944,77.441422,-51.08364,0.1088
2022-06-27,0.8209,77.441427,-51.083652,0.2113
2022-06-28,0.8414,77.441426,-51.08366,0.1701
2022-06-29,0.8394,77.441428,-51.083709,0.2153
2022-06-30,0.8461,77.441426,-51.083673,0.826
2022-07-01,0.8137,77.44143,-51.083685,0.6671
2022-07-02,0.858,77.441425,-51.08366,0.9137
2022-07-03,0.8508,77.441428,-51.083634,0.8551
2022-07-04,0.8307,77.441431,-51.083631,0.251
2022-07-05,0.81,77.441427,-51.083691,0.1708
2022-07-06,0.8455,77.441425,-51.083656,0.2084
2022-07-07,0.8271,77.441424,-51.083648,0.4381
2022-07-08,0.8473,77.441424,-51.083655,0.913
2022-07-09,0.8267,77.441427,-51.08367,0.709
2022-07-10,0.8128,77.441422,-51.083638,0.7864
2022-07-11,0.8163,77.441428,-51.083662,0.442
2022-07-12,0.8396,77.441422,-51.083668,0.282
2022-07-13,0.8729,77.44142,-51.083637,0.9374
2022-07-14,0.8445,77.441425,-51.083665,0.3019
2022-07-15,0.8178,77.441421,-51.083647,0.404
2022-07-16,0.8327,77.441424,-51.083659,0.7151
2022-07-17,0.8108,77.441427,-51.083656,0.2908
2022-07-18,0.8412,77.44142,-51.08365,0.1832
2022-07-19,0.8161,77.441417,-51.083656,0.3575
2022-07-20,0.8886,77.441418,-51.083668,0.9038
2022-07-21,0.8657,77.441422,-51.08367,0.5062
2022-07-22,0.8346,77.441425,-51.083671,0.7224
2022-07-23,0.8344,77.441427,-51.083675,0.6619
2022-07-24,0.826,77.441426,-51.08367,0.58
2022-07-25,0.7972,77.441426,-51.083677,0.3236
2022-07-26,0.7736,77.441423,-51.08368,0.1772
2022-07-27,0.7736,77.441427,-51.08371,0.3121
2022-07-28,0.7836,77.441427,-51.083695,0.2074
2022-07-29,0.7682,77.441426,-51.08371,0.1503
2022-07-30,0.8417,77.441423,-51.083679,0.6135
2022-07-31,0.8031,77.441435,-51.083704,0.3586
2022-08-01,0.8174,77.441429,-51.083713,0.4499
2022-08-02,0.8334,77.441426,-51.083692,0.2696
2022-08-03,0.952,77.441429,-51.083692,0.2501
2022-08-04,0.7835,77.441424,-51.083676,0.3248
2022-08-05,0.7534,77.441425,-51.083671,0.5124
2022-08-06,0.8147,77.441424,-51.083696,0.7336
2022-08-07,0.8087,77.441422,-51.083682,0.7836
2022-08-08,0.846,77.441424,-51.083669,0.6366
2022-08-09,0.8225,77.441416,-51.083664,0.483
2022-08-10,0.9084,77.441425,-51.083672,0.921
2022-08-11,0.9804,77.441424,-51.083647,0.9257
2022-08-12,0.9739,77.441425,-51.083654,0.929
2022-08-13,0.9246,77.441432,-51.083676,0.6913
2022-08-14,0.8275,77.441425,-51.083686,0.2555
2022-08-15,0.828,77.441428,-51.083687,0.4396
2022-08-16,0.7939,77.441423,-51.0837,0.2066
2022-08-17,0.855,77.441426,-51.083693,0.7141
2022-08-18,0.8872,77.441425,-51.083705,0.9242
2022-08-19,0.8006,77.441427,-51.083722,0.3623
2022-08-20,0.8435,77.44142,-51.083677,0.2182
2022-08-21,0.7902,77.441429,-51.083696,0.4746
2022-08-22,0.8053,77.441426,-51.083706,0.4446
2022-08-23,0.9113,77.441428,-51.083701,0.6546
2022-08-24,0.8356,77.441426,-51.083693,0.7872
2022-08-25,0.8067,77.441423,-51.083703,0.3542
2022-08-27,0.9456,77.441425,-51.083694,0.8892
2022-08-28,0.9276,77.441428,-51.0837,0.7128
2022-08-29,0.9466,77.44143,-51.083715,0.5671
2022-08-30,0.8565,77.441433,-51.083691,0.7999
2022-08-31,0.8213,77.441424,-51.083703,0.6778
2022-09-01,0.9323,77.441427,-51.083666,0.9295
2022-09-02,0.8223,77.441428,-51.083725,0.7458
2022-09-03,0.8804,77.441413,-51.083711,0.9227
2023-05-01,0.8885,77.441425,-51.083814,0.256
2023-05-02,0.8314,77.441428,-51.083866,0.1231
2023-05-03,0.8334,77.441431,-51.083901,0.4719
2023-05-04,0.8226,77.441431,-51.08388,0.5658
2023-05-05,0.8586,77.441432,-51.083869,0.4437
2023-05-06,0.8028,77.441431,-51.083855,0.2683
2023-05-07,0.8123,77.441437,-51.083907,0.4126
2023-05-08,0.812,77.441428,-51.083889,0.3782
2023-05-09,0.8142,77.441428,-51.08388,0.2687
2023-05-10,0.8295,77.441429,-51.083897,0.2753
2023-05-11,0.854,77.441431,-51.083855,0.1989
2023-05-12,0.8554,77.441426,-51.083864,0.2511
2023-05-13,0.9162,77.44143,-51.083865,0.3636
2023-05-14,0.813,77.441425,-51.083846,0.2742
2023-05-15,0.7993,77.441422,-51.08385,0.1827
2023-05-16,0.8559,77.441426,-51.083864,0.2676
2023-05-17,0.7932,77.441425,-51.083854,0.248
2023-05-18,0.8256,77.441429,-51.08387,0.1681
2023-05-19,0.8073,77.441435,-51.083879,0.4168
2023-05-20,0.859,77.44143,-51.08387,0.5398
2023-05-21,0.8163,77.441428,-51.083879,0.4245
2023-05-22,0.8359,77.44143,-51.083894,0.1915
2023-05-23,0.7925,77.44144,-51.083894,0.3342
2023-05-24,0.8079,77.441438,-51.083872,0.4345
2023-05-25,0.8148,77.441434,-51.083883,0.4903
2023-05-26,0.8111,77.441429,-51.083853,0.3902
2023-05-27,0.811,77.441429,-51.083847,0.2424
2023-05-28,0.8049,77.441431,-51.08384,0.2598
2023-05-29,0.8127,77.441432,-51.083854,0.2281
2023-05-30,0.8523,77.441435,-51.083818,0.3
2023-05-31,0.8333,77.441438,-51.083873,0.6499
2023-06-01,0.8748,77.441435,-51.083885,0.4596
2023-06-02,0.8452,77.44144,-51.083883,0.461
2023-06-03,0.8386,77.441434,-51.083872,0.3771
2023-06-04,0.8117,77.441442,-51.08389,0.1633
2023-06-05,0.8063,77.441428,-51.083845,0.1061
2023-06-06,0.8196,77.441434,-51.083823,0.1826
2023-06-07,0.7968,77.441433,-51.08384,0.4648
2023-06-08,0.8141,77.441432,-51.083866,0.3001
2023-06-09,0.7875,77.441437,-51.083865,0.1365
2023-06-10,0.7873,77.441438,-51.083854,0.3635
2023-06-11,0.8238,77.441437,-51.083873,0.6744
2023-06-12,0.8492,77.441437,-51.083882,0.6474
2023-06-13,0.8227,77.441439,-51.083897,0.4996
2023-06-14,0.8062,77.44144,-51.083895,0.3082
2023-06-15,0.8154,77.441437,-51.083889,0.4456
2023-06-16,0.8483,77.441442,-51.083896,0.7338
2023-06-17,0.8279,77.441432,-51.083865,0.5713
2023-06-18,0.8039,77.441435,-51.0839,0.2482
2023-06-19,0.8287,77.44144,-51.083892,0.5907
2023-06-20,0.8253,77.441444,-51.083908,0.6762
2023-06-21,0.8091,77.441436,-51.083876,0.408
2023-06-22,0.821,77.44143,-51.083811,0.402
2023-06-23,0.8392,77.441442,-51.083865,0.3744
2023-06-24,0.8146,77.441438,-51.083848,0.4799
2023-06-25,0.8228,77.441437,-51.08388,0.5664
2023-06-26,0.7837,77.441432,-51.083824,0.094
2023-06-27,0.7677,77.441434,-51.08387,0.1957
2023-06-28,0.7579,77.441429,-51.083862,0.2295
2023-06-29,0.7596,77.441428,-51.083843,0.1376
2023-06-30,0.7663,77.441433,-51.083825,0.1825
2023-07-01,0.754,77.441438,-51.083836,0.0845
2023-07-02,0.7522,77.441442,-51.083831,0.0462
2023-07-03,0.7506,77.441437,-51.083842,0.0476
2023-07-04,0.7444,77.441441,-51.083839,0.0476
2023-07-05,0.7476,77.441446,-51.083848,0.0784
2023-07-06,0.8055,77.441445,-51.083827,0.5341
2023-07-07,0.8589,77.44144,-51.083837,0.8755
2023-07-08,0.83,77.441443,-51.083864,0.8699
2023-07-09,0.8005,77.44144,-51.083837,0.7789
2023-07-10,0.8357,77.441436,-51.083836,0.6068
2023-07-11,0.8232,77.441436,-51.083859,0.7772
