time,alb_NUK_K,lat_NUK_K,lon_NUK_K,cloud_NUK_K
2017-05-10,0.1292,64.162265,-51.35868,0.473
2017-05-11,0.3302,64.162256,-51.358667,0.1814
2017-05-12,0.4596,64.16226,-51.358671,0.2158
2017-05-13,0.5365,64.162259,-51.358669,0.7067
2017-05-14,0.4989,64.162258,-51.358664,0.1487
2017-05-15,0.5157,64.162254,-51.358678,0.1375
2017-05-16,0.5757,64.162258,-51.358668,0.3688
2017-05-17,0.6755,64.162259,-51.358663,0.9047
2017-05-18,0.7511,64.162254,-51.358669,0.9944
2017-05-19,0.7861,64.162257,-51.358667,0.9786
2017-05-20,0.8472,64.16226,-51.35867,0.9955
2017-05-21,0.6895,64.162258,-51.358672,0.8217
2017-05-22,0.647,64.162263,-51.358665,0.5317
2017-05-23,0.7712,64.16225,-51.358658,0.9057
2017-05-24,0.7927,64.162262,-51.358669,0.9824
2017-05-25,0.7356,64.162264,-51.358667,0.8752
2017-05-26,0.6501,64.162265,-51.358657,0.4741
2017-05-27,0.6423,64.162261,-51.358639,0.2222
2017-05-28,0.648,64.162264,-51.358648,0.2003
2017-05-29,0.7461,64.162266,-51.358645,0.5193
2017-05-30,0.721,64.162263,-51.358644,0.8605
2017-05-31,0.6427,64.162261,-51.358654,0.1483
2017-06-01,0.6365,64.16226,-51.358658,0.1518
2017-06-02,0.634,64.162257,-51.358634,0.1157
2017-06-03,0.6384,64.16226,-51.358649,0.1602
2017-06-04,0.6726,64.162263,-51.358648,0.4407
2017-06-05,0.6594,64.162266,-51.358637,0.6301
2017-06-06,0.6417,64.162264,-51.35864,0.2684
2017-06-07,0.6416,64.16226,-51.358653,0.3918
2017-06-08,0.6469,64.162265,-51.358655,0.7161
2017-06-09,0.6804,64.162266,-51.358653,0.6577
2017-06-10,0.7256,64.162265,-51.358653,0.6759
2017-06-11,0.6954,64.16227,-51.358652,0.8475
2017-06-12,0.6195,64.16227,-51.358658,0.1269
2017-06-13,0.6231,64.162265,-51.358659,0.0931
2017-06-14,0.6237,64.162265,-51.358663,0.124
2017-06-15,0.6216,64.162266,-51.35866,0.1404
2017-06-16,0.6279,64.162265,-51.358654,0.2143
2017-06-17,0.6582,64.162264,-51.358658,0.6058
2017-06-18,0.7683,64.162262,-51.358662,0.7676
2017-06-19,0.7832,64.162265,-51.358659,1.0
2017-06-20,0.6903,64.162263,-51.358663,0.7111
2017-06-21,0.6253,64.162259,-51.358663,0.0643
2017-06-22,0.6137,64.162266,-51.358664,0.1078
2017-06-23,0.6195,64.162261,-51.358661,0.1804
2017-06-24,0.6202,64.162262,-51.358661,0.1893
2017-06-25,0.6307,64.162262,-51.35866,0.3204
2017-06-26,0.6791,64.162264,-51.358664,0.8037
2017-06-27,0.7316,64.162262,-51.358659,0.9679
2017-06-28,0.6576,64.162262,-51.358663,0.9053
2017-06-29,0.6128,64.162265,-51.358659,0.3068
2017-06-30,0.6109,64.162266,-51.358664,0.2564
2017-07-01,0.7595,64.162268,-51.358663,0.7333
2017-07-02,0.6462,64.162271,-51.358663,0.7818
2017-07-03,0.7821,64.162269,-51.358658,0.6198
2017-07-04,0.8954,64.162264,-51.358666,0.9984
2017-07-05,0.7566,64.162265,-51.358661,0.6488
2017-07-06,0.7258,64.162262,-51.358657,0.3127
2017-07-07,0.779,64.162261,-51.358665,0.4518
2017-07-08,0.8006,64.162265,-51.358668,0.8869
2017-07-09,0.6272,64.162267,-51.358661,0.1766
2017-07-10,0.6121,64.162265,-51.358662,0.1168
2017-07-11,0.5997,64.162268,-51.358659,0.0756
2017-07-12,0.6008,64.162268,-51.358657,0.1094
2017-07-13,0.7501,64.162267,-51.358657,0.5816
2017-07-14,0.7608,64.162267,-51.358668,0.9846
2017-07-15,0.7497,64.162267,-51.358665,0.8939
2017-07-16,0.9301,64.16227,-51.358668,0.9987
2017-07-17,0.7202,64.162273,-51.358661,0.4831
2017-07-18,0.8185,64.162271,-51.358663,0.7206
2017-07-19,0.7594,64.162269,-51.358663,0.9943
2017-07-20,0.613,64.162271,-51.358659,0.3665
