time,alb_NUK_Uv3,lat_NUK_Uv3,lon_NUK_Uv3,cloud_NUK_Uv3
2020-08-31,0.5348,64.509914,-49.278205,0.0424
2020-09-01,0.5818,64.509904,-49.278217,0.4318
2020-09-02,0.6915,64.509906,-49.278229,0.0959
2020-09-03,0.6778,64.509905,-49.27823,0.2982
2020-09-04,0.4952,64.509902,-49.27823,0.9429
2020-09-05,0.4936,64.509902,-49.278238,0.911
2020-09-06,0.455,64.509899,-49.278248,0.864
2020-09-07,0.787,64.509906,-49.278259,0.7792
2020-09-08,0.6937,64.509904,-49.278257,0.6004
2020-09-09,0.8981,64.509903,-49.278265,0.9335
2020-09-10,0.9268,64.509904,-49.278264,0.7366
2020-09-11,0.7361,64.509896,-49.278275,0.209
2020-09-12,0.7198,64.509896,-49.278278,0.0851
2020-09-13,0.7236,64.509897,-49.278278,0.0936
2020-09-14,0.7358,64.509904,-49.278288,0.2389
2020-09-15,0.8083,64.509898,-49.278287,0.8864
2020-09-16,0.8081,64.509903,-49.278303,0.9118
2020-09-18,0.8211,64.509896,-49.278311,0.6157
2020-09-19,0.8724,64.509895,-49.278318,0.8961
2020-09-20,0.8531,64.509897,-49.278316,0.8317
2020-09-21,0.8496,64.509891,-49.278329,0.7795
2020-09-22,0.8218,64.509893,-49.27833,0.5535
2020-09-23,0.7412,64.509896,-49.278335,0.1396
2020-09-24,0.7624,64.509897,-49.278343,0.5078
2020-09-25,0.8105,64.509898,-49.278351,0.8593
2020-09-26,0.7279,64.509896,-49.278353,0.34
2020-09-27,0.8655,64.509894,-49.278353,0.9468
2020-09-28,0.9431,64.509887,-49.278364,0.9772
2020-09-29,0.7316,64.509888,-49.278367,0.5317
2020-09-30,0.7405,64.509892,-49.278366,0.111
2021-05-01,0.7102,64.509744,-49.279612,0.0592
2021-05-02,0.6908,64.509743,-49.279623,0.0103
2021-05-03,0.7187,64.509742,-49.279631,0.0232
2021-05-04,0.7058,64.50974,-49.279634,0.0662
2021-05-05,0.7037,64.509744,-49.279644,0.0346
2021-05-06,0.7111,64.509741,-49.279655,0.1494
2021-05-07,0.7095,64.509741,-49.279658,0.1587
2021-05-08,0.725,64.509743,-49.279665,0.6111
2021-05-09,0.6948,64.509736,-49.279673,0.1096
2021-05-10,0.7073,64.509742,-49.279675,0.1751
2021-05-11,0.7555,64.509739,-49.279685,0.7055
2021-05-12,0.6956,64.509737,-49.279701,0.1773
2021-05-13,0.6954,64.509735,-49.279699,0.0763
2021-05-14,0.7035,64.509735,-49.279697,0.1286
2021-05-15,0.6896,64.509734,-49.279709,0.36
2021-05-16,0.6831,64.509731,-49.279712,0.1184
2021-05-17,0.6818,64.509732,-49.279718,0.0848
2021-05-18,0.7195,64.509729,-49.279727,0.3084
2021-05-19,0.7797,64.509729,-49.27973,0.751
2021-05-20,0.8419,64.509731,-49.279739,0.7096
2021-05-21,0.8968,64.509728,-49.279743,0.8853
2021-05-22,0.8917,64.509727,-49.279752,0.8043
2021-05-23,0.8646,64.509728,-49.27976,0.6234
2021-05-24,0.8774,64.509725,-49.279763,0.746
2021-05-25,0.8132,64.509725,-49.279768,0.5951
2021-05-26,0.8918,64.509727,-49.279776,0.7111
2021-05-27,0.731,64.509729,-49.27978,0.1758
2021-05-28,0.6802,64.50973,-49.279787,0.0901
2021-05-29,0.7103,64.509724,-49.279794,0.3504
2021-05-30,0.732,64.509725,-49.279802,0.7345
2021-05-31,0.8879,64.509723,-49.279814,0.9519
2021-06-01,0.7656,64.509722,-49.279813,0.4673
2021-06-02,0.7426,64.50972,-49.27982,0.2152
2021-06-03,0.7455,64.509715,-49.27983,0.5824
2021-06-04,0.6933,64.509721,-49.279832,0.1274
2021-06-05,0.7601,64.50972,-49.27984,0.9627
2021-06-06,0.753,64.509719,-49.27985,0.8616
2021-06-07,0.6896,64.50972,-49.279853,0.5204
2021-06-08,0.6575,64.509718,-49.279865,0.0496
2021-06-09,0.6626,64.50972,-49.279864,0.1128
2021-06-10,0.7208,64.509715,-49.27988,0.7772
2021-06-11,0.6895,64.50972,-49.279885,0.4509
2021-06-12,0.6832,64.509714,-49.279888,0.5435
2021-06-13,0.7247,64.509715,-49.279893,0.8328
2021-06-14,0.6717,64.509713,-49.279903,0.4249
2021-06-15,0.669,64.509709,-49.279904,0.3812
2021-06-16,0.7562,64.509709,-49.279918,0.5051
2021-06-17,0.6646,64.50208,-49.269506,0.1166
2021-06-18,0.6947,64.5,-49.266667,0.2982
2021-06-19,0.8257,64.5,-49.266667,0.8281
2021-06-20,0.8108,64.5,-49.266667,0.8171
2021-06-21,0.667,64.5,-49.266667,0.0112
2021-06-22,0.6549,64.5,-49.266667,0.0
2021-06-23,0.7085,64.5,-49.266667,0.727
2021-06-24,0.588,64.5,-49.266667,0.9868
2021-06-25,0.7526,64.5,-49.266667,0.7825
2021-06-26,0.5353,64.5,-49.266667,0.9929
2021-06-27,0.5052,64.5,-49.266667,0.9222
2021-06-28,0.4263,64.5,-49.266667,0.9412
2021-06-29,0.8901,64.5,-49.266667,0.8536
2021-06-30,0.8407,64.5,-49.266667,0.3813
2021-07-01,0.6834,64.5,-49.266667,0.0006
2021-07-02,0.6063,64.5,-49.266667,0.0013
2021-07-03,0.5142,64.5,-49.266667,0.7486
2021-07-04,0.4856,64.5,-49.266667,0.8947
2021-07-05,0.6542,64.5,-49.266667,0.9757
2021-07-06,0.6921,64.5,-49.266667,0.9256
2021-07-07,0.9061,64.5,-49.266667,0.5388
2021-07-08,0.7582,64.5,-49.266667,0.0022
2021-07-09,0.721,64.5,-49.266667,0.0
2021-07-10,0.6771,64.5,-49.266667,0.0294
2021-07-11,0.6604,64.5,-49.266667,0.5458
2021-07-12,0.6341,64.5,-49.266667,0.5631
2021-07-13,0.5481,64.5,-49.266667,0.7317
2021-07-14,0.5012,64.5,-49.266667,0.995
2021-07-15,0.418,64.5,-49.266667,0.5804
