time,alb_QAS_L,lat_QAS_L,lon_QAS_L,cloud_QAS_L
2017-05-01,0.7292,61.030726,-46.849103,0.1725
2017-05-02,0.7154,61.030768,-46.849127,0.3201
2017-05-03,0.7208,61.030769,-46.849099,0.2413
2017-05-04,0.7678,61.030769,-46.849094,0.7611
2017-05-05,0.7242,61.030778,-46.849093,0.4399
2017-05-06,0.6862,61.030772,-46.849098,0.2222
2017-05-07,0.681,61.030765,-46.849099,0.2496
2017-05-08,0.6848,61.030762,-46.849088,0.6374
2017-05-09,0.6731,61.030769,-46.849092,0.3927
2017-05-10,0.6657,61.030771,-46.84909,0.4811
2017-05-11,0.7051,61.030773,-46.849092,0.632
2017-05-12,0.8151,61.030773,-46.849093,0.711
2017-05-13,0.7732,61.030772,-46.849095,0.5694
2017-05-14,0.6924,61.030773,-46.849093,0.1688
2017-05-15,0.6665,61.030775,-46.849098,0.1635
2017-05-16,0.7077,61.03077,-46.849101,0.6464
2017-05-17,0.6749,61.030772,-46.849095,0.4907
2017-05-18,0.7871,61.030765,-46.849092,0.9696
2017-05-19,0.7673,61.030759,-46.849092,0.9997
2017-05-20,0.7466,61.03076,-46.849091,0.9547
2017-05-21,0.6731,61.03076,-46.849101,0.6954
2017-05-22,0.6492,61.03076,-46.849092,0.2979
2017-05-23,0.6628,61.030763,-46.849091,0.9014
2017-05-24,0.7161,61.030756,-46.849092,0.9753
2017-05-25,0.6767,61.030767,-46.849088,0.9102
2017-05-26,0.6742,61.030767,-46.849092,0.8279
2017-05-27,0.6325,61.030767,-46.849088,0.3073
2017-05-28,0.6448,61.030772,-46.849091,0.6542
2017-05-29,0.6632,61.030764,-46.849101,0.937
2017-05-30,0.5943,61.030755,-46.849098,0.329
2017-05-31,0.5884,61.030762,-46.849102,0.358
2017-06-01,0.5605,61.030761,-46.849098,0.2109
2017-06-02,0.5669,61.03076,-46.849092,0.5122
2017-06-03,0.5553,61.03076,-46.849098,0.4748
2017-06-04,0.5448,61.030754,-46.849105,0.5586
2017-06-05,0.6066,61.030755,-46.849104,0.7759
2017-06-06,0.5348,61.030754,-46.849102,0.482
2017-06-07,0.5168,61.030773,-46.84906,0.4866
2017-06-08,0.5076,61.03076,-46.8491,0.3061
2017-06-09,0.5003,61.030758,-46.849104,0.5763
2017-06-10,0.494,61.03076,-46.849101,0.7211
2017-06-11,0.4487,61.030765,-46.849101,0.4169
2017-06-12,0.4242,61.030762,-46.849107,0.095
2017-06-13,0.4294,61.030759,-46.849095,0.1456
2017-06-14,0.4251,61.030793,-46.849097,0.6687
2017-06-15,0.3819,61.030757,-46.849107,0.6218
2017-06-16,0.3648,61.030758,-46.849105,0.2482
2017-06-17,0.3928,61.030758,-46.8491,0.4259
2017-06-18,0.3975,61.03075,-46.8491,0.5478
2017-06-19,0.4096,61.03075,-46.849096,0.9841
2017-06-20,0.3591,61.030759,-46.849111,0.3413
2017-06-21,0.3708,61.030756,-46.849106,0.1281
2017-06-22,0.3768,61.030759,-46.849113,0.1904
2017-06-23,0.3944,61.030749,-46.849104,0.298
2017-06-24,0.4017,61.030758,-46.849107,0.3588
2017-06-25,0.4055,61.030759,-46.849106,0.9063
2017-06-26,0.3579,61.030757,-46.84911,0.8965
2017-06-27,0.345,61.030756,-46.849102,0.8561
2017-06-28,0.3453,61.030762,-46.849106,0.4578
2017-06-29,0.3706,61.030761,-46.849107,0.7916
2017-06-30,0.3583,61.03076,-46.849107,0.6003
2017-07-01,0.3702,61.030754,-46.84911,0.2743
2017-07-02,0.3509,61.030756,-46.849113,0.391
2017-07-03,0.3751,61.03075,-46.849113,0.7031
2017-07-04,0.359,61.03075,-46.849105,0.9622
2017-07-05,0.3397,61.030757,-46.849113,0.211
2017-07-06,0.3852,61.030752,-46.849106,0.1886
2017-07-07,0.3811,61.030754,-46.849108,0.6808
2017-07-08,0.3323,61.03075,-46.849111,0.7894
2017-07-09,0.3411,61.030751,-46.849114,0.2953
2017-07-10,0.3519,61.030754,-46.849119,0.5481
2017-07-11,0.3431,61.030748,-46.849107,0.9871
2017-07-12,0.3319,61.030756,-46.849121,0.6787
2017-07-13,0.3194,61.030748,-46.849104,0.9488
2017-07-14,0.321,61.03075,-46.849119,0.7522
2017-07-15,0.3396,61.030749,-46.849114,0.5949
2017-07-16,0.3169,61.03075,-46.849109,0.9378
2017-07-17,0.3401,61.030751,-46.849114,0.4781
2017-07-18,0.3385,61.030748,-46.849127,0.6804
2017-07-19,0.3202,61.030752,-46.849124,0.9127
2017-07-20,0.3154,61.030751,-46.849121,0.7261
2017-07-21,0.3257,61.030748,-46.849128,0.6355
2017-07-22,0.3515,61.030747,-46.849125,0.542
2017-07-23,0.3176,61.030743,-46.849136,0.7726
2017-07-24,0.2843,61.030755,-46.849133,0.8823
2017-07-25,0.2927,61.030745,-46.849137,0.7669
2017-07-26,0.3103,61.030745,-46.849137,0.7456
2017-07-27,0.2838,61.030752,-46.849136,0.3749
2017-07-28,0.3055,61.030753,-46.849137,0.3338
2017-07-29,0.3052,61.030749,-46.849143,0.3409
2017-07-30,0.3211,61.030755,-46.849138,0.3365
2017-07-31,0.3292,61.030757,-46.849142,0.3824
2017-08-01,0.3134,61.030754,-46.849145,0.2954
2017-08-02,0.3509,61.03075,-46.849146,0.3559
2017-08-03,0.3576,61.030754,-46.849145,0.2983
2017-08-04,0.3353,61.030748,-46.849137,0.5906
2017-08-05,0.3408,61.030751,-46.849139,0.441
2017-08-06,0.3173,61.030749,-46.84914,0.9141
2017-08-07,0.2856,61.030745,-46.849131,0.9995
2017-08-08,0.291,61.030744,-46.849141,0.9995
2017-08-09,0.2602,61.030745,-46.849141,0.9792
2017-08-10,0.2707,61.030751,-46.849142,0.999
2017-08-11,0.2751,61.030747,-46.849147,0.9121
2017-08-12,0.3097,61.030751,-46.849148,0.5921
2017-08-13,0.3353,61.030757,-46.849146,0.3053
2017-08-14,0.34,61.030755,-46.849149,0.2331
2017-08-15,0.3359,61.030752,-46.849151,0.6647
2017-08-16,0.3089,61.030747,-46.849147,0.7775
2017-08-17,0.3496,61.030747,-46.849149,0.5916
2017-08-18,0.2961,61.030747,-46.849149,0.7804
2017-08-19,0.2785,61.03075,-46.849149,0.8162
2017-08-20,0.2983,61.030747,-46.849155,0.9763
2017-08-21,0.2761,61.030737,-46.849141,0.996
2017-08-22,0.2891,61.030736,-46.849141,0.9503
