time,alb_QAS_M,lat_QAS_M,lon_QAS_M,cloud_QAS_M
2017-05-01,0.1212,61.09971,-46.833054,0.9535
2017-05-02,0.0938,61.099691,-46.833055,0.9606
2017-05-03,0.0424,61.099692,-46.833059,0.8187
2017-05-04,0.2659,61.099715,-46.833079,0.8253
2017-05-05,0.6754,61.099722,-46.833069,0.6066
2017-05-06,0.7126,61.09973,-46.833054,0.2573
2017-05-07,0.7178,61.099694,-46.833053,0.2223
2017-05-08,0.7162,61.099694,-46.83306,0.2218
2017-05-09,0.7283,61.099688,-46.833046,0.4152
2017-05-10,0.768,61.099689,-46.83307,0.5639
2017-05-11,0.7358,61.099693,-46.833078,0.6842
2017-05-12,0.8613,61.099679,-46.83306,0.7282
2017-05-13,0.791,61.099688,-46.833062,0.5335
2017-05-14,0.7537,61.099688,-46.833054,0.171
2017-05-15,0.717,61.099694,-46.833051,0.1903
2017-05-16,0.7191,61.099685,-46.833049,0.2861
2017-05-17,0.7295,61.099678,-46.833033,0.4582
2017-05-18,0.8357,61.099682,-46.833054,0.9855
2017-05-19,0.848,61.099678,-46.833049,1.0
2017-05-20,0.7948,61.099672,-46.833088,0.9449
2017-05-21,0.6749,61.099716,-46.833068,0.5496
2017-05-22,0.6743,61.099693,-46.833057,0.3684
2017-05-23,0.6869,61.099694,-46.833054,0.9393
2017-05-30,0.7182,61.099675,-46.83306,0.0462
2017-05-31,0.6579,61.099675,-46.833075,0.3319
2017-06-01,0.7228,61.099678,-46.833093,0.3118
2017-06-02,0.7409,61.099678,-46.8331,0.3814
2017-06-03,0.7489,61.099678,-46.833082,0.4011
2017-06-04,0.7306,61.099671,-46.833082,0.4083
2017-06-05,0.7898,61.099667,-46.833075,0.4921
2017-06-08,0.7158,61.099665,-46.833078,0.1073
2017-07-01,0.7449,61.099648,-46.833088,0.3335
2017-07-06,0.6588,61.099644,-46.833104,0.1659
2017-07-11,0.5494,61.099646,-46.833094,0.9945
2017-07-13,0.4068,61.09964,-46.833104,0.999
2017-07-14,0.5285,61.09964,-46.833112,0.931
2017-08-24,0.1635,61.099574,-46.833136,0.9984
2017-08-25,0.1598,61.099559,-46.833133,0.9944
2017-08-26,0.1804,61.099558,-46.83314,0.7475
2017-08-27,0.1954,61.099556,-46.83314,0.8666
2017-08-28,0.2221,61.099556,-46.833139,0.3035
2017-08-29,0.1677,61.099557,-46.833144,0.3401
2017-08-30,0.1553,61.099549,-46.833138,0.8002
2017-08-31,0.1632,61.099546,-46.833138,0.7185
2017-09-01,0.1693,61.09955,-46.83314,0.3561
2017-09-02,0.1797,61.099546,-46.833141,0.2599
2017-09-03,0.1901,61.099541,-46.833138,0.084
2017-09-04,0.2094,61.099543,-46.833141,0.102
2017-09-05,0.2129,61.099543,-46.83314,0.4426
