time,alb_QAS_Mv3,lat_QAS_Mv3,lon_QAS_Mv3,cloud_QAS_Mv3
2023-09-01,0.2841,61.109943,-46.808338,0.7316
2023-09-02,0.3003,61.109941,-46.808342,0.0465
2023-09-03,0.3419,61.109946,-46.808338,0.0152
2023-09-04,0.3318,61.109946,-46.808345,0.7663
2023-09-05,0.2716,61.109948,-46.808363,0.9536
2023-09-06,0.3036,61.109946,-46.808348,0.6158
2023-09-07,0.3667,61.109937,-46.808358,0.4716
2023-09-08,0.4044,61.109936,-46.808349,0.0373
2023-09-09,0.4041,61.109941,-46.808343,0.0374
2023-09-10,0.4158,61.109942,-46.808347,0.2145
2023-09-11,0.412,61.109933,-46.808353,0.4705
2023-09-12,0.4326,61.109939,-46.808352,0.3105
2023-09-13,0.4212,61.109933,-46.808345,0.1106
2023-09-14,0.5133,61.109932,-46.808346,0.9121
2023-09-15,0.3155,61.109938,-46.808352,0.991
2023-09-16,0.3171,61.109932,-46.80834,0.2279
2023-09-17,0.3605,61.109929,-46.80835,0.0254
2023-09-18,0.3908,61.109932,-46.808343,0.0601
2023-09-19,0.4039,61.109936,-46.808346,0.195
2023-09-20,0.3979,61.109925,-46.80835,0.5296
2023-09-21,0.3938,61.109928,-46.808344,0.5518
2023-09-22,0.4125,61.109929,-46.808343,0.5557
2023-09-23,0.4139,61.10993,-46.808347,0.3847
2023-09-24,0.4594,61.109926,-46.808345,0.0802
2023-09-25,0.4049,61.10993,-46.808348,0.4016
2023-09-26,0.4506,61.109917,-46.80835,0.0759
2023-09-27,0.8281,61.109923,-46.808349,0.7412
2023-09-28,0.7642,61.109927,-46.808339,0.5691
2023-09-29,0.7258,61.109922,-46.808347,0.2644
2023-09-30,0.7002,61.109924,-46.808351,0.1876
