time,alb_SCO_L,lat_SCO_L,lon_SCO_L,cloud_SCO_L
2017-05-01,0.7834,72.22262,-26.818084,0.27
2017-05-02,0.8099,72.22262,-26.818079,0.4588
2017-05-03,0.7745,72.222619,-26.818075,0.5749
2017-05-04,0.7287,72.222613,-26.81809,0.3221
2017-05-05,0.6821,72.222615,-26.818077,0.1896
2017-05-06,0.6601,72.222617,-26.8181,0.2427
2017-05-07,0.6477,72.222612,-26.8181,0.2982
2017-05-08,0.6556,72.222601,-26.818095,0.3969
2017-05-09,0.7819,72.222607,-26.818092,0.9247
2017-05-10,0.7132,72.222601,-26.818083,0.3573
2017-05-11,0.6966,72.222598,-26.818076,0.4156
2017-05-12,0.7895,72.222605,-26.818087,0.707
2017-05-13,0.7497,72.222602,-26.81809,0.3555
2017-05-14,0.7402,72.222599,-26.818086,0.5593
2017-05-15,0.7262,72.222593,-26.818092,0.4077
2017-05-16,0.7085,72.222596,-26.81808,0.5429
2017-05-17,0.7014,72.222598,-26.818082,0.3063
2017-05-18,0.6937,72.222603,-26.818067,0.343
2017-05-19,0.6158,72.222594,-26.81808,0.2831
2017-05-20,0.5453,72.222591,-26.818087,0.3129
2017-05-21,0.4982,72.222588,-26.818111,0.2523
2017-05-22,0.5532,72.222579,-26.818098,0.8521
2017-05-23,0.5783,72.222579,-26.81808,0.8835
2017-05-24,0.5257,72.222577,-26.818096,0.1657
2017-05-25,0.6215,72.222577,-26.818078,0.8269
2017-05-26,0.5584,72.222574,-26.818064,0.6178
2017-05-27,0.572,72.222571,-26.818084,0.7272
2017-05-28,0.5768,72.222567,-26.818081,0.8659
2017-05-29,0.6264,72.222567,-26.81809,0.8862
2017-05-30,0.5991,72.222558,-26.818101,0.5173
2017-05-31,0.5475,72.222551,-26.818082,0.4455
2017-06-01,0.5508,72.222556,-26.818078,0.8251
2017-06-02,0.5024,72.222551,-26.818069,0.5492
2017-06-03,0.4789,72.22255,-26.818069,0.268
2017-06-04,0.4663,72.222546,-26.81809,0.4341
2017-06-05,0.4485,72.222537,-26.818089,0.3107
2017-06-06,0.3978,72.222537,-26.818077,0.4019
2017-06-07,0.42,72.222532,-26.818094,0.7041
2017-06-08,0.5224,72.222525,-26.818101,0.9468
2017-06-09,0.771,72.222521,-26.818085,0.9889
2017-06-10,0.6631,72.222522,-26.818096,0.9208
2017-06-11,0.4437,72.222518,-26.81811,0.6374
2017-06-12,0.3679,72.222518,-26.818088,0.1268
2017-06-13,0.3491,72.222515,-26.818096,0.238
2017-06-14,0.3483,72.222509,-26.81811,0.2717
2017-06-15,0.3531,72.222508,-26.818103,0.2572
2017-06-16,0.361,72.22251,-26.818079,0.3717
2017-06-17,0.379,72.222509,-26.818078,0.3692
2017-06-18,0.3733,72.222504,-26.818078,0.3525
2017-06-19,0.376,72.222496,-26.818088,0.5848
2017-06-20,0.3848,72.222493,-26.818109,0.4984
2017-06-21,0.3776,72.22249,-26.818125,0.423
2017-06-22,0.3816,72.222484,-26.818102,0.4156
2017-06-23,0.3723,72.222477,-26.818086,0.2486
2017-06-24,0.3666,72.222484,-26.818093,0.2469
2017-06-25,0.3483,72.222478,-26.81808,0.2253
2017-06-26,0.3477,72.222468,-26.818075,0.3886
2017-06-27,0.3423,72.222473,-26.818113,0.1794
2017-06-28,0.3428,72.222465,-26.818137,0.2356
2017-06-29,0.3578,72.222456,-26.818109,0.4063
2017-06-30,0.6666,72.222461,-26.818083,0.8652
2017-07-01,0.6583,72.222459,-26.818091,0.8209
2017-07-02,0.4271,72.222459,-26.818092,0.8588
2017-07-03,0.5647,72.222452,-26.818105,0.9725
2017-07-04,0.7246,72.222446,-26.818131,0.7072
2017-07-05,0.455,72.222446,-26.818096,0.1302
2017-07-06,0.3441,72.222444,-26.818119,0.1464
2017-07-07,0.3228,72.222439,-26.818101,0.1709
2017-07-08,0.3193,72.222439,-26.818103,0.2057
2017-07-09,0.3199,72.222426,-26.818103,0.1799
2017-07-10,0.3177,72.222431,-26.8181,0.1828
2017-07-11,0.3199,72.222424,-26.818108,0.1929
2017-07-12,0.328,72.222421,-26.818118,0.2061
2017-07-13,0.3372,72.222417,-26.818109,0.3373
2017-07-14,0.3335,72.222415,-26.818102,0.2481
2017-07-15,0.3444,72.222416,-26.818082,0.7535
2017-07-16,0.3366,72.222411,-26.818095,0.8155
2017-07-17,0.3319,72.222402,-26.818121,0.7074
2017-07-18,0.2968,72.222405,-26.818106,0.7444
2017-07-19,0.3116,72.222394,-26.818115,0.6809
2017-07-20,0.322,72.222399,-26.818105,0.6707
2017-07-21,0.2976,72.222393,-26.81811,0.5374
2017-07-22,0.3095,72.222394,-26.818124,0.3643
2017-07-23,0.3042,72.222395,-26.818122,0.8538
2017-07-24,0.2981,72.222395,-26.8181,0.2676
2017-07-25,0.2919,72.222386,-26.818107,0.246
2017-07-26,0.2819,72.222387,-26.818115,0.3336
2017-07-27,0.2872,72.222387,-26.818112,0.3821
2017-07-28,0.3002,72.222371,-26.818122,0.3489
2017-07-29,0.3102,72.222362,-26.81811,0.3422
2017-07-30,0.3195,72.222363,-26.818118,0.3253
2017-07-31,0.3235,72.222366,-26.818127,0.2949
2017-08-01,0.3142,72.222355,-26.818125,0.3009
2017-08-02,0.3146,72.222361,-26.818117,0.2688
2017-08-03,0.3269,72.222357,-26.818118,0.3549
2017-08-04,0.3332,72.222357,-26.818103,0.2763
2017-08-05,0.3541,72.222355,-26.8181,0.8695
2017-08-06,0.3768,72.222341,-26.818122,0.2767
2017-08-07,0.4092,72.222341,-26.818122,0.2103
2017-08-08,0.4113,72.222341,-26.818122,0.499
2017-08-09,0.4096,72.222341,-26.818122,0.3044
2017-08-10,0.4084,72.222341,-26.818122,0.3032
2017-08-11,0.4088,72.222341,-26.818122,0.4925
2017-08-12,0.4127,72.222341,-26.818122,0.1796
2017-08-13,0.4074,72.222341,-26.818122,0.2872
2017-08-14,0.4011,72.222341,-26.818122,0.4397
2017-08-15,0.3905,72.222341,-26.818122,0.3885
2017-08-16,0.3656,72.222341,-26.818122,0.8288
2017-08-17,0.4135,72.222341,-26.818122,0.859
2017-08-18,0.4109,72.222341,-26.818122,0.788
2017-08-19,0.4508,72.222341,-26.818122,0.4529
2017-08-20,0.4456,72.222341,-26.818122,0.3008
2017-08-21,0.4026,72.222341,-26.818122,0.6823
2017-08-22,0.4176,72.222341,-26.818122,0.4772
2017-08-23,0.4335,72.222341,-26.818122,0.2866
2017-08-24,0.4392,72.222341,-26.818122,0.0667
2017-08-25,0.4541,72.222341,-26.818122,0.2282
2017-08-26,0.4511,72.222341,-26.818122,0.2699
2017-08-27,0.4441,72.222341,-26.818122,0.1033
2017-08-28,0.4166,72.222341,-26.818122,0.2152
2017-08-29,0.4203,72.222341,-26.818122,0.2668
2017-08-30,0.4225,72.222341,-26.818122,0.2956
2017-08-31,0.4286,72.222341,-26.818122,0.2727
2017-09-01,0.4143,72.222341,-26.818122,0.3199
2017-09-02,0.6439,72.222341,-26.818122,0.8231
2017-09-03,0.6966,72.222341,-26.818122,0.5798
2017-09-04,0.7485,72.222341,-26.818122,0.8551
2017-09-05,0.6254,72.222341,-26.818122,0.8889
2017-09-06,0.4836,72.222341,-26.818122,0.8409
2017-09-07,0.5077,72.222341,-26.818122,0.2278
2017-09-08,0.5086,72.222341,-26.818122,0.5379
2017-09-09,0.4882,72.222341,-26.818122,0.6548
2017-09-10,0.5035,72.222341,-26.818122,0.1349
2017-09-11,0.5018,72.222341,-26.818122,0.16
2017-09-12,0.505,72.222341,-26.818122,0.1793
2017-09-13,0.4836,72.222341,-26.818122,0.39
2017-09-14,0.4881,72.222341,-26.818122,0.5066
2017-09-15,0.4885,72.222341,-26.818122,0.6711
2017-09-16,0.4688,72.222341,-26.818122,0.7586
2017-09-17,0.7691,72.222341,-26.818122,0.9907
2018-05-01,0.8624,72.222341,-26.818122,0.8777
2018-05-02,0.819,72.222341,-26.818122,0.7094
2018-05-03,0.8207,72.222341,-26.818122,0.7038
2018-05-04,0.7942,72.222341,-26.818122,0.6544
2018-05-05,0.7954,72.222341,-26.818122,0.6018
2018-05-06,0.7555,72.222341,-26.818122,0.2733
2018-05-07,0.7393,72.222341,-26.818122,0.5454
2018-05-08,0.7536,72.222341,-26.818122,0.3075
2018-05-09,0.727,72.222341,-26.818122,0.101
2018-05-10,0.7883,72.222341,-26.818122,0.4736
2018-05-11,0.746,72.222341,-26.818122,0.5452
2018-05-12,0.7068,72.222341,-26.818122,0.2276
2018-05-13,0.744,72.222341,-26.818122,0.4791
2018-05-14,0.8603,72.222341,-26.818122,0.9705
2018-05-15,0.8232,72.222341,-26.818122,0.8693
2018-05-16,0.8756,72.222341,-26.818122,0.9739
2018-05-17,0.7984,72.222341,-26.818122,0.3954
2018-05-18,0.8165,72.222341,-26.818122,0.5218
2018-05-19,0.8453,72.222341,-26.818122,0.8136
2018-05-20,0.8448,72.222341,-26.818122,0.6809
2018-05-21,0.7621,72.222341,-26.818122,0.5483
2018-05-22,0.7307,72.222341,-26.818122,0.1829
2018-05-23,0.7384,72.222341,-26.818122,0.3478
2018-05-24,0.7151,72.222341,-26.818122,0.3775
2018-05-25,0.772,72.222341,-26.818122,0.7023
2018-05-26,0.7501,72.222341,-26.818122,0.58
2018-05-27,0.6796,72.222341,-26.818122,0.1752
2018-05-28,0.6755,72.222341,-26.818122,0.5988
2018-05-29,0.6196,72.222341,-26.818122,0.3046
2018-05-30,0.6149,72.222341,-26.818122,0.2937
2018-05-31,0.5673,72.222341,-26.818122,0.1331
2018-06-01,0.5307,72.222341,-26.818122,0.0546
2018-06-02,0.5873,72.222341,-26.818122,0.5763
2018-06-03,0.5442,72.222341,-26.818122,0.1178
2018-06-04,0.5647,72.222341,-26.818122,0.6294
2018-06-05,0.5544,72.222341,-26.818122,0.6505
2018-06-06,0.548,72.222341,-26.818122,0.4947
2018-06-07,0.5621,72.222341,-26.818122,0.8206
2018-06-08,0.6329,72.222341,-26.818122,0.9847
2018-06-09,0.6989,72.222341,-26.818122,0.6867
2018-06-10,0.588,72.222341,-26.818122,0.2283
2018-06-11,0.5406,72.222341,-26.818122,0.5755
