time,alb_SCO_U,lat_SCO_U,lon_SCO_U,cloud_SCO_U
2017-05-01,0.8862,72.394047,-27.252486,0.2365
2017-05-02,0.8403,72.394047,-27.252486,0.4333
2017-05-03,0.8503,72.394047,-27.252486,0.5361
2017-05-04,0.7906,72.394047,-27.252486,0.2197
2017-05-05,0.7604,72.394047,-27.252486,0.1035
2017-05-06,0.7442,72.394047,-27.252486,0.1362
2017-05-07,0.7292,72.394047,-27.252486,0.2526
2017-05-08,0.7293,72.394047,-27.252486,0.2439
2017-05-09,0.7658,72.394047,-27.252486,0.5745
2017-05-10,0.8477,72.394047,-27.252486,0.3775
2017-05-11,0.8282,72.394047,-27.252486,0.3697
2017-05-12,0.8306,72.394047,-27.252486,0.6269
2017-05-13,0.8006,72.394047,-27.252486,0.2565
2017-05-14,0.8142,72.394047,-27.252486,0.4968
2017-05-15,0.8103,72.394047,-27.252486,0.3551
2017-05-16,0.7923,72.394047,-27.252486,0.5174
2017-05-17,0.7897,72.394047,-27.252486,0.1392
2017-05-18,0.7648,72.394047,-27.252486,0.1866
2017-05-19,0.737,72.394047,-27.252486,0.1665
2017-05-20,0.6744,72.394047,-27.252486,0.213
2017-05-21,0.6596,72.394047,-27.252486,0.2031
2017-05-22,0.6997,72.394047,-27.252486,0.8509
2017-05-23,0.7139,72.394047,-27.252486,0.8493
2017-05-24,0.6748,72.394047,-27.252486,0.0644
2017-05-25,0.6629,72.394047,-27.252486,0.515
2017-05-26,0.6688,72.394047,-27.252486,0.202
2017-05-27,0.656,72.394047,-27.252486,0.4841
2017-05-28,0.7732,72.394047,-27.252486,0.8257
2017-05-29,0.7984,72.394047,-27.252486,0.8928
2017-05-30,0.7891,72.394047,-27.252486,0.3582
2017-05-31,0.7043,72.394047,-27.252486,0.3878
2017-06-01,0.7619,72.394047,-27.252486,0.8347
2017-06-02,0.7588,72.394047,-27.252486,0.4127
2017-06-03,0.6928,72.394047,-27.252486,0.1332
2017-06-04,0.6685,72.394047,-27.252486,0.3279
2017-06-05,0.6549,72.394047,-27.252486,0.2131
2017-06-06,0.6317,72.394047,-27.252486,0.3418
2017-06-07,0.6175,72.394047,-27.252486,0.5818
2017-06-08,0.7992,72.394047,-27.252486,0.9149
2017-06-09,0.9102,72.394047,-27.252486,0.9653
2017-06-10,0.8582,72.394047,-27.252486,0.9295
2017-06-11,0.7867,72.394047,-27.252486,0.4713
2017-06-12,0.6968,72.394047,-27.252486,0.0721
2017-06-13,0.637,72.394047,-27.252486,0.1813
2017-06-14,0.6042,72.394047,-27.252486,0.2406
2017-06-15,0.5771,72.394047,-27.252486,0.1498
2017-06-16,0.5571,72.394047,-27.252486,0.2767
2017-06-17,0.5473,72.394047,-27.252486,0.3765
2017-06-18,0.547,72.394047,-27.252486,0.1751
2017-06-19,0.547,72.394047,-27.252486,0.1994
2017-06-20,0.5347,72.394047,-27.252486,0.2163
2017-06-21,0.5364,72.394047,-27.252486,0.241
2017-06-22,0.5209,72.394047,-27.252486,0.255
2017-06-23,0.5062,72.394047,-27.252486,0.1268
2017-06-24,0.4929,72.394047,-27.252486,0.1096
2017-06-25,0.4784,72.394047,-27.252486,0.1299
2017-06-26,0.4692,72.394047,-27.252486,0.2553
2017-06-27,0.4447,72.394047,-27.252486,0.0797
2017-06-28,0.4507,72.394047,-27.252486,0.1441
2017-06-29,0.4593,72.394047,-27.252486,0.2921
2017-06-30,0.7688,72.394047,-27.252486,0.8573
2017-07-01,0.7833,72.394047,-27.252486,0.872
2017-07-02,0.6272,72.394047,-27.252486,0.7895
2017-07-03,0.772,72.394047,-27.252486,0.9784
2017-07-04,0.8234,72.394047,-27.252486,0.631
2017-07-05,0.6915,72.394047,-27.252486,0.0529
2017-07-06,0.5991,72.394047,-27.252486,0.0793
2017-07-07,0.5158,72.394047,-27.252486,0.116
2017-07-08,0.4642,72.394047,-27.252486,0.1058
2017-07-09,0.4474,72.394047,-27.252486,0.0972
2017-07-10,0.4441,72.394047,-27.252486,0.1016
2017-07-11,0.4408,72.394047,-27.252486,0.1077
2017-07-12,0.4513,72.394047,-27.252486,0.1972
2017-07-13,0.4528,72.394047,-27.252486,0.2041
2017-07-14,0.454,72.394047,-27.252486,0.145
2017-07-15,0.4716,72.394047,-27.252486,0.6886
2017-07-16,0.4595,72.394047,-27.252486,0.823
2017-07-17,0.4428,72.394047,-27.252486,0.627
2017-07-18,0.4294,72.394047,-27.252486,0.7107
2017-07-19,0.4305,72.394047,-27.252486,0.5473
2017-07-20,0.4229,72.394047,-27.252486,0.5848
2017-07-21,0.4118,72.394047,-27.252486,0.4449
2017-07-22,0.4027,72.394047,-27.252486,0.2797
2017-07-23,0.4215,72.394047,-27.252486,0.6842
2017-07-24,0.4295,72.394047,-27.252486,0.1308
2017-07-25,0.4113,72.394047,-27.252486,0.1196
2017-07-26,0.3845,72.394047,-27.252486,0.1982
2017-07-27,0.379,72.394047,-27.252486,0.2715
2017-07-28,0.4001,72.394047,-27.252486,0.2487
2017-07-29,0.4049,72.394047,-27.252486,0.2016
2017-07-30,0.4094,72.394047,-27.252486,0.1852
2017-07-31,0.4208,72.394047,-27.252486,0.13
2017-08-01,0.4229,72.394047,-27.252486,0.1614
2017-08-02,0.4264,72.394047,-27.252486,0.1413
2017-08-03,0.4278,72.394047,-27.252486,0.2287
2017-08-04,0.3605,72.394047,-27.252486,0.4184
2017-08-05,0.4058,72.394047,-27.252486,0.8987
2017-08-06,0.3865,72.394047,-27.252486,0.1319
2017-08-07,0.3827,72.394047,-27.252486,0.0942
2017-08-08,0.3842,72.394047,-27.252486,0.3734
2017-08-09,0.3887,72.394047,-27.252486,0.1797
2017-08-10,0.4048,72.394047,-27.252486,0.2747
2017-08-11,0.3897,72.394047,-27.252486,0.3393
2017-08-12,0.3861,72.394047,-27.252486,0.1534
2017-08-13,0.3968,72.394047,-27.252486,0.232
2017-08-14,0.3872,72.394047,-27.252486,0.3243
2017-08-15,0.3799,72.394047,-27.252486,0.2504
2017-08-16,0.4276,72.394047,-27.252486,0.7644
2017-08-17,0.4854,72.394047,-27.252486,0.8747
2017-08-18,0.4471,72.394047,-27.252486,0.7078
2017-08-19,0.4372,72.394047,-27.252486,0.2504
2017-08-20,0.4381,72.394047,-27.252486,0.186
2017-08-21,0.6411,72.394047,-27.252486,0.6631
2017-08-22,0.5193,72.394047,-27.252486,0.4152
2017-08-23,0.4694,72.394047,-27.252486,0.2137
2017-08-24,0.39,72.394047,-27.252486,0.0245
2017-08-25,0.3951,72.394047,-27.252486,0.1776
2017-08-26,0.3819,72.394047,-27.252486,0.2663
