time,alb_SDM,lat_SDM,lon_SDM,cloud_SDM
2021-06-21,0.6196,63.149,-44.817364,0.0023
2021-06-22,0.7481,63.148988,-44.817378,0.0449
2021-06-23,0.8945,63.148988,-44.817379,0.7385
2021-06-24,0.8634,63.148991,-44.817369,0.9641
2021-06-25,0.7893,63.148989,-44.817382,0.5314
2021-06-26,0.7481,63.148989,-44.817385,0.5655
2021-06-27,0.8042,63.148989,-44.817395,0.6031
2021-06-28,0.8315,63.148993,-44.817389,0.7391
2021-06-29,0.7423,63.148993,-44.817385,0.4778
2021-06-30,0.7394,63.148986,-44.817394,0.2691
2021-07-01,0.7357,63.148986,-44.81739,0.304
2021-07-02,0.8653,63.148993,-44.817392,0.7675
2021-07-03,0.7479,63.148987,-44.817391,0.626
2021-07-04,0.7621,63.148991,-44.817382,0.5512
2021-07-05,0.8321,63.148987,-44.817395,0.7331
2021-07-06,0.823,63.148988,-44.817391,0.8621
2021-07-07,0.715,63.148985,-44.817389,0.2489
2021-07-08,0.8623,63.148988,-44.817393,0.7593
2021-07-09,0.897,63.148988,-44.817394,0.9218
2021-07-10,0.8568,63.148986,-44.81739,0.9319
2021-07-11,0.9043,63.14899,-44.81739,0.9533
2021-07-12,0.8634,63.148986,-44.817384,0.8514
2021-07-13,0.8018,63.148989,-44.817384,0.678
2021-07-14,0.8907,63.148988,-44.817376,0.8744
2021-07-15,0.6506,63.148984,-44.817385,0.1845
2021-07-16,0.7151,63.148984,-44.81738,0.2288
2021-07-17,0.8211,63.148981,-44.817377,0.9466
2021-07-18,0.8281,63.148979,-44.817371,0.9877
2021-07-19,0.876,63.148982,-44.817363,0.8975
2021-07-20,0.8273,63.148984,-44.817382,0.5426
2021-07-21,0.9044,63.148983,-44.817388,0.9118
2021-07-22,0.7808,63.148976,-44.817384,0.5873
2021-07-23,0.781,63.148987,-44.817385,0.669
2021-07-24,0.8158,63.148985,-44.817385,0.7484
2021-07-25,0.7208,63.148987,-44.817386,0.3456
2021-07-26,0.8526,63.148988,-44.81738,0.6706
2021-07-27,0.7391,63.148982,-44.817369,0.6494
2021-07-28,0.7188,63.148986,-44.817381,0.5424
2021-07-29,0.6679,63.148983,-44.817383,0.2547
2021-07-30,0.6845,63.148983,-44.817379,0.2369
2021-07-31,0.7975,63.148977,-44.817389,0.8662
2021-08-01,0.8639,63.148986,-44.817381,0.9329
2021-08-02,0.8477,63.148989,-44.817389,0.8826
2021-08-03,0.788,63.148981,-44.817392,0.8284
2021-08-04,0.8707,63.14899,-44.817378,0.8459
2021-08-05,0.741,63.148985,-44.817385,0.6352
2021-08-06,0.7323,63.148991,-44.81738,0.4448
2021-08-07,0.8996,63.148987,-44.817387,0.7676
2021-08-08,0.7916,63.148986,-44.817384,0.669
2021-08-09,0.6777,63.148984,-44.817386,0.4409
2021-08-10,0.8328,63.148989,-44.817383,0.8522
2021-08-11,0.8487,63.148987,-44.817378,0.8328
2021-08-12,0.6879,63.148989,-44.817386,0.353
2021-08-13,0.769,63.148986,-44.817388,0.4008
2021-08-14,0.7797,63.148977,-44.817375,0.9066
2021-08-15,0.7146,63.148985,-44.81738,0.7995
2021-08-16,0.7532,63.148984,-44.817369,0.9524
2021-08-17,0.6646,63.148976,-44.817369,0.7996
2021-08-18,0.7438,63.148986,-44.817377,0.8015
2021-08-19,0.8035,63.148987,-44.817379,0.8195
2021-08-20,0.8311,63.148985,-44.817382,0.7996
2021-08-21,0.8161,63.148982,-44.81738,0.8266
2021-08-22,0.8196,63.148986,-44.81739,0.9194
2021-08-23,0.6289,63.148984,-44.81738,0.5075
2021-08-24,0.8075,63.14899,-44.817387,0.8375
2021-08-25,0.8144,63.148991,-44.817386,0.8642
2021-08-26,0.8615,63.148994,-44.817379,0.7987
2021-08-27,0.8327,63.148988,-44.817381,0.7131
2021-08-28,0.6865,63.148988,-44.817382,0.5342
2021-08-29,0.7854,63.148989,-44.817388,0.7168
2021-08-30,0.7529,63.148991,-44.817383,0.6513
2021-08-31,0.9178,63.148993,-44.81738,0.9679
2021-09-01,0.939,63.148987,-44.817377,0.9689
2021-09-02,0.8715,63.148988,-44.817374,0.7988
2021-09-04,0.9101,63.14899,-44.817378,0.7197
2021-09-05,0.6818,63.148992,-44.817383,0.5529
2021-09-06,0.9133,63.148984,-44.81738,0.6447
2021-09-07,0.8536,63.148986,-44.817377,0.5728
2021-09-08,0.8633,63.148986,-44.81738,0.9154
2021-09-09,0.7354,63.148986,-44.817388,0.6484
2021-09-10,0.7062,63.148989,-44.817388,0.7427
2021-09-11,0.9445,63.148985,-44.817382,0.969
2021-09-12,0.9824,63.148983,-44.817391,0.9766
2021-09-13,0.947,63.148991,-44.817386,0.8971
2021-09-14,0.8936,63.14899,-44.817381,0.5941
2021-09-15,0.8972,63.148988,-44.817386,0.5545
2021-09-16,0.7409,63.148992,-44.817381,0.5136
2021-09-17,0.6863,63.148986,-44.817385,0.4414
2021-09-18,0.7993,63.148991,-44.817373,0.6445
2021-09-19,0.7495,63.148987,-44.817378,0.6131
2021-09-20,0.7016,63.148991,-44.817385,0.5997
2021-09-21,0.6411,63.148989,-44.817378,0.7077
2021-09-22,0.751,63.148988,-44.817383,0.7757
2021-09-23,0.6362,63.148988,-44.81738,0.5243
2021-09-24,0.7547,63.148989,-44.817385,0.6078
2021-09-25,0.6238,63.148992,-44.817387,0.2107
2021-09-26,0.662,63.148986,-44.817385,0.0267
2021-09-27,0.5676,63.148992,-44.817381,0.4713
2021-09-28,0.7578,63.148988,-44.817378,0.2051
2021-09-29,0.7452,63.148994,-44.81738,0.1599
2021-09-30,0.7386,63.148993,-44.817387,0.3639
2022-06-22,0.7504,63.148996,-44.81738,0.544
2022-06-23,0.7093,63.14899,-44.81739,0.2522
2022-06-24,0.8405,63.148988,-44.81739,0.6433
2022-06-25,0.7299,63.148999,-44.817392,0.7055
2022-06-26,0.8541,63.148995,-44.817387,0.9185
2022-06-27,0.7556,63.148992,-44.817389,0.6981
2022-06-28,0.9022,63.148993,-44.817386,0.8461
2022-06-29,0.8728,63.148988,-44.817398,0.9281
2022-06-30,0.7137,63.14899,-44.817386,0.5255
2022-07-01,0.8396,63.148992,-44.817389,0.7618
2022-07-02,0.7464,63.148991,-44.817389,0.4048
2022-07-03,0.7501,63.148989,-44.817392,0.4193
2022-07-04,0.8558,63.148996,-44.817382,0.8747
2022-07-05,0.8722,63.148988,-44.817388,0.7916
2022-07-06,0.8059,63.14899,-44.817401,0.6984
2022-07-07,0.8141,63.148994,-44.817391,0.8002
2022-07-08,0.7483,63.148986,-44.817395,0.4946
2022-07-09,0.839,63.148983,-44.817393,0.8561
2022-07-10,0.7622,63.148991,-44.817398,0.4125
2022-07-11,0.6989,63.148992,-44.817393,0.3912
2022-07-12,0.6807,63.148987,-44.817381,0.7652
2022-07-13,0.7673,63.148988,-44.817393,0.4497
2022-07-14,0.8967,63.14899,-44.817394,0.8624
2022-07-15,0.8447,63.148988,-44.817403,0.9499
2022-07-16,0.8595,63.148993,-44.817389,0.9583
2022-07-17,0.76,63.148994,-44.817395,0.644
2022-07-18,0.6511,63.148989,-44.817398,0.4784
2022-07-19,0.8241,63.148989,-44.817392,0.7509
2022-07-20,0.8543,63.148988,-44.817396,0.8445
2022-07-21,0.735,63.148992,-44.817392,0.4525
2022-07-22,0.6662,63.149,-44.817385,0.3534
2022-07-23,0.689,63.148989,-44.817392,0.0185
2022-07-24,0.6831,63.148993,-44.817388,0.0361
2022-07-25,0.693,63.14899,-44.817393,0.2091
2022-07-26,0.7697,63.148992,-44.81739,0.6184
2022-07-27,0.6798,63.148999,-44.817389,0.3303
2022-07-28,0.6699,63.148992,-44.817391,0.5195
2022-07-29,0.8026,63.14899,-44.817393,0.8077
2022-07-30,0.7468,63.148994,-44.817399,0.524
2022-07-31,0.6623,63.148991,-44.817385,0.378
2022-08-01,0.6553,63.148994,-44.817386,0.2032
2022-08-02,0.81,63.148988,-44.817393,0.7425
2022-08-03,0.8122,63.148991,-44.817386,0.8485
2022-08-04,0.8646,63.148987,-44.817396,0.8635
2022-08-05,0.8974,63.148987,-44.817391,0.8851
2022-08-06,0.8909,63.148986,-44.81739,0.9062
2022-08-07,0.773,63.148985,-44.817391,0.6922
2022-08-08,0.6899,63.148989,-44.817395,0.5211
2022-08-09,0.7676,63.14899,-44.817386,0.8518
2022-08-10,0.777,63.14899,-44.817382,0.753
2022-08-11,0.6547,63.148989,-44.817382,0.3979
2022-08-12,0.7051,63.14899,-44.817379,0.3032
2022-08-13,0.7622,63.148994,-44.817384,0.2419
2022-08-14,0.8008,63.148989,-44.81738,0.7303
2022-08-15,0.7677,63.148992,-44.817388,0.7064
2022-08-16,0.8911,63.14899,-44.817381,0.9584
2022-08-17,0.7679,63.148988,-44.817386,0.6112
2022-08-18,0.704,63.148995,-44.817386,0.4614
2022-08-19,0.7214,63.148992,-44.817386,0.4925
2022-08-20,0.8798,63.148989,-44.817386,0.9438
2022-08-21,0.6361,63.148994,-44.817386,0.5053
2022-08-22,0.6834,63.148994,-44.817383,0.5927
2022-08-23,0.8301,63.148985,-44.817378,0.6986
2022-08-24,0.5534,63.148991,-44.817382,0.509
2022-08-25,0.7565,63.148991,-44.817373,0.5231
2022-08-26,0.877,63.14899,-44.817384,0.8838
2022-08-27,0.7343,63.148992,-44.817383,0.6992
2022-08-28,0.9027,63.148987,-44.817389,0.9301
2022-08-29,0.9011,63.148988,-44.817391,0.9105
2022-08-30,0.8657,63.148991,-44.81739,0.8213
2022-08-31,0.701,63.148995,-44.817387,0.592
2022-09-01,0.7327,63.148986,-44.817397,0.7523
2022-09-02,0.7758,63.148986,-44.81737,0.8742
2022-09-03,0.9237,63.148977,-44.817367,0.9427
2022-09-04,0.7311,63.148984,-44.817382,0.5314
2022-09-05,0.6915,63.148992,-44.81738,0.5319
2022-09-06,0.8508,63.148988,-44.817391,0.8605
2022-09-07,0.9237,63.148989,-44.817385,0.6688
2022-09-08,0.7567,63.148991,-44.817391,0.6586
2022-09-09,0.7044,63.148987,-44.817379,0.3785
2022-09-10,0.6653,63.148993,-44.81739,0.5179
2022-09-11,0.7367,63.148991,-44.817389,0.6991
2022-09-12,0.6684,63.148991,-44.817379,0.4673
2022-09-13,0.5538,63.14899,-44.817383,0.4974
2022-09-14,0.6857,63.148993,-44.817375,0.6447
2022-09-15,0.7666,63.148995,-44.817383,0.5483
2022-09-16,0.9292,63.148991,-44.817379,0.9575
2022-09-17,0.9492,63.148991,-44.817374,0.8327
2022-09-18,0.9588,63.148991,-44.817375,0.9415
2022-09-19,0.9492,63.148999,-44.817374,0.922
2022-09-20,0.921,63.148991,-44.817385,0.8161
2022-09-22,0.9832,63.148996,-44.817378,0.8023
2022-09-24,0.9751,63.148996,-44.817365,0.6942
2022-09-25,0.8866,63.148994,-44.817377,0.771
2022-09-26,0.8001,63.148983,-44.817373,0.9129
2022-09-27,0.7813,63.148998,-44.817378,0.7431
2022-09-28,0.6558,63.148992,-44.817363,0.8626
2022-09-29,0.8573,63.148992,-44.817364,0.9355
2022-09-30,0.7761,63.149001,-44.817369,0.7299
2023-06-12,0.8118,63.148926,-44.817399,0.4127
2023-06-13,0.8995,63.14891,-44.817407,0.9799
2023-06-14,0.8894,63.148902,-44.817396,0.8841
2023-06-15,0.8529,63.148905,-44.817405,0.4489
2023-06-16,0.7549,63.148906,-44.817396,0.3249
2023-06-17,0.808,63.14891,-44.817397,0.0634
2023-06-18,0.7811,63.148896,-44.817395,0.3407
2023-06-19,0.8085,63.148903,-44.817396,0.5077
2023-06-20,0.8306,63.148904,-44.817402,0.7777
2023-06-21,0.8682,63.14891,-44.817418,0.7549
2023-06-22,0.8693,63.148908,-44.817402,0.9022
2023-06-23,0.8208,63.148907,-44.817405,0.5178
2023-06-24,0.8468,63.148917,-44.8174,0.8269
2023-06-25,0.8892,63.148899,-44.817413,0.8991
2023-06-26,0.8675,63.148897,-44.817406,0.8433
2023-06-27,0.8796,63.148908,-44.817389,0.8479
2023-06-28,0.821,63.148898,-44.817395,0.3176
2023-06-29,0.8339,63.148902,-44.817393,0.389
2023-06-30,0.8171,63.148893,-44.817398,0.5504
2023-07-01,0.7928,63.1489,-44.817406,0.2677
2023-07-02,0.849,63.148909,-44.81739,0.633
2023-07-03,0.8064,63.148909,-44.817395,0.6045
2023-07-04,0.8259,63.148899,-44.8174,0.6178
2023-07-05,0.8134,63.148901,-44.817401,0.7065
2023-07-06,0.829,63.148919,-44.817417,0.9971
2023-07-07,0.7096,63.148904,-44.817405,0.2403
2023-07-08,0.7156,63.148907,-44.817389,0.0246
2023-07-09,0.7463,63.148897,-44.817398,0.2398
2023-07-10,0.7036,63.148909,-44.817408,0.4413
2023-07-11,0.7656,63.148913,-44.817392,0.5766
2023-07-12,0.7042,63.148913,-44.8174,0.4328
2023-07-13,0.7312,63.148911,-44.817397,0.3539
2023-07-14,0.7788,63.148916,-44.8174,0.9314
2023-07-15,0.6977,63.148919,-44.817396,0.3067
2023-07-16,0.7799,63.148917,-44.817396,0.7101
2023-07-17,0.7685,63.148918,-44.817402,0.9077
2023-07-18,0.7155,63.148913,-44.817399,0.4901
2023-07-19,0.8233,63.148914,-44.817395,0.9799
2023-07-20,0.8157,63.148918,-44.817412,0.9744
2023-07-21,0.8937,63.148917,-44.817402,0.8793
2023-07-22,0.7513,63.148916,-44.817402,0.4383
2023-07-23,0.741,63.148912,-44.8174,0.272
2023-07-24,0.7701,63.148907,-44.817398,0.086
2023-07-25,0.7373,63.148917,-44.817393,0.5787
2023-07-26,0.7239,63.148909,-44.81739,0.5074
2023-07-27,0.8248,63.148912,-44.817405,0.4698
2023-07-28,0.8422,63.148914,-44.817395,0.8393
2023-07-29,0.813,63.148909,-44.817398,0.7049
2023-07-30,0.7887,63.148913,-44.817401,0.4768
2023-07-31,0.8096,63.148912,-44.817392,0.5575
2023-08-01,0.7939,63.148912,-44.8174,0.3398
2023-08-02,0.8337,63.148911,-44.817397,0.7575
2023-08-03,0.8302,63.148907,-44.817411,0.5454
2023-08-04,0.8711,63.148909,-44.817403,0.7217
2023-08-05,0.7914,63.148902,-44.817385,0.4044
2023-08-06,0.6992,63.148902,-44.8174,0.4909
2023-08-07,0.8184,63.148901,-44.817392,0.4451
2023-08-08,0.7471,63.148894,-44.817399,0.5568
2023-08-09,0.7932,63.148903,-44.8174,0.5189
2023-08-10,0.6727,63.148896,-44.817402,0.5005
2023-08-11,0.7806,63.148897,-44.817408,0.1981
2023-08-12,0.7734,63.148906,-44.817401,0.2334
2023-08-13,0.7913,63.148909,-44.817395,0.5038
2023-08-14,0.8051,63.148905,-44.817397,0.8461
2023-08-15,0.7166,63.148906,-44.817404,0.3086
2023-08-16,0.7703,63.148914,-44.8174,0.0157
2023-08-17,0.7623,63.148897,-44.817399,0.1112
2023-08-18,0.7983,63.148902,-44.8174,0.4527
2023-08-19,0.7654,63.148899,-44.817393,0.095
2023-08-20,0.7626,63.148905,-44.81741,0.729
2023-08-21,0.7097,63.1489,-44.817398,0.3223
2023-08-22,0.7602,63.1489,-44.817391,0.4213
2023-08-23,0.8638,63.148904,-44.817403,0.971
2023-08-24,0.8782,63.148905,-44.8174,0.81
2023-08-25,0.833,63.14889,-44.817394,0.2267
2023-08-26,0.8047,63.148895,-44.817393,0.6025
2023-08-27,0.7918,63.1489,-44.817396,0.5765
2023-08-28,0.8732,63.148898,-44.817405,0.8604
2023-08-29,0.9644,63.148902,-44.817403,0.9343
2023-08-30,0.9242,63.148913,-44.8174,0.8704
2023-08-31,0.8224,63.14891,-44.817403,0.4879
2023-09-01,0.8562,63.148903,-44.817394,0.8819
2023-09-02,0.8453,63.148899,-44.8174,0.7756
2023-09-03,0.8244,63.148903,-44.817395,0.6043
2023-09-04,0.9357,63.148907,-44.817389,0.7254
2023-09-05,0.9521,63.148906,-44.817399,0.882
2023-09-06,0.9649,63.148905,-44.8174,0.8584
2023-09-07,0.9618,63.148905,-44.817398,0.8302
2023-09-08,0.9978,63.148899,-44.817403,0.5523
2023-09-09,0.9082,63.148908,-44.817402,0.4123
2023-09-10,0.9326,63.148905,-44.817394,0.0621
2023-09-11,0.8195,63.148899,-44.817394,0.2875
2023-09-12,0.8165,63.148905,-44.817386,0.4821
2023-09-13,0.6863,63.148908,-44.817383,0.6499
2023-09-14,0.8989,63.1489,-44.817394,0.8047
2023-09-15,0.8968,63.148898,-44.81739,0.9402
2023-09-16,0.7946,63.148907,-44.817394,0.6616
2023-09-17,0.8596,63.148894,-44.81739,0.8002
