time,alb_SWC,lat_SWC,lon_SWC,cloud_SWC
2020-08-09,0.8885,69.554198,-49.36936,0.3849
2020-08-10,0.9155,69.554194,-49.369362,0.8358
2020-08-11,0.8781,69.554192,-49.369359,0.3647
2020-08-12,0.9207,69.554191,-49.369378,0.6685
2020-08-13,0.9285,69.554188,-49.369382,0.882
2020-08-14,0.9038,69.554183,-49.369394,0.2102
2020-08-15,0.8798,69.554181,-49.369397,0.0714
2020-08-16,0.8687,69.554182,-49.369402,0.0413
2020-08-17,0.8464,69.55418,-49.369409,0.0134
2020-08-18,0.8078,69.554178,-49.369412,0.3715
2020-08-19,0.7959,69.554177,-49.369416,0.1947
2020-08-20,0.7841,69.554175,-49.369423,0.0583
2020-08-21,0.752,69.554175,-49.369429,0.0057
2020-08-22,0.7435,69.554175,-49.369441,0.0256
2020-08-23,0.729,69.554172,-49.369446,0.0183
2020-08-24,0.722,69.55417,-49.369448,0.0729
2020-08-25,0.7937,69.554166,-49.369456,0.9603
2020-08-26,0.7487,69.554165,-49.369467,0.9401
2020-08-27,0.768,69.554164,-49.369468,0.7805
2020-08-28,0.726,69.554163,-49.369474,0.0151
2020-08-29,0.7383,69.554159,-49.369482,0.5149
2020-08-30,0.678,69.554159,-49.369485,0.4238
2020-08-31,0.6952,69.554157,-49.369494,0.1814
2020-09-01,0.9007,69.554154,-49.369502,0.6932
2020-09-02,0.9236,69.554153,-49.369508,0.9305
2020-09-03,0.8718,69.554149,-49.369512,0.3018
2020-09-04,0.8603,69.554148,-49.369525,0.3865
2020-09-05,0.8567,69.554146,-49.369532,0.7833
2020-09-06,0.9692,69.554144,-49.369537,0.946
2020-09-07,0.96,69.554143,-49.369546,0.9128
2020-09-08,0.9494,69.554141,-49.369555,0.6537
2020-09-09,0.8644,69.554138,-49.369559,0.1258
2020-09-10,0.8923,69.554134,-49.369565,0.1162
2020-09-11,0.8648,69.554134,-49.369576,0.2253
2020-09-12,0.8583,69.554133,-49.36958,0.5183
2020-09-13,0.8618,69.554129,-49.369589,0.1825
2020-09-14,0.8545,69.554129,-49.369596,0.0559
2020-09-15,0.8729,69.554128,-49.369606,0.3493
2020-09-16,0.8118,69.554124,-49.369614,0.6011
2020-09-17,0.9415,69.554122,-49.369622,0.8817
2020-09-18,0.9166,69.554118,-49.369629,0.2866
2020-09-19,0.9071,69.554117,-49.369636,0.8105
2021-05-01,0.8026,69.553695,-49.371213,0.0195
2021-05-02,0.7953,69.553691,-49.371228,0.0
2021-05-03,0.7948,69.553696,-49.371256,0.0
2021-05-04,0.7991,69.55369,-49.371248,0.0
2021-05-05,0.8021,69.553704,-49.371273,0.0
2021-05-06,0.8171,69.553689,-49.371274,0.1083
2021-05-07,0.8099,69.553683,-49.371287,0.0407
2021-05-08,0.8181,69.553693,-49.371294,0.041
2021-05-09,0.8567,69.553695,-49.371277,0.5741
2021-05-10,0.8704,69.553681,-49.371314,0.7444
2021-05-11,0.8474,69.553681,-49.371322,0.6065
2021-05-12,0.8529,69.553672,-49.371335,0.4698
2021-05-13,0.8458,69.553676,-49.371334,0.0181
2021-05-14,0.8383,69.553676,-49.371342,0.0593
2021-05-15,0.8359,69.55367,-49.371358,0.1025
2021-05-16,0.86,69.553675,-49.371348,0.4434
2021-05-17,0.8347,69.553665,-49.371362,0.1085
2021-05-18,0.8304,69.553673,-49.371369,0.0689
2021-05-19,0.8657,69.553664,-49.371373,0.3131
2021-05-20,0.905,69.553659,-49.37138,0.7531
2021-05-21,0.9067,69.553664,-49.371363,0.5966
2021-05-22,0.9384,69.553659,-49.371372,0.7386
2021-05-23,0.8866,69.553643,-49.371409,0.2295
2021-05-24,0.9064,69.553651,-49.371401,0.5279
2021-05-25,0.9383,69.55365,-49.371409,0.744
2021-05-26,0.8777,69.553653,-49.371386,0.5612
2021-05-27,0.7838,69.553657,-49.371406,0.111
2021-05-28,0.7665,69.553662,-49.371411,0.0028
2021-05-29,0.7822,69.553652,-49.371413,0.1099
2021-05-30,0.7632,69.553645,-49.371438,0.03
2021-05-31,0.8973,69.553644,-49.371441,0.7526
2021-06-01,0.8415,69.553638,-49.371453,0.3846
2021-06-02,0.79,69.55364,-49.371467,0.0118
2021-06-03,0.7832,69.553639,-49.37148,0.0
2021-06-04,0.7883,69.553638,-49.371486,0.0924
2021-06-05,0.7523,69.553634,-49.371496,0.0
2021-06-06,0.7599,69.553618,-49.371488,0.0856
2021-06-07,0.7544,69.553628,-49.371485,0.0
2021-06-08,0.7464,69.553624,-49.371494,0.0
2021-06-09,0.748,69.553621,-49.371503,0.0
2021-06-10,0.7826,69.553617,-49.371507,0.2253
2021-06-11,0.805,69.55362,-49.371512,0.5241
2021-06-12,0.7702,69.553613,-49.371511,0.657
2021-06-13,0.8007,69.553611,-49.371516,0.6865
2021-06-14,0.7768,69.553611,-49.371527,0.5328
2021-06-15,0.752,69.55361,-49.371532,0.0408
2021-06-16,0.7861,69.553608,-49.37154,0.4745
2021-06-17,0.8224,69.553606,-49.371545,0.5342
2021-06-18,0.7709,69.553606,-49.371553,0.0001
2021-06-19,0.7692,69.553619,-49.371574,0.0011
2021-06-20,0.8126,69.553602,-49.371573,0.406
2021-06-21,0.8535,69.553601,-49.371578,0.6318
2021-06-22,0.7846,69.553597,-49.371587,0.0
2021-06-23,0.8062,69.553595,-49.371591,0.2758
2021-06-24,0.7379,69.553596,-49.371596,0.3972
2021-06-25,0.912,69.553598,-49.371605,0.7503
2021-06-26,0.8781,69.553592,-49.371619,0.6252
2021-06-27,0.8017,69.553586,-49.371623,0.3098
2021-06-28,0.8585,69.553592,-49.371628,0.8519
2021-06-30,0.9842,69.55358,-49.371646,0.9826
2021-07-01,0.8446,69.553577,-49.371654,0.4723
2021-07-02,0.8261,69.553576,-49.371657,0.2182
2021-07-03,0.851,69.553577,-49.371664,0.6393
2021-07-04,0.9035,69.553581,-49.371655,0.9678
2021-07-05,0.9305,69.553575,-49.371679,0.9031
2021-07-06,0.8594,69.55357,-49.371687,0.6177
2021-07-07,0.9303,69.553568,-49.371689,0.8589
2021-07-08,0.8853,69.553563,-49.371705,0.547
2021-07-09,0.8397,69.553563,-49.371713,0.0
2021-07-10,0.8577,69.553562,-49.371719,0.0054
2021-07-11,0.8179,69.553559,-49.371724,0.13
2021-07-12,0.7622,69.55356,-49.371721,0.04
2021-07-13,0.8111,69.55356,-49.371725,0.538
2021-07-14,0.8944,69.55356,-49.371744,0.9978
2021-07-15,0.8519,69.553558,-49.371748,0.8276
