time,alb_SWC_O,lat_SWC_O,lon_SWC_O,cloud_SWC_O
2022-08-02,0.4878,69.595415,-49.279056,0.1081
2022-08-03,0.5417,69.595414,-49.279057,0.2471
2022-08-04,0.411,69.595413,-49.27908,0.9098
2022-08-05,0.4624,69.595409,-49.279091,0.9357
2022-08-06,0.4345,69.595403,-49.279102,0.5759
2022-08-07,0.4456,69.595402,-49.279103,0.3343
2022-08-08,0.4958,69.595396,-49.279112,0.6784
2022-08-09,0.8537,69.595393,-49.279116,0.9616
2022-08-10,0.8955,69.595392,-49.279123,0.9257
2022-08-11,0.83,69.595389,-49.279136,0.8919
2022-08-12,0.8228,69.595388,-49.279138,0.6866
2022-08-13,0.7306,69.595391,-49.279143,0.3311
2022-08-14,0.7672,69.595387,-49.279151,0.5615
2022-08-15,0.6987,69.595389,-49.279155,0.7659
2022-08-16,0.5525,69.59538,-49.279166,0.8976
2022-08-17,0.8321,69.595382,-49.27918,0.9225
2022-08-18,0.8238,69.595377,-49.279181,0.8021
2022-08-19,0.7464,69.595373,-49.27918,0.5386
2022-08-20,0.7543,69.595377,-49.279182,0.4901
2022-08-21,0.8024,69.595378,-49.279194,0.7008
2022-08-22,0.7947,69.595372,-49.2792,0.7447
2022-08-23,0.6499,69.595368,-49.279207,0.9792
2022-08-24,0.8058,69.595369,-49.279215,0.6038
2022-08-25,0.7024,69.595368,-49.279218,0.5174
2022-08-26,0.7665,69.595365,-49.279224,0.6955
2022-08-27,0.7301,69.595367,-49.279238,0.3769
2022-08-28,0.7146,69.595363,-49.279241,0.2184
2022-08-29,0.6587,69.595361,-49.279247,0.4667
2022-08-30,0.5217,69.595363,-49.279244,0.1295
2022-08-31,0.6838,69.595357,-49.279255,0.7933
2022-09-01,0.7413,69.595356,-49.279265,0.6097
2022-09-02,0.3855,69.595354,-49.279274,0.9913
2022-09-03,0.3041,69.595347,-49.279289,0.8734
2022-09-04,0.3075,69.595346,-49.279293,0.3983
2022-09-05,0.3096,69.595343,-49.279305,0.8933
2022-09-06,0.8031,69.595336,-49.279314,0.8958
2022-09-07,0.8483,69.595335,-49.279326,0.8432
2022-09-08,0.8351,69.595336,-49.279329,0.5459
2022-09-09,0.7021,69.595333,-49.279331,0.9607
2022-09-10,0.4884,69.595331,-49.279345,0.7376
2022-09-11,0.7263,69.595326,-49.279353,0.9832
2022-09-12,0.8383,69.595325,-49.27935,0.9428
2022-09-13,0.8192,69.595324,-49.279356,0.9053
2022-09-14,0.789,69.595321,-49.27937,0.9603
2022-09-15,0.8383,69.595324,-49.279372,0.9787
2022-09-16,0.743,69.59532,-49.279383,0.4961
2022-09-17,0.7729,69.595323,-49.27939,0.6316
2022-09-18,0.7053,69.595324,-49.279394,0.8818
2022-09-19,0.7066,69.595321,-49.279406,0.7128
2022-09-20,0.8667,69.595315,-49.279415,0.9687
2022-09-21,0.9717,69.595312,-49.279415,0.9069
2022-09-22,0.9667,69.595311,-49.279418,0.9569
2022-09-23,0.9912,69.595307,-49.279439,0.9698
2022-09-24,0.9686,69.595304,-49.279458,0.9697
2023-05-01,0.7622,69.59491,-49.280883,0.0568
2023-05-02,0.7603,69.594908,-49.280894,0.0725
2023-05-03,0.8304,69.594906,-49.280902,0.6494
2023-05-04,0.8699,69.594908,-49.280901,0.9471
2023-05-05,0.7919,69.594903,-49.28091,0.6665
2023-05-06,0.8267,69.594902,-49.280913,0.7859
2023-05-07,0.7899,69.594902,-49.280922,0.5846
2023-05-08,0.7793,69.594898,-49.280926,0.266
2023-05-09,0.8258,69.594895,-49.280935,0.788
2023-05-10,0.8131,69.5949,-49.280961,0.5266
2023-05-11,0.8362,69.594894,-49.28095,0.6393
2023-05-12,0.8502,69.594894,-49.280964,0.9294
2023-05-13,0.8587,69.594889,-49.280968,0.8762
2023-05-14,0.7848,69.594888,-49.280972,0.4086
2023-05-15,0.7719,69.594886,-49.280985,0.2277
2023-05-16,0.778,69.594883,-49.28099,0.3151
2023-05-17,0.8081,69.594884,-49.280989,0.7214
2023-05-18,0.8139,69.594879,-49.280996,0.5763
2023-05-19,0.8054,69.594878,-49.281006,0.5667
2023-05-20,0.8359,69.594876,-49.281019,0.9076
2023-05-21,0.8356,69.594876,-49.281027,0.8604
2023-05-22,0.7886,69.594873,-49.281027,0.2835
2023-05-23,0.8625,69.594872,-49.281038,0.8959
2023-05-24,0.7967,69.59487,-49.281045,0.4557
2023-05-25,0.7687,69.594869,-49.281044,0.1739
2023-05-26,0.8384,69.594866,-49.281046,0.7146
2023-05-27,0.8644,69.594865,-49.281061,0.935
2023-05-28,0.8019,69.594863,-49.281068,0.5126
2023-05-29,0.7933,69.594861,-49.281079,0.3584
2023-05-30,0.8728,69.594861,-49.281087,0.9339
2023-05-31,0.845,69.594855,-49.281101,0.9425
2023-06-01,0.8507,69.594853,-49.281095,0.9014
2023-06-02,0.8656,69.594851,-49.28111,0.9068
2023-06-03,0.9011,69.594852,-49.281125,0.9232
2023-06-04,0.8391,69.594851,-49.281127,0.7717
2023-06-05,0.8657,69.594849,-49.281135,0.8738
2023-06-06,0.8629,69.594848,-49.281143,0.886
2023-06-07,0.8989,69.594845,-49.281146,0.9674
2023-06-08,0.792,69.594842,-49.281152,0.5524
2023-06-09,0.781,69.594843,-49.281158,0.3531
2023-06-10,0.8954,69.594838,-49.281165,0.9684
2023-06-11,0.8686,69.594841,-49.281165,0.9174
2023-06-12,0.8775,69.594834,-49.281164,0.873
2023-06-13,0.8217,69.594831,-49.281174,0.6517
2023-06-14,0.7732,69.594828,-49.281177,0.3823
2023-06-15,0.7693,69.59483,-49.281188,0.2846
2023-06-16,0.8294,69.594831,-49.281196,0.8699
2023-06-17,0.854,69.594827,-49.281202,0.8789
2023-06-18,0.7949,69.594825,-49.281209,0.504
2023-06-19,0.8092,69.594822,-49.281217,0.5547
2023-06-20,0.8189,69.594824,-49.281239,0.8631
2023-06-21,0.8629,69.59482,-49.281241,0.9656
2023-06-22,0.8276,69.59482,-49.281234,0.8659
2023-06-23,0.7922,69.594819,-49.281251,0.4494
2023-06-24,0.7286,69.594817,-49.28125,0.3293
2023-06-25,0.7081,69.594816,-49.281265,0.4647
2023-06-26,0.694,69.594815,-49.281264,0.2568
2023-06-27,0.8005,69.594806,-49.281271,0.7217
2023-06-28,0.7392,69.594806,-49.281282,0.6526
2023-06-29,0.7367,69.594809,-49.281292,0.7114
2023-06-30,0.8042,69.594804,-49.281293,0.8612
2023-07-01,0.8254,69.594801,-49.281298,0.8371
2023-07-02,0.7133,69.594804,-49.281307,0.1587
2023-07-03,0.6919,69.594799,-49.281313,0.3391
2023-07-04,0.7863,69.594793,-49.281324,0.9955
2023-07-05,0.7704,69.594791,-49.281327,0.843
2023-07-06,0.7456,69.59479,-49.281343,0.9797
2023-07-07,0.772,69.594782,-49.281342,1.0
2023-07-08,0.6791,69.594784,-49.281346,0.7511
2023-07-09,0.67,69.594785,-49.281353,0.6713
2023-07-10,0.7068,69.594784,-49.281364,0.9306
2023-07-11,0.729,69.59478,-49.281364,0.9305
2023-07-12,0.6448,69.594777,-49.281376,0.3895
2023-07-13,0.6464,69.594778,-49.28138,0.2758
2023-07-14,0.6979,69.594775,-49.281393,0.9238
2023-07-15,0.6791,69.594771,-49.281412,0.8359
2023-07-16,0.7334,69.594771,-49.281414,0.9943
2023-07-17,0.694,69.594765,-49.281432,0.8583
2023-07-18,0.6419,69.59476,-49.281442,0.8153
2023-07-19,0.6214,69.594757,-49.281457,0.9175
2023-07-20,0.5716,69.594754,-49.28147,0.9165
2023-07-21,0.5216,69.594749,-49.281479,0.7267
2023-07-22,0.4785,69.594751,-49.281494,0.8457
2023-07-23,0.5186,69.594746,-49.2815,0.7854
2023-07-24,0.5692,69.594743,-49.281504,0.5514
2023-07-25,0.5656,69.594741,-49.281517,0.2189
2023-07-26,0.5561,69.594739,-49.281539,0.0715
2023-07-27,0.5547,69.594732,-49.281543,0.3773
2023-07-28,0.5588,69.594732,-49.28155,0.2477
2023-07-29,0.5718,69.594728,-49.281551,0.4972
2023-07-30,0.5646,69.59473,-49.281561,0.8048
2023-07-31,0.5762,69.594726,-49.281567,0.7323
2023-08-01,0.5829,69.594722,-49.281581,0.1472
2023-08-02,0.6322,69.594726,-49.281587,0.4419
2023-08-03,0.594,69.594724,-49.281598,0.3099
2023-08-04,0.5922,69.594723,-49.281605,0.162
2023-08-05,0.5912,69.594715,-49.281604,0.246
2023-08-06,0.576,69.594717,-49.28161,0.0912
2023-08-07,0.5474,69.594715,-49.281617,0.0847
2023-08-08,0.5447,69.594712,-49.281625,0.2081
2023-08-09,0.5383,69.594708,-49.281629,0.1917
2023-08-10,0.595,69.594712,-49.28164,0.7548
2023-08-11,0.5384,69.594709,-49.28165,0.7283
2023-08-12,0.4964,69.594711,-49.281645,0.5223
2023-08-13,0.5233,69.594704,-49.281659,0.6729
2023-08-14,0.5128,69.594704,-49.281658,0.6202
2023-08-15,0.5072,69.594699,-49.281676,0.8926
2023-08-16,0.5308,69.594695,-49.281678,0.1147
2023-08-17,0.5318,69.594696,-49.281681,0.0807
2023-08-18,0.5315,69.594698,-49.281697,0.1923
2023-08-19,0.5616,69.594696,-49.281696,0.7251
2023-08-20,0.4496,69.594692,-49.281716,0.9813
2023-08-21,0.3353,69.594689,-49.281708,0.5314
2023-08-22,0.3129,69.594687,-49.28172,0.2317
2023-08-23,0.3712,69.594687,-49.281738,0.5214
2023-08-24,0.3922,69.594681,-49.281744,0.8418
2023-08-25,0.4682,69.594674,-49.281745,0.5845
2023-08-26,0.5675,69.594673,-49.281754,0.5061
2023-08-27,0.7478,69.594673,-49.281763,0.7008
2023-08-28,0.7929,69.594671,-49.281773,0.836
2023-08-29,0.8257,69.594669,-49.281775,0.9792
2023-08-30,0.8661,69.594665,-49.281783,0.9712
2023-08-31,0.8514,69.594669,-49.281787,0.7595
