time,alb_TAS_A,lat_TAS_A,lon_TAS_A,cloud_TAS_A
2017-05-01,0.5198,65.778535,-38.898733,0.8656
2017-05-02,0.3046,65.778529,-38.89872,0.9519
2017-05-03,0.3722,65.778531,-38.898734,1.0
2017-05-04,0.755,65.778531,-38.898728,0.9883
2017-05-05,0.779,65.778523,-38.898735,0.9086
2017-05-06,0.7111,65.778521,-38.898727,0.3425
2017-05-07,0.715,65.778527,-38.898732,0.2939
2017-05-08,0.7028,65.778523,-38.898717,0.2606
2017-05-09,0.7607,65.778518,-38.898708,0.5646
2017-05-10,0.6988,65.778518,-38.898705,0.3524
2017-05-11,0.7223,65.778516,-38.898707,0.5522
2017-05-12,0.8558,65.77851,-38.898696,0.5914
2017-05-13,0.7476,65.77851,-38.898688,0.5266
2017-05-14,0.733,65.778509,-38.898682,0.6378
2017-05-15,0.8778,65.778507,-38.898695,0.9724
2017-05-16,0.7741,65.778506,-38.898689,0.458
2017-05-17,0.724,65.778504,-38.898684,0.1916
2017-05-18,0.715,65.778504,-38.898675,0.2826
2017-05-19,0.7739,65.778505,-38.898674,0.8876
2017-05-20,0.6988,65.778505,-38.898668,0.4749
2017-05-21,0.6745,65.778499,-38.898667,0.239
2017-05-22,0.7253,65.778496,-38.898661,0.6185
2017-05-23,0.7125,65.778494,-38.898651,0.7051
2017-05-24,0.7783,65.778491,-38.898655,0.9064
2017-05-25,0.8065,65.778489,-38.898654,0.9622
2017-05-26,0.7414,65.778492,-38.898647,0.4826
2017-05-27,0.808,65.778488,-38.898638,0.9325
2017-05-28,0.83,65.77849,-38.898636,0.9153
2017-05-29,0.7637,65.778488,-38.898647,0.7014
2017-05-30,0.7716,65.778491,-38.898643,0.7361
2017-05-31,0.801,65.778487,-38.898643,0.8727
2017-06-01,0.7442,65.778485,-38.89864,0.2828
2017-06-02,0.7828,65.778485,-38.898622,0.7773
2017-06-03,0.7223,65.778478,-38.89862,0.452
2017-06-04,0.767,65.778479,-38.898615,0.5481
2017-06-05,0.7567,65.778476,-38.898612,0.6447
2017-06-06,0.7019,65.778477,-38.89861,0.244
2017-06-07,0.6957,65.778468,-38.898611,0.2056
2017-06-08,0.7044,65.778466,-38.898606,0.285
2017-06-09,0.6945,65.778466,-38.898595,0.1943
2017-06-10,0.6906,65.778457,-38.898592,0.1695
2017-06-11,0.6843,65.77846,-38.898585,0.1488
2017-06-12,0.6822,65.778459,-38.898581,0.1553
2017-06-13,0.6886,65.778457,-38.898569,0.1876
2017-06-14,0.6983,65.77845,-38.898574,0.3092
2017-06-15,0.6943,65.778454,-38.89857,0.2363
2017-06-16,0.719,65.77845,-38.898564,0.5926
2017-06-17,0.7379,65.778449,-38.898562,0.7843
2017-06-18,0.7432,65.778449,-38.89856,0.7888
2017-06-19,0.7992,65.778446,-38.89855,0.9474
2017-06-20,0.7983,65.778445,-38.898547,0.8924
2017-06-21,0.7003,65.778443,-38.898543,0.75
2017-06-22,0.7373,65.778443,-38.898555,0.7748
2017-06-23,0.6807,65.778432,-38.898555,0.3533
2017-06-24,0.6775,65.778436,-38.898546,0.1952
2017-06-25,0.6655,65.778436,-38.898547,0.1473
2017-06-26,0.669,65.778436,-38.898536,0.1779
2017-06-27,0.6749,65.778426,-38.898523,0.1825
2017-06-28,0.6751,65.778424,-38.898517,0.2104
2017-06-29,0.6753,65.77842,-38.898502,0.2168
2017-06-30,0.6919,65.778421,-38.898501,0.3695
2017-07-01,0.7283,65.778418,-38.8985,0.7337
2017-07-02,0.8053,65.778423,-38.898503,0.7453
2017-07-03,0.6769,65.778424,-38.898509,0.1496
2017-07-04,0.7334,65.778423,-38.898506,0.7695
