time,alb_TAS_L,lat_TAS_L,lon_TAS_L,cloud_TAS_L
2017-07-27,0.2507,65.64012,-38.898585,0.3334
2017-07-28,0.2679,65.640143,-38.898615,0.3556
2017-07-29,0.2687,65.64014,-38.898623,0.3763
2017-07-30,0.2787,65.640143,-38.898618,0.3918
2017-07-31,0.2887,65.640141,-38.898618,0.3416
2017-08-01,0.2927,65.64014,-38.898616,0.3019
2017-08-02,0.2944,65.640138,-38.898622,0.3076
2017-08-03,0.2987,65.64014,-38.898622,0.2797
2017-08-04,0.3111,65.640139,-38.898623,0.271
2017-08-05,0.3094,65.640139,-38.898619,0.4255
2017-08-06,0.2997,65.640139,-38.898617,0.6728
2017-08-07,0.2875,65.640135,-38.898622,0.9923
2017-08-08,0.2753,65.640135,-38.898623,0.3104
2017-08-09,0.3003,65.640137,-38.898622,0.2018
2017-08-10,0.3056,65.640136,-38.898626,0.2246
2017-08-11,0.307,65.640136,-38.898619,0.1853
2017-08-12,0.3023,65.640135,-38.89862,0.2487
2017-08-13,0.2591,65.640134,-38.898614,0.1607
2017-08-14,0.2906,65.640133,-38.898618,0.1988
2017-08-15,0.3251,65.640134,-38.898612,0.241
2017-08-16,0.3224,65.640134,-38.898612,0.3678
2017-08-17,0.3128,65.640134,-38.898622,0.8699
2017-08-18,0.2964,65.640133,-38.898609,0.9201
2017-08-19,0.3093,65.640132,-38.898611,0.5942
2017-08-20,0.2856,65.640132,-38.898608,0.8926
2017-08-21,0.2732,65.640129,-38.898619,0.9908
2017-08-22,0.2602,65.640127,-38.898616,0.9998
2017-08-23,0.2603,65.640127,-38.898617,0.7966
2017-08-24,0.2778,65.640129,-38.898616,0.6874
2017-08-25,0.2569,65.640127,-38.898611,1.0
2017-08-26,0.2613,65.640128,-38.898617,0.9996
2017-08-27,0.2632,65.640126,-38.898617,0.8185
2017-08-28,0.3144,65.640126,-38.898619,0.3877
2017-08-29,0.2947,65.640125,-38.898615,0.2095
2017-08-30,0.2856,65.640126,-38.898612,0.3879
2017-08-31,0.267,65.640125,-38.898613,0.3855
2017-09-01,0.2516,65.640124,-38.898613,0.5618
2017-09-02,0.2949,65.640122,-38.898616,0.2727
2017-09-03,0.274,65.640123,-38.898612,0.682
2017-09-04,0.2991,65.640119,-38.898606,0.8292
2017-09-05,0.2887,65.640118,-38.898619,0.4653
2017-09-06,0.2523,65.640118,-38.898609,0.8464
2017-09-07,0.3364,65.640122,-38.898612,0.1222
2017-09-08,0.3132,65.640121,-38.898601,0.4143
2017-09-09,0.3216,65.64012,-38.898617,0.5724
2017-09-10,0.3323,65.64012,-38.898621,0.4662
2017-09-11,0.3071,65.640121,-38.898618,0.8627
2017-09-12,0.3007,65.640119,-38.898619,0.456
2017-09-13,0.3452,65.640117,-38.898621,0.1763
2017-09-14,0.2875,65.640121,-38.898612,0.897
2017-09-15,0.2412,65.640119,-38.898612,1.0
2017-09-16,0.2394,65.640118,-38.89861,1.0
2017-09-17,0.2499,65.640115,-38.898614,0.9867
2017-09-18,0.2841,65.640114,-38.898617,0.6374
2017-09-19,0.2618,65.640111,-38.898619,0.8028
2017-09-20,0.2765,65.640115,-38.898608,0.8209
2017-09-21,0.298,65.640113,-38.898618,0.6132
2017-09-22,0.3262,65.640111,-38.898617,0.6834
2017-09-23,0.3002,65.640114,-38.898616,0.8664
2017-09-24,0.2838,65.640112,-38.898623,0.8228
2017-09-25,0.2776,65.640115,-38.898619,0.646
2017-09-26,0.3085,65.640112,-38.898616,0.8529
2017-09-27,0.2339,65.640108,-38.898625,0.9193
2017-09-28,0.2782,65.64011,-38.898616,0.545
2017-09-29,0.357,65.640111,-38.898626,0.0735
2017-09-30,0.3842,65.640112,-38.898623,0.1055
2018-05-01,0.7677,65.64004,-38.898656,0.0823
2018-05-02,0.8241,65.640045,-38.898641,0.5836
2018-05-03,0.8165,65.640041,-38.898644,0.3506
2018-05-04,0.7632,65.640045,-38.89864,0.1371
2018-05-05,0.8016,65.640044,-38.89865,0.2915
2018-05-06,0.7491,65.640043,-38.898645,0.0813
2018-05-07,0.7474,65.640043,-38.89864,0.0323
2018-05-08,0.7466,65.640042,-38.898647,0.1096
2018-05-09,0.8868,65.640039,-38.898641,0.8045
2018-05-10,0.8243,65.64004,-38.89864,0.5979
2018-05-11,0.8396,65.640041,-38.898646,0.715
2018-05-12,0.8762,65.640042,-38.898647,0.9127
2018-05-13,0.852,65.640041,-38.898656,0.8461
2018-05-15,0.8746,65.640038,-38.898652,0.3489
2018-05-16,0.8219,65.640037,-38.898653,0.4856
2018-05-17,0.9045,65.640038,-38.898655,0.9624
2018-05-18,0.8797,65.64004,-38.898652,0.7998
2018-05-19,0.8073,65.640036,-38.898651,0.1602
2018-05-20,0.7836,65.64004,-38.898644,0.1079
2018-05-21,0.8329,65.64004,-38.898647,0.577
2018-05-22,0.8487,65.640037,-38.898648,0.753
2018-05-23,0.8474,65.640035,-38.898643,0.9012
2018-05-24,0.8339,65.640032,-38.898649,0.7573
2018-05-25,0.7854,65.640033,-38.898645,0.4697
2018-05-26,0.8474,65.640034,-38.898649,0.9108
2018-05-27,0.7968,65.640034,-38.898653,0.8719
2018-05-28,0.7405,65.640033,-38.898653,0.6328
2018-05-29,0.7957,65.640033,-38.898648,0.9214
2018-05-30,0.7344,65.640031,-38.898651,0.8391
2018-05-31,0.7102,65.64003,-38.898654,0.8833
2018-06-01,0.7413,65.640033,-38.89865,0.8272
2018-06-02,0.7339,65.640033,-38.898656,0.8224
2018-06-03,0.7191,65.640035,-38.89865,0.6582
2018-06-04,0.7613,65.640029,-38.898654,0.9896
2018-06-05,0.7447,65.640026,-38.898656,0.9759
2018-06-06,0.7358,65.64003,-38.898655,0.9748
2018-06-07,0.7626,65.640031,-38.898653,1.0
2018-06-08,0.6599,65.640028,-38.898656,0.652
2018-06-09,0.7234,65.640026,-38.898652,0.782
2018-06-10,0.7219,65.640026,-38.898648,0.9982
2018-06-11,0.711,65.640026,-38.898653,0.9456
2018-06-12,0.6348,65.640023,-38.898657,0.7958
2018-06-13,0.6523,65.640023,-38.898657,0.7649
2018-06-14,0.642,65.640026,-38.898654,0.771
2018-06-15,0.6303,65.640023,-38.89866,0.4889
2018-06-16,0.6446,65.640023,-38.898657,0.7456
2018-06-17,0.613,65.640022,-38.898663,0.2691
2018-06-18,0.6038,65.64002,-38.898667,0.1467
2018-06-19,0.5938,65.640023,-38.89866,0.1333
2018-06-20,0.6039,65.640021,-38.898663,0.4425
2018-06-21,0.5846,65.64002,-38.898661,0.9272
2018-06-22,0.5396,65.64002,-38.898661,0.731
2018-06-23,0.5285,65.640019,-38.898664,0.9606
2018-06-24,0.5043,65.640019,-38.89866,0.8859
2018-06-25,0.478,65.640018,-38.898663,0.8992
2018-06-26,0.4893,65.640019,-38.898662,0.9736
2018-06-27,0.4506,65.640017,-38.898665,0.9216
2018-06-28,0.4261,65.640016,-38.898665,0.9636
2018-06-29,0.3935,65.640014,-38.89866,0.9801
2018-06-30,0.4277,65.640014,-38.898671,0.8723
2018-07-01,0.4088,65.640015,-38.898669,0.9845
2018-07-02,0.3752,65.640015,-38.898663,0.9867
2018-07-03,0.3621,65.640012,-38.898666,0.9464
2018-07-04,0.382,65.640013,-38.898667,0.6906
2018-07-05,0.3604,65.640012,-38.898667,0.7883
2018-07-06,0.3476,65.640012,-38.898665,0.6609
2018-07-07,0.3336,65.640012,-38.898669,0.6951
2018-07-08,0.326,65.640008,-38.898667,0.9788
2018-07-09,0.2975,65.640008,-38.898667,0.8205
2018-07-10,0.3302,65.640012,-38.898668,0.6495
2018-07-11,0.3529,65.640011,-38.89867,0.2771
2018-07-12,0.3206,65.640009,-38.898669,0.8079
2018-07-13,0.2909,65.640006,-38.898674,0.82
2018-07-14,0.3059,65.640008,-38.898666,0.3171
2018-07-15,0.2585,65.640005,-38.898673,0.2162
2018-07-16,0.3225,65.640003,-38.898667,0.2994
2018-07-17,0.3298,65.640003,-38.898668,0.5491
2018-07-18,0.3194,65.640003,-38.898671,0.8085
2018-07-19,0.3113,65.64,-38.898666,0.9587
2018-07-20,0.2932,65.639998,-38.898669,0.915
2018-07-21,0.2874,65.64,-38.898671,0.9428
2018-07-22,0.2965,65.640001,-38.898673,0.6514
2018-07-23,0.3184,65.639997,-38.898677,0.2617
2018-07-24,0.3221,65.639999,-38.898674,0.247
2018-07-25,0.3029,65.639998,-38.898674,0.284
2018-07-26,0.3192,65.639997,-38.898674,0.5219
2018-07-27,0.3199,65.639997,-38.898675,0.3771
2018-07-28,0.3117,65.639993,-38.898676,0.7131
2018-07-29,0.2718,65.639996,-38.898673,0.881
2018-07-30,0.2547,65.639994,-38.898674,0.7154
2018-07-31,0.264,65.639992,-38.898684,0.7631
2018-08-01,0.2642,65.639991,-38.898674,0.8034
2018-08-02,0.2602,65.639992,-38.89867,0.9796
2018-08-03,0.301,65.639992,-38.898672,0.3613
2018-08-04,0.3207,65.639991,-38.89867,0.266
2018-08-05,0.3316,65.639989,-38.898671,0.2535
2018-08-06,0.3011,65.639989,-38.898674,0.2262
2018-08-07,0.2863,65.639989,-38.898669,0.9719
2018-08-08,0.3186,65.63999,-38.898672,0.7326
2018-08-09,0.3068,65.639989,-38.898678,0.6772
2018-08-10,0.2608,65.639982,-38.898687,0.964
2018-08-11,0.2865,65.639987,-38.898673,0.586
2018-08-12,0.2596,65.639987,-38.898676,0.9562
2018-08-13,0.2675,65.639983,-38.898686,0.9204
2018-08-14,0.2755,65.639983,-38.89868,0.6737
2018-08-15,0.3068,65.639986,-38.89868,0.4712
2018-08-16,0.2713,65.639984,-38.898671,0.7695
2018-08-17,0.3115,65.639985,-38.898672,0.4109
2018-08-18,0.3098,65.639985,-38.898674,0.5641
2018-08-19,0.2698,65.639982,-38.898674,0.8232
2018-08-20,0.3191,65.639982,-38.89867,0.4044
2018-08-21,0.2855,65.639984,-38.898672,0.7905
2018-08-22,0.2822,65.639983,-38.898675,0.7342
2018-08-23,0.3076,65.639984,-38.898678,0.2807
2018-08-24,0.3021,65.639981,-38.898679,0.6027
2018-08-25,0.2867,65.639981,-38.898676,0.8902
2018-08-26,0.3027,65.639981,-38.898678,0.789
2018-08-27,0.3208,65.639979,-38.898676,0.5074
2018-08-28,0.3689,65.639977,-38.898681,0.1744
2018-08-29,0.3546,65.639983,-38.898677,0.6034
2018-08-30,0.2567,65.639979,-38.898673,0.9231
2018-08-31,0.2397,65.639979,-38.898672,0.8057
2018-09-01,0.2678,65.63998,-38.898672,0.5637
2018-09-02,0.2882,65.639978,-38.898671,0.7735
2018-09-03,0.2919,65.639978,-38.898673,0.9053
2018-09-04,0.3255,65.639977,-38.898676,0.5272
2018-09-05,0.2945,65.639977,-38.89867,0.9583
2018-09-06,0.303,65.639979,-38.898669,0.9571
2018-09-07,0.2506,65.639975,-38.898672,0.9725
2018-09-08,0.2494,65.639974,-38.898665,0.9423
2018-09-09,0.2291,65.639971,-38.898672,0.9801
2018-09-10,0.2336,65.639971,-38.898674,0.9849
2018-09-11,0.2429,65.63997,-38.898673,0.9126
2018-09-12,0.3294,65.639974,-38.898678,0.6292
2018-09-13,0.3393,65.639971,-38.898674,0.4785
