time,alb_THU_L,lat_THU_L,lon_THU_L,cloud_THU_L
2017-05-01,0.7508,76.399813,-68.26649,0.2889
2017-05-02,0.7471,76.39981,-68.266504,0.1043
2017-05-03,0.8804,76.399809,-68.266497,0.6489
2017-05-04,0.8028,76.399812,-68.266504,0.6911
2017-05-05,0.7947,76.399801,-68.266502,0.4803
2017-05-06,0.7571,76.399808,-68.266508,0.3393
2017-05-07,0.8163,76.399806,-68.266507,0.7959
2017-05-08,0.8369,76.399805,-68.266509,0.797
2017-05-09,0.8323,76.399817,-68.266471,0.6309
2017-05-10,0.8251,76.399805,-68.266486,0.8883
2017-05-11,0.7474,76.3998,-68.266487,0.5476
2017-05-12,0.7677,76.399806,-68.266489,0.1262
2017-05-13,0.764,76.399807,-68.266499,0.2124
2017-05-14,0.7641,76.399815,-68.266442,0.1312
2017-05-15,0.7544,76.399821,-68.266476,0.0938
2017-05-16,0.7671,76.399815,-68.266497,0.169
2017-05-17,0.8495,76.399836,-68.266516,0.8486
2017-05-18,0.8407,76.399828,-68.266518,0.8953
2017-05-19,0.8406,76.399804,-68.266495,0.7011
2017-05-20,0.7907,76.399804,-68.266491,0.1608
2017-05-21,0.8183,76.399824,-68.266524,0.5644
2017-05-22,0.7947,76.399808,-68.266499,0.168
2017-05-23,0.8657,76.399803,-68.266466,0.8994
2017-05-24,0.7977,76.399814,-68.266476,0.7804
2017-05-25,0.7908,76.399808,-68.2665,0.5222
2017-05-26,0.8716,76.399804,-68.26649,0.7639
2017-05-27,0.8352,76.399811,-68.266495,0.9862
2017-05-28,0.8657,76.399811,-68.266494,0.9692
2017-05-29,0.8331,76.399805,-68.266513,0.644
2017-05-30,0.8657,76.399809,-68.266492,0.722
2017-05-31,0.8641,76.399811,-68.266508,0.8013
2017-06-01,0.8688,76.399802,-68.266512,0.8371
2017-06-02,0.8172,76.3998,-68.266504,0.275
2017-06-03,0.7992,76.399814,-68.266493,0.1935
2017-06-04,0.8814,76.399805,-68.266508,0.8107
2017-06-05,0.8866,76.399806,-68.2665,0.9463
2017-06-06,0.8861,76.399803,-68.266495,0.9332
2017-06-07,0.8682,76.399804,-68.266512,0.9147
2017-06-08,0.8503,76.399803,-68.266511,0.9019
2017-06-09,0.8948,76.399807,-68.266502,0.9911
2017-06-10,0.8611,76.399808,-68.26651,0.7965
2017-06-11,0.8042,76.39981,-68.266475,0.0747
2017-06-12,0.8832,76.399811,-68.266522,0.753
2017-06-13,0.8226,76.399811,-68.266489,0.6711
2017-06-14,0.8117,76.399812,-68.266497,0.4212
2017-06-15,0.8115,76.399812,-68.266507,0.397
2017-06-16,0.78,76.399823,-68.266555,0.0813
2017-06-17,0.7705,76.399809,-68.266505,0.1009
2017-06-18,0.7581,76.399813,-68.266504,0.3713
2017-06-19,0.7306,76.399808,-68.26651,0.0392
2017-06-20,0.7269,76.399805,-68.266514,0.1365
2017-06-21,0.7452,76.399803,-68.266516,0.3732
2017-06-22,0.7137,76.399808,-68.266519,0.0421
2017-06-23,0.7391,76.399808,-68.266509,0.1176
2017-06-24,0.8191,76.399806,-68.266505,0.7298
2017-06-25,0.8171,76.399809,-68.266504,0.8122
2017-06-26,0.7979,76.399809,-68.266509,0.71
2017-06-27,0.7118,76.399807,-68.2665,0.2215
2017-06-28,0.7955,76.399811,-68.26648,0.871
2017-06-29,0.7384,76.399815,-68.266498,0.1232
2017-06-30,0.7205,76.39981,-68.266521,0.0792
2017-07-01,0.6905,76.399812,-68.266522,0.0221
2017-07-02,0.6875,76.399813,-68.26652,0.0245
2017-07-03,0.6803,76.399813,-68.26651,0.0138
2017-07-04,0.6739,76.399812,-68.266509,0.0168
2017-07-05,0.6701,76.39981,-68.266522,0.0346
2017-07-06,0.6736,76.399812,-68.266514,0.0747
2017-07-07,0.6651,76.39981,-68.266508,0.0228
2017-07-08,0.6685,76.399811,-68.266517,0.1126
2017-07-09,0.6804,76.399812,-68.266521,0.1391
2017-07-10,0.8528,76.399811,-68.266512,0.868
2017-07-11,0.8155,76.399808,-68.266495,0.864
2017-07-12,0.7767,76.399807,-68.266514,0.788
2017-07-13,0.7276,76.399808,-68.266519,0.7501
2017-07-14,0.6125,76.399806,-68.266528,0.1033
2017-07-15,0.6006,76.399815,-68.266502,0.5513
2017-07-16,0.5811,76.399812,-68.266501,0.119
2017-07-17,0.5902,76.399812,-68.266507,0.5423
2017-07-18,0.5471,76.399816,-68.266508,0.2842
2017-07-19,0.5349,76.399813,-68.266495,0.1763
2017-07-20,0.6451,76.399818,-68.266501,0.6727
2017-07-21,0.6201,76.399813,-68.266503,0.7609
2017-07-22,0.5707,76.399817,-68.266503,0.2802
2017-07-23,0.5304,76.39981,-68.266507,0.2311
2017-07-24,0.5202,76.399812,-68.266502,0.0803
2017-07-25,0.488,76.399811,-68.266494,0.1376
2017-07-26,0.3858,76.399815,-68.266505,0.4806
2017-07-27,0.2834,76.399816,-68.266514,0.8276
2017-07-28,0.2532,76.399817,-68.266516,0.487
2017-07-29,0.2853,76.399816,-68.26651,0.9733
2017-07-30,0.2853,76.399818,-68.266517,0.8304
2017-07-31,0.2752,76.399817,-68.26652,0.9736
2017-08-01,0.3219,76.399821,-68.266525,0.892
2017-08-02,0.3984,76.399818,-68.266514,0.8284
2017-08-03,0.479,76.399818,-68.266522,0.9628
2017-08-04,0.3686,76.399819,-68.266518,0.951
2017-08-05,0.3418,76.399815,-68.266521,0.7123
2017-08-06,0.324,76.399817,-68.266512,0.7783
2017-08-07,0.3418,76.399813,-68.26652,0.6885
2017-08-08,0.3249,76.399816,-68.266533,0.7293
2017-08-09,0.352,76.399817,-68.266519,0.8251
2017-08-10,0.3046,76.399821,-68.266528,0.8667
2017-08-11,0.301,76.399818,-68.266531,0.8651
2017-08-12,0.3091,76.399822,-68.266548,0.8261
2017-08-13,0.3064,76.39982,-68.266531,0.9535
2017-08-14,0.2891,76.39982,-68.266513,0.9983
2017-08-15,0.3201,76.399814,-68.266535,0.0758
2017-08-16,0.3676,76.399813,-68.266525,0.398
2017-08-17,0.3806,76.399816,-68.266518,0.0169
2017-08-18,0.3956,76.399816,-68.266531,0.0494
2017-08-19,0.4018,76.399815,-68.266523,0.1466
2017-08-20,0.4272,76.399814,-68.266529,0.0536
2017-08-21,0.4401,76.399814,-68.266537,0.139
2017-08-22,0.4444,76.399811,-68.266527,0.0216
2017-08-23,0.67,76.399816,-68.266533,0.4756
2017-08-24,0.7595,76.399816,-68.266515,0.7772
2017-08-25,0.7191,76.399817,-68.266527,0.1912
2017-08-26,0.6808,76.399815,-68.266534,0.7321
2017-08-27,0.7744,76.399816,-68.266522,0.9993
2017-08-28,0.7948,76.399814,-68.266511,0.9706
2017-08-29,0.7708,76.39982,-68.26652,0.834
2017-08-30,0.7517,76.399818,-68.266533,0.9143
2017-08-31,0.752,76.399818,-68.266535,0.6431
2017-09-01,0.9591,76.399819,-68.266532,0.8971
2017-09-02,0.7291,76.39982,-68.266518,0.9007
2017-09-03,0.8247,76.399818,-68.266541,0.4986
2017-09-04,0.818,76.399813,-68.266527,0.7103
2017-09-05,0.8306,76.399812,-68.266523,0.7033
2018-05-01,0.733,76.399821,-68.266624,0.0408
2018-05-02,0.736,76.399821,-68.266624,0.0389
2018-05-03,0.7424,76.39982,-68.266631,0.1515
2018-05-04,0.8139,76.399822,-68.26663,0.4116
2018-05-05,0.8161,76.39982,-68.266633,0.6638
2018-05-06,0.812,76.399821,-68.266629,0.539
2018-05-07,0.8546,76.39982,-68.266631,0.5803
2018-05-08,0.8315,76.399821,-68.266632,0.4647
2018-05-09,0.8061,76.399818,-68.266622,0.3941
2018-05-10,0.8096,76.399819,-68.266627,0.3986
2018-05-11,0.7697,76.399818,-68.266628,0.1716
2018-05-12,0.7804,76.39982,-68.266628,0.1945
2018-05-13,0.7993,76.399822,-68.266638,0.3829
2018-05-14,0.7583,76.399821,-68.266629,0.0332
2018-05-15,0.7669,76.399823,-68.266619,0.1362
2018-05-16,0.7823,76.399822,-68.266621,0.5249
2018-05-17,0.7596,76.399822,-68.266643,0.2128
2018-05-18,0.76,76.399826,-68.266649,0.0886
2018-05-19,0.786,76.399823,-68.266642,0.3547
2018-05-20,0.7623,76.399825,-68.266636,0.2396
