time,alb_THU_U,lat_THU_U,lon_THU_U,cloud_THU_U
2017-05-01,0.7752,76.419655,-68.146382,0.2332
2017-05-02,0.7636,76.419658,-68.146402,0.0498
2017-05-03,0.8683,76.419657,-68.14638,0.6676
2017-05-04,0.8027,76.419659,-68.14641,0.6294
2017-05-05,0.8118,76.419629,-68.146378,0.4134
2017-05-06,0.7771,76.419665,-68.146387,0.2688
2017-05-07,0.8198,76.419671,-68.146412,0.85
2017-05-08,0.8129,76.419661,-68.146396,0.8176
2017-05-09,0.8091,76.419658,-68.146394,0.5307
2017-05-10,0.8198,76.419661,-68.146407,0.9143
2017-05-11,0.7247,76.419654,-68.1464,0.4506
2017-05-12,0.806,76.419663,-68.146409,0.0826
2017-05-13,0.798,76.419661,-68.146394,0.119
2017-05-14,0.7884,76.419661,-68.146387,0.0941
2017-05-15,0.7848,76.419658,-68.146411,0.0847
2017-05-16,0.7782,76.419655,-68.146418,0.0811
2017-05-17,0.8386,76.419658,-68.146402,0.8224
2017-05-18,0.8738,76.419657,-68.146419,0.8593
2017-05-19,0.8758,76.419662,-68.146426,0.6557
2017-05-20,0.8292,76.419663,-68.146423,0.1178
2017-05-21,0.8158,76.419661,-68.146412,0.4705
2017-05-22,0.8147,76.419658,-68.146401,0.1331
2017-05-23,0.8382,76.419661,-68.146406,0.8951
2017-05-24,0.8047,76.419659,-68.146417,0.7324
2017-05-25,0.7807,76.419656,-68.146407,0.5172
2017-05-26,0.8292,76.419662,-68.146412,0.7329
2017-05-27,0.8218,76.419636,-68.146421,0.8395
2017-05-28,0.8174,76.419628,-68.14639,0.9015
2017-05-29,0.8578,76.419661,-68.146434,0.6227
2017-05-30,0.8421,76.419655,-68.146414,0.6956
2017-05-31,0.8488,76.419657,-68.146414,0.8669
2017-06-01,0.8559,76.41964,-68.146417,0.816
2017-06-02,0.8085,76.419658,-68.146431,0.1957
2017-06-03,0.7962,76.419657,-68.146423,0.143
2017-06-04,0.8903,76.419668,-68.14643,0.8414
2017-06-05,0.8626,76.419662,-68.146448,0.9639
2017-06-06,0.8482,76.41967,-68.146428,0.8657
2017-06-07,0.8413,76.419649,-68.146309,0.8882
2017-06-08,0.8158,76.41966,-68.146424,0.6753
2017-06-09,0.8359,76.41966,-68.146425,0.8994
2017-06-10,0.8453,76.419659,-68.146423,0.5708
2017-06-11,0.788,76.419662,-68.146418,0.0633
2017-06-12,0.8547,76.419658,-68.146443,0.781
2017-06-13,0.8243,76.41966,-68.146427,0.7313
2017-06-14,0.8328,76.419668,-68.146446,0.2853
2017-06-15,0.7913,76.419668,-68.146425,0.3212
2017-06-16,0.7855,76.419671,-68.146448,0.0792
2017-06-17,0.7753,76.419667,-68.146434,0.101
2017-06-18,0.7892,76.419659,-68.146434,0.4185
2017-06-19,0.7567,76.41965,-68.146449,0.0619
2017-06-20,0.7439,76.419667,-68.146431,0.1169
2017-06-21,0.7383,76.419667,-68.146452,0.049
2017-06-22,0.7279,76.41966,-68.146418,0.0251
2017-06-23,0.7343,76.419662,-68.146411,0.094
2017-06-24,0.8446,76.419662,-68.146425,0.8177
2017-06-25,0.8508,76.419665,-68.14643,0.827
2017-06-26,0.8037,76.419662,-68.146448,0.6803
2017-06-27,0.7415,76.419665,-68.146449,0.2452
2017-06-28,0.8294,76.419657,-68.146439,0.9605
2017-06-29,0.7558,76.419664,-68.146454,0.2366
2017-06-30,0.7488,76.419663,-68.146444,0.0406
2017-07-01,0.7409,76.419659,-68.146448,0.0149
2017-07-02,0.7448,76.419666,-68.14648,0.0204
2017-07-03,0.7278,76.419626,-68.146435,0.0223
2017-07-04,0.7163,76.419659,-68.146445,0.0315
2017-07-05,0.6891,76.419665,-68.146442,0.024
2017-07-06,0.6808,76.419652,-68.146317,0.0616
2017-07-07,0.6782,76.419665,-68.146438,0.0472
2017-07-08,0.68,76.419666,-68.14645,0.0687
2017-07-09,0.685,76.41966,-68.146453,0.1148
2017-07-10,0.8616,76.419663,-68.146449,0.8642
2017-07-11,0.8439,76.419664,-68.146447,0.9223
2017-07-12,0.8212,76.419662,-68.146437,0.8348
2017-07-13,0.7672,76.419659,-68.146441,0.7378
2017-07-14,0.7233,76.419661,-68.146444,0.1277
2017-07-15,0.7562,76.419663,-68.146442,0.5743
2017-07-16,0.6989,76.419662,-68.146439,0.0975
2017-07-17,0.7516,76.419662,-68.146451,0.4961
2017-07-18,0.7232,76.419665,-68.146456,0.2431
2017-07-19,0.6837,76.419663,-68.146458,0.1556
2017-07-20,0.8449,76.419664,-68.146452,0.7369
2017-07-21,0.778,76.419663,-68.146454,0.8679
2017-07-22,0.7006,76.419664,-68.146454,0.3415
2017-07-23,0.7009,76.419662,-68.146461,0.2763
2017-07-24,0.6824,76.419661,-68.146454,0.0725
2017-07-25,0.6857,76.419663,-68.146451,0.0891
2017-07-26,0.7272,76.419662,-68.146455,0.47
2017-07-27,0.7266,76.419663,-68.146454,0.831
2017-07-28,0.6501,76.419659,-68.146453,0.4765
2017-07-29,0.7596,76.419662,-68.146456,0.9741
2017-07-30,0.7112,76.419665,-68.14646,0.8539
2017-07-31,0.7448,76.419666,-68.146463,0.9932
