time,alb_THU_U2,lat_THU_U2,lon_THU_U2,cloud_THU_U2
2018-05-22,0.6822,76.390204,-68.110534,0.1352
2018-05-23,0.7658,76.390204,-68.110534,0.1006
2018-05-24,0.846,76.390204,-68.110534,0.7862
2018-05-25,0.8817,76.390204,-68.110534,0.8124
2018-05-26,0.7907,76.390204,-68.110534,0.2136
2018-05-27,0.9454,76.390204,-68.110534,0.8088
2018-05-28,0.8849,76.390204,-68.110534,0.7836
2018-05-29,0.8255,76.390204,-68.110534,0.4625
2018-05-30,0.8709,76.390204,-68.110534,0.8473
2018-05-31,0.8661,76.390204,-68.110534,0.8563
2018-06-01,0.8271,76.390204,-68.110534,0.3702
2018-06-02,0.895,76.390204,-68.110534,0.8786
2018-06-03,0.8172,76.390204,-68.110534,0.5944
2018-06-04,0.7814,76.390204,-68.110534,0.2347
2018-06-05,0.8365,76.390204,-68.110534,0.4211
2018-06-06,0.7608,76.390204,-68.110534,0.3517
2018-06-07,0.7876,76.390204,-68.110534,0.0434
2018-06-08,0.8873,76.390204,-68.110534,0.9146
2018-06-09,0.8052,76.390204,-68.110534,0.8111
2018-06-10,0.789,76.390204,-68.110534,0.2157
2018-06-11,0.7913,76.390204,-68.110534,0.1355
2018-06-12,0.8392,76.390204,-68.110534,0.7345
2018-06-13,0.7152,76.390204,-68.110534,0.4244
2018-06-14,0.7249,76.390204,-68.110534,0.0519
2018-06-15,0.7143,76.390204,-68.110534,0.0575
2018-06-16,0.7251,76.390204,-68.110534,0.2376
2018-06-17,0.8578,76.390204,-68.110534,0.8667
2018-06-18,0.8825,76.390204,-68.110534,0.9448
2018-06-19,0.8794,76.390204,-68.110534,0.9223
2018-06-20,0.8472,76.390204,-68.110534,0.762
2018-06-21,0.7815,76.390204,-68.110534,0.1109
2018-06-22,0.7781,76.390204,-68.110534,0.0735
2018-06-23,0.7669,76.390204,-68.110534,0.0882
2018-06-24,0.7708,76.390204,-68.110534,0.1219
2018-06-25,0.8135,76.390204,-68.110534,0.4395
2018-06-26,0.8298,76.390204,-68.110534,0.7711
2018-06-27,0.7756,76.390204,-68.110534,0.2531
2018-06-28,0.7316,76.390204,-68.110534,0.0529
2018-06-29,0.7117,76.390204,-68.110534,0.0678
2018-06-30,0.7565,76.390204,-68.110534,0.6614
2018-07-01,0.741,76.390204,-68.110534,0.3312
2018-07-02,0.8024,76.390204,-68.110534,0.7675
2018-07-03,0.8291,76.390204,-68.110534,0.8472
2018-07-04,0.7484,76.390204,-68.110534,0.4823
2018-07-05,0.7971,76.390204,-68.110534,0.7756
2018-07-06,0.8383,76.390204,-68.110534,0.795
2018-07-07,0.8072,76.390204,-68.110534,0.7583
2018-07-08,0.7349,76.390204,-68.110534,0.1448
2018-07-09,0.8588,76.390204,-68.110534,0.8178
2018-07-10,0.9196,76.390204,-68.110534,0.9206
2018-07-11,0.8948,76.390204,-68.110534,0.8093
2018-07-12,0.9062,76.390204,-68.110534,0.9523
2018-07-13,0.863,76.390204,-68.110534,0.7562
2018-07-14,0.7644,76.390204,-68.110534,0.5308
2018-07-15,0.8951,76.390204,-68.110534,0.9311
2018-07-16,0.788,76.390204,-68.110534,0.5236
2018-07-17,0.7558,76.390204,-68.110534,0.1025
2018-07-18,0.7386,76.390204,-68.110534,0.2903
2018-07-19,0.7677,76.390204,-68.110534,0.5464
