time,alb_TUN,lat_TUN,lon_TUN,cloud_TUN
2022-05-27,0.7696,78.019098,-33.962968,0.1527
2022-05-28,0.8154,78.019085,-33.962985,0.2059
2022-05-29,0.8043,78.019085,-33.962962,0.1898
2022-05-30,0.796,78.019093,-33.96298,0.13
2022-05-31,0.8734,78.019091,-33.962972,0.8118
2022-06-01,0.7988,78.019088,-33.962954,0.3802
2022-06-02,0.8282,78.019093,-33.962974,0.3904
2022-06-03,0.8072,78.019095,-33.962957,0.2632
2022-06-04,0.8412,78.01909,-33.962971,0.474
2022-06-05,0.8945,78.019091,-33.962965,0.8858
2022-06-06,0.8697,78.019093,-33.962966,0.8492
2022-06-07,0.8237,78.019088,-33.962951,0.3725
2022-06-08,0.8129,78.019094,-33.962939,0.264
2022-06-09,0.812,78.019098,-33.962942,0.2066
2022-06-10,0.8182,78.019095,-33.962932,0.2411
2022-06-11,0.8156,78.019095,-33.96295,0.3108
2022-06-12,0.8014,78.019092,-33.962942,0.1354
2022-06-13,0.8103,78.019093,-33.962939,0.2683
2022-06-14,0.8061,78.019098,-33.962929,0.2696
2022-06-15,0.8108,78.019093,-33.962919,0.3373
2022-06-16,0.8014,78.019097,-33.962924,0.1197
2022-06-17,0.8268,78.019094,-33.96292,0.2933
2022-06-18,0.8219,78.019095,-33.962922,0.3717
2022-06-19,0.8685,78.019094,-33.962919,0.7971
2022-06-20,0.88,78.019096,-33.962913,0.7407
2022-06-21,0.8872,78.019097,-33.96291,0.8766
2022-06-22,0.9182,78.019098,-33.962905,0.9468
2022-06-23,0.876,78.019098,-33.962898,0.7835
2022-06-24,0.8991,78.019096,-33.9629,0.8655
2022-06-25,0.8727,78.019101,-33.962897,0.6461
2022-06-26,0.8434,78.019101,-33.962891,0.264
2022-06-27,0.8308,78.019094,-33.96288,0.1139
2022-06-28,0.8753,78.019099,-33.962893,0.7042
2022-06-29,0.829,78.0191,-33.962891,0.2295
2022-06-30,0.8319,78.019102,-33.96288,0.1762
2022-07-01,0.8705,78.019101,-33.962884,0.7631
2022-07-02,0.8238,78.019101,-33.962877,0.5854
2022-07-03,0.8562,78.019102,-33.962871,0.7859
2022-07-04,0.8631,78.019104,-33.962866,0.6614
2022-07-05,0.8167,78.019103,-33.962866,0.2078
2022-07-06,0.8411,78.019102,-33.962858,0.2969
2022-07-07,0.8761,78.019104,-33.96285,0.7708
2022-07-08,0.8791,78.019103,-33.96285,0.6048
