time,alb_UPE_L,lat_UPE_L,lon_UPE_L,cloud_UPE_L
2017-05-01,0.7409,72.893222,-54.295437,0.1614
2017-05-02,0.6619,72.893225,-54.29544,0.1715
2017-05-03,0.8566,72.893226,-54.295436,0.988
2017-05-04,0.724,72.893225,-54.295441,0.7673
2017-05-05,0.7713,72.893224,-54.295448,0.7073
2017-05-06,0.7194,72.893225,-54.295439,0.63
2017-05-07,0.7174,72.893229,-54.295448,0.9048
2017-05-08,0.8677,72.893228,-54.295455,0.9861
2017-05-09,0.7806,72.893226,-54.29545,0.9435
2017-05-10,0.7143,72.893226,-54.295441,0.368
2017-05-11,0.8318,72.893226,-54.295451,0.8649
2017-05-12,0.8224,72.893226,-54.295456,0.964
2017-05-13,0.7983,72.893227,-54.295449,0.7427
2017-05-14,0.7661,72.893228,-54.295454,0.4664
2017-05-15,0.741,72.893223,-54.295453,0.5672
2017-05-16,0.7558,72.893222,-54.295439,0.6737
2017-05-17,0.7765,72.893223,-54.295445,0.7966
2017-05-18,0.8624,72.893226,-54.295446,0.9156
2017-05-19,0.8327,72.893226,-54.295449,1.0
2017-05-20,0.896,72.893226,-54.29545,0.9927
2017-05-21,0.8301,72.893226,-54.295447,0.9484
2017-05-22,0.8389,72.893227,-54.295447,0.8951
2017-05-23,0.8066,72.893225,-54.295449,0.7022
2017-05-24,0.7517,72.893227,-54.295451,0.222
2017-05-25,0.7365,72.893226,-54.295455,0.5669
2017-05-26,0.6905,72.893226,-54.295451,0.5652
2017-05-27,0.8533,72.893225,-54.295448,0.921
2017-05-28,0.825,72.893228,-54.295453,0.9773
2017-05-29,0.8441,72.893227,-54.29545,0.9657
2017-05-30,0.761,72.893225,-54.295445,0.584
2017-05-31,0.7318,72.893224,-54.295448,0.3919
2017-06-01,0.6969,72.893226,-54.295448,0.2581
2017-06-02,0.6781,72.893224,-54.29545,0.3716
2017-06-03,0.7184,72.893224,-54.295452,0.5253
2017-06-04,0.6584,72.893225,-54.29545,0.5663
2017-06-05,0.7121,72.893226,-54.295449,0.6565
2017-06-06,0.7123,72.893223,-54.295447,0.8132
2017-06-07,0.7027,72.893224,-54.29545,0.9478
2017-06-08,0.6241,72.893224,-54.295445,0.6147
2017-06-09,0.6163,72.893228,-54.295455,0.8208
2017-06-10,0.6245,72.893225,-54.295456,0.3241
2017-06-11,0.6112,72.893226,-54.295461,0.3193
2017-06-12,0.6339,72.893225,-54.295454,0.7655
2017-06-13,0.5873,72.893224,-54.295451,0.4387
2017-06-14,0.6497,72.893224,-54.295454,0.7721
2017-06-15,0.6458,72.893224,-54.295456,0.9191
2017-06-16,0.6273,72.893227,-54.295462,0.3324
2017-06-17,0.6769,72.893227,-54.295465,0.9477
2017-06-18,0.6427,72.893227,-54.295455,0.8427
2017-06-19,0.6194,72.893226,-54.295455,0.2802
2017-06-20,0.6744,72.893226,-54.29546,0.9686
2017-06-21,0.6403,72.893228,-54.295465,0.9425
2017-06-22,0.6397,72.893229,-54.295451,0.7777
2017-06-23,0.6456,72.89323,-54.295459,0.6748
2017-06-24,0.6673,72.893226,-54.295465,0.8109
2017-06-25,0.6109,72.893229,-54.295467,0.8699
2017-06-26,0.634,72.893226,-54.295462,0.873
2017-06-27,0.6154,72.893228,-54.295459,0.753
2017-06-28,0.6678,72.893227,-54.295462,0.6392
2017-06-29,0.6854,72.893227,-54.295459,0.9981
2017-06-30,0.7163,72.893227,-54.295459,0.7722
2017-07-01,0.6612,72.893228,-54.295461,0.4983
2017-07-02,0.6334,72.893227,-54.295461,0.2125
2017-07-03,0.6374,72.893226,-54.295461,0.3208
2017-07-04,0.5833,72.893226,-54.295459,0.119
2017-07-05,0.6546,72.893228,-54.295453,0.4538
2017-07-06,0.6017,72.893229,-54.295452,0.187
2017-07-07,0.5942,72.89323,-54.295453,0.2907
2017-07-08,0.538,72.893231,-54.295465,0.2166
2017-07-09,0.5601,72.893229,-54.295469,0.2947
2017-07-10,0.5854,72.893227,-54.295462,0.3787
2017-07-11,0.5982,72.893227,-54.295469,0.9227
2017-07-12,0.5886,72.893226,-54.29547,0.8446
2017-07-13,0.5291,72.893227,-54.295465,0.4704
2017-07-14,0.5448,72.893227,-54.295464,0.443
2017-07-15,0.5103,72.893227,-54.295468,0.2099
2017-07-16,0.5551,72.893225,-54.295468,0.3107
2017-07-17,0.6145,72.89323,-54.295473,0.9818
2017-07-18,0.559,72.89323,-54.295464,0.5441
2017-07-19,0.5669,72.893227,-54.295465,0.5063
2017-07-20,0.5505,72.893227,-54.295473,0.8862
2017-07-21,0.5592,72.893229,-54.295469,0.7897
2017-07-22,0.5243,72.893227,-54.29547,0.2651
2017-07-23,0.5327,72.893225,-54.29547,0.1769
2017-07-24,0.5285,72.893228,-54.295469,0.1512
2017-07-25,0.5074,72.893224,-54.295473,0.374
2017-07-26,0.5011,72.893228,-54.295482,0.4808
2017-07-27,0.489,72.893229,-54.295476,0.2769
2017-07-28,0.483,72.893225,-54.295476,0.3158
2017-07-29,0.5438,72.893228,-54.295477,0.7487
2017-07-30,0.4981,72.893229,-54.295471,0.5167
2017-07-31,0.4889,72.893229,-54.295481,0.405
2017-08-01,0.5623,72.89323,-54.295483,0.8743
2017-08-02,0.5513,72.89323,-54.295486,0.9954
2017-08-03,0.5331,72.89323,-54.295477,0.8034
2017-08-04,0.5528,72.89323,-54.295476,0.2563
2017-08-05,0.5504,72.89323,-54.295475,0.4336
2017-08-06,0.5534,72.893232,-54.29548,0.7164
2017-08-07,0.5456,72.893228,-54.295482,0.2956
2017-08-08,0.5461,72.893229,-54.295477,0.4603
2017-08-09,0.6357,72.893229,-54.29548,0.9268
2017-08-10,0.5066,72.89323,-54.29548,0.5032
2017-08-11,0.4986,72.89323,-54.295487,0.5287
2017-08-12,0.5261,72.89323,-54.295486,0.267
2017-08-13,0.541,72.893231,-54.295484,0.3108
2017-08-14,0.5192,72.893232,-54.295478,0.314
2017-08-15,0.5921,72.893229,-54.295478,0.8552
2017-08-16,0.5468,72.89323,-54.295476,0.9953
2017-08-17,0.5816,72.893228,-54.295481,0.8203
2017-08-18,0.5761,72.893229,-54.295482,0.7214
2017-08-19,0.4994,72.893229,-54.295478,0.2382
2017-08-20,0.5196,72.893229,-54.295481,0.4947
2017-08-21,0.4965,72.893231,-54.29548,0.4088
2017-08-22,0.5526,72.893229,-54.295479,0.4128
2017-08-23,0.5461,72.893228,-54.295482,0.6741
2017-08-24,0.5191,72.893231,-54.295479,0.4015
2017-08-25,0.5544,72.893233,-54.29548,0.1225
2017-08-26,0.5548,72.893229,-54.295491,0.0809
2017-08-27,0.5502,72.89323,-54.295484,0.2042
2017-08-28,0.5865,72.89323,-54.295486,0.9173
2017-08-29,0.5811,72.893231,-54.295486,0.9484
2017-08-30,0.5198,72.89323,-54.295487,0.8229
2017-08-31,0.5477,72.893228,-54.295492,0.9152
2017-09-01,0.5312,72.893229,-54.29549,0.5797
2017-09-02,0.5409,72.89323,-54.295487,0.2992
2017-09-03,0.7776,72.893231,-54.295492,0.8383
2017-09-04,0.6778,72.893229,-54.295489,0.3401
2017-09-05,0.6866,72.89323,-54.295489,0.0895
2017-09-06,0.69,72.89323,-54.295489,0.2251
2017-09-07,0.6777,72.893232,-54.295496,0.1459
2017-09-08,0.6712,72.89323,-54.295487,0.0566
2017-09-09,0.6844,72.89323,-54.295489,0.4415
2017-09-10,0.5391,72.893227,-54.295485,0.8171
2017-09-11,0.7821,72.893227,-54.295483,0.8888
2017-09-12,0.7937,72.893232,-54.295484,0.766
2017-09-13,0.7709,72.893232,-54.295483,0.4693
2017-09-14,0.7435,72.893232,-54.295493,0.3182
2017-09-15,0.7845,72.893231,-54.295492,0.9736
2018-05-01,0.7996,72.893232,-54.295515,0.1312
2018-05-02,0.7927,72.893231,-54.295512,0.2937
2018-05-03,0.8124,72.893234,-54.295513,0.4787
2018-05-04,0.8478,72.893234,-54.295517,0.8002
2018-05-05,0.8254,72.893235,-54.295514,0.4603
2018-05-06,0.8008,72.893232,-54.295515,0.5081
2018-05-07,0.8078,72.893231,-54.295518,0.4208
2018-05-08,0.7963,72.89323,-54.29552,0.2525
2018-05-09,0.7869,72.89323,-54.295518,0.1615
2018-05-10,0.7826,72.893234,-54.295518,0.1464
2018-05-11,0.7838,72.893233,-54.295526,0.2714
2018-05-12,0.7776,72.893231,-54.295525,0.4339
2018-05-13,0.7718,72.893234,-54.295536,0.3016
2018-05-14,0.768,72.893229,-54.295524,0.2421
2018-05-15,0.7932,72.893231,-54.295516,0.723
2018-05-16,0.7921,72.893229,-54.295514,0.788
2018-05-17,0.7766,72.893231,-54.295523,0.7147
2018-05-18,0.766,72.893233,-54.295519,0.5665
2018-05-19,0.8053,72.893232,-54.295517,0.8339
2018-05-20,0.8172,72.89323,-54.295517,0.8971
2018-05-21,0.7904,72.893231,-54.295519,0.777
2018-05-22,0.7545,72.893228,-54.29552,0.1701
2018-05-23,0.7212,72.89323,-54.295522,0.3845
2018-05-24,0.8402,72.89323,-54.295521,0.9591
2018-05-25,0.8369,72.893232,-54.295516,0.8778
2018-05-26,0.7903,72.89323,-54.295517,0.8639
2018-05-27,0.8708,72.89323,-54.295519,0.9399
2018-05-28,0.8315,72.893229,-54.295522,0.6123
2018-05-29,0.7857,72.893228,-54.295521,0.3645
2018-05-30,0.7873,72.893227,-54.295517,0.7296
2018-05-31,0.8572,72.89323,-54.295517,0.6948
2018-06-01,0.822,72.89323,-54.295517,0.8042
2018-06-02,0.7931,72.89323,-54.295522,0.3318
2018-06-03,0.7532,72.893231,-54.295526,0.1766
2018-06-04,0.7439,72.893229,-54.295516,0.2322
2018-06-05,0.7734,72.893229,-54.295523,0.8421
2018-06-06,0.7467,72.893228,-54.29552,0.9055
2018-06-07,0.7731,72.893233,-54.29552,0.9409
