time,alb_UPE_U,lat_UPE_U,lon_UPE_U,cloud_UPE_U
2017-05-01,0.7887,72.887554,-53.581606,0.0714
2017-05-02,0.7847,72.88755,-53.581627,0.0958
2017-05-03,0.8412,72.887548,-53.581633,0.7235
2017-05-04,0.7989,72.887546,-53.581652,0.314
2017-05-05,0.8625,72.887541,-53.581664,0.575
2017-05-06,0.8035,72.887542,-53.581683,0.6131
2017-05-07,0.8866,72.887545,-53.581703,0.9209
2017-05-08,0.9232,72.887543,-53.581716,0.9932
2017-05-09,0.8219,72.88754,-53.58173,0.6969
2017-05-10,0.7938,72.887545,-53.58175,0.1096
2017-05-11,0.8868,72.887541,-53.581769,0.8651
2017-05-12,0.7913,72.88754,-53.58178,0.3157
2017-05-13,0.7697,72.887541,-53.581796,0.1108
2017-05-14,0.8322,72.88754,-53.581816,0.3403
2017-05-15,0.8182,72.887539,-53.581839,0.4454
2017-05-16,0.8424,72.887462,-53.581884,0.6828
2017-05-17,0.8536,72.887535,-53.581863,0.767
2017-05-18,0.9146,72.887532,-53.581884,0.869
2017-05-19,0.8744,72.88753,-53.581897,0.8059
2017-05-20,0.9213,72.887529,-53.581921,0.9775
2017-05-21,0.8353,72.887528,-53.581928,0.7953
2017-05-22,0.7975,72.88753,-53.581943,0.446
2017-05-23,0.7891,72.887526,-53.58195,0.0711
2017-05-24,0.7831,72.887524,-53.581973,0.0064
2017-05-25,0.8134,72.887526,-53.581991,0.4487
2017-05-26,0.7658,72.887524,-53.582004,0.1217
2017-05-27,0.863,72.887526,-53.582024,0.6117
2017-05-28,0.8929,72.887525,-53.582046,0.9009
2017-05-29,0.8607,72.887522,-53.582069,0.9036
2017-05-30,0.795,72.887518,-53.58207,0.4172
2017-05-31,0.759,72.887516,-53.582086,0.0998
2017-06-01,0.7567,72.887513,-53.582106,0.0919
2017-06-02,0.7571,72.887513,-53.582114,0.2347
2017-06-03,0.7642,72.887507,-53.582133,0.3176
2017-06-04,0.7339,72.887502,-53.582141,0.1142
2017-06-05,0.763,72.887507,-53.582162,0.3793
2017-06-06,0.7977,72.887507,-53.582175,0.7845
2017-06-07,0.7483,72.887503,-53.582193,0.3837
2017-06-08,0.7169,72.887505,-53.582215,0.2001
2017-06-09,0.7361,72.887508,-53.582232,0.2953
2017-06-10,0.7223,72.887505,-53.582246,0.1112
2017-06-11,0.7151,72.887508,-53.582262,0.2317
2017-06-12,0.8072,72.887504,-53.582278,0.7186
2017-06-13,0.7126,72.887503,-53.582299,0.2157
2017-06-14,0.7059,72.887501,-53.582315,0.1267
