time,alb_WEG_L,lat_WEG_L,lon_WEG_L,cloud_WEG_L
2023-05-01,0.8318,71.205077,-51.097221,0.0374
2023-05-02,0.8292,71.205075,-51.097229,0.0335
2023-05-03,0.9232,71.205077,-51.097236,0.6749
2023-05-04,0.9118,71.205077,-51.097226,0.959
2023-05-05,0.898,71.205081,-51.09723,0.9258
2023-05-06,0.909,71.205078,-51.097237,0.9501
2023-05-07,0.8827,71.205081,-51.097236,0.8432
2023-05-08,0.9139,71.205077,-51.097258,0.9433
2023-05-10,0.7958,71.205082,-51.097284,0.7946
2023-05-11,0.8566,71.205074,-51.097262,0.9196
2023-05-12,0.8339,71.205077,-51.09729,0.998
2023-05-14,0.873,71.205073,-51.097297,0.7905
2023-05-15,0.8409,71.205074,-51.097307,0.3123
2023-05-16,0.8301,71.205071,-51.097307,0.2694
2023-05-17,0.8235,71.205071,-51.097311,0.1459
2023-05-18,0.9045,71.205069,-51.097319,0.804
2023-05-19,0.842,71.205069,-51.097329,0.4365
2023-05-20,0.8866,71.205071,-51.097333,0.9144
2023-05-21,0.8882,71.20507,-51.09736,0.979
2023-05-22,0.8481,71.205067,-51.097347,0.4413
2023-05-23,0.9226,71.205068,-51.097363,0.8596
2023-05-24,0.8543,71.205069,-51.097377,0.5034
2023-05-25,0.8363,71.205065,-51.097372,0.2361
2023-05-26,0.9104,71.20507,-51.097374,0.7334
2023-05-27,0.9159,71.205065,-51.09738,0.9115
2023-05-28,0.8506,71.205065,-51.097388,0.4442
2023-05-29,0.8457,71.205069,-51.097402,0.3509
2023-05-30,0.9472,71.205068,-51.097403,0.9633
2023-05-31,0.9025,71.205061,-51.097419,0.9497
2023-06-01,0.9113,71.205066,-51.097427,0.8936
2023-06-02,0.9198,71.205066,-51.09743,0.9502
2023-06-03,0.9565,71.205066,-51.097445,0.9673
2023-06-04,0.873,71.205069,-51.097438,0.5855
2023-06-05,0.9292,71.205068,-51.09746,0.8821
2023-06-06,0.8993,71.205061,-51.09746,0.7628
2023-06-07,0.9253,71.205065,-51.097462,0.9158
2023-06-08,0.8862,71.205063,-51.097464,0.7814
2023-06-09,0.841,71.205066,-51.097474,0.3425
2023-06-10,0.9472,71.205064,-51.097492,0.9671
2023-06-11,0.9204,71.205066,-51.097496,0.932
2023-06-12,0.9363,71.205064,-51.097488,0.8584
2023-06-13,0.907,71.205063,-51.097504,0.7414
2023-06-14,0.8472,71.205058,-51.097517,0.5438
2023-06-15,0.824,71.205066,-51.097529,0.5184
2023-06-16,0.8748,71.205062,-51.097544,0.8807
2023-06-18,0.895,71.205054,-51.097548,0.7733
2023-06-19,0.867,71.205059,-51.097546,0.5855
2023-06-20,0.8845,71.205065,-51.097561,0.9116
2023-06-21,0.8704,71.205053,-51.097568,0.965
2023-06-22,0.8306,71.205054,-51.09757,0.6584
2023-06-23,0.775,71.205054,-51.09758,0.5893
2023-06-24,0.7714,71.205052,-51.097571,0.4052
2023-06-25,0.7282,71.205052,-51.097584,0.3986
2023-06-26,0.7163,71.205049,-51.097584,0.2482
2023-06-27,0.7937,71.205046,-51.097578,0.4921
2023-06-28,0.7489,71.205052,-51.097588,0.6138
2023-06-29,0.7827,71.205053,-51.0976,0.5432
2023-06-30,0.8945,71.205053,-51.097601,0.9881
2023-07-01,0.8669,71.205048,-51.097607,0.9816
2023-07-02,0.7447,71.205052,-51.097612,0.3017
2023-07-03,0.7013,71.205051,-51.097631,0.1557
2023-07-04,0.8376,71.205047,-51.097632,0.9677
2023-07-05,0.7877,71.205046,-51.097636,0.87
