time,alb_ZAK_Lv3,lat_ZAK_Lv3,lon_ZAK_Lv3,cloud_ZAK_Lv3
2022-05-18,0.837,74.62416,-21.374457,0.2428
2022-06-04,0.6095,74.624193,-21.374432,0.0724
2023-05-01,0.8078,74.624138,-21.374333,0.205
2023-05-02,0.8092,74.624143,-21.374346,0.1627
2023-05-03,0.8059,74.624141,-21.374355,0.1148
2023-05-04,0.8023,74.624144,-21.374357,0.0954
2023-05-05,0.8036,74.624146,-21.37436,0.256
2023-05-06,0.8002,74.624147,-21.374366,0.2761
2023-05-07,0.7896,74.624144,-21.374353,0.4282
2023-05-08,0.7789,74.624135,-21.374342,0.786
2023-05-09,0.779,74.624132,-21.374325,0.7145
2023-05-10,0.8022,74.624148,-21.374351,0.3817
2023-05-11,0.8432,74.624144,-21.374322,0.6873
2023-05-12,0.8822,74.624144,-21.374341,0.7959
2023-05-13,0.8259,74.624142,-21.374333,0.2041
2023-05-14,0.8184,74.624142,-21.374336,0.2835
2023-05-15,0.8096,74.624145,-21.374342,0.3301
2023-05-16,0.796,74.624138,-21.374345,0.1046
2023-05-17,0.7972,74.624138,-21.374353,0.0813
2023-05-18,0.7934,74.624138,-21.374356,0.0957
2023-05-19,0.7978,74.624143,-21.374361,0.2929
2023-05-20,0.8685,74.624148,-21.374357,0.9361
2023-05-21,0.8891,74.62415,-21.374366,0.8654
2023-05-22,0.8296,74.624143,-21.374361,0.357
2023-05-23,0.81,74.624143,-21.374356,0.2324
2023-05-24,0.8395,74.624142,-21.374359,0.4232
2023-05-25,0.7946,74.624144,-21.37435,0.1491
2023-05-26,0.7922,74.62414,-21.374339,0.0652
2023-05-27,0.786,74.624143,-21.374349,0.0628
2023-05-28,0.7875,74.624144,-21.374337,0.118
2023-05-29,0.8231,74.624148,-21.374357,0.6278
2023-05-30,0.7828,74.624147,-21.374346,0.0412
2023-05-31,0.783,74.624143,-21.374355,0.1377
2023-06-01,0.8564,74.624145,-21.374343,0.6877
2023-06-02,0.8068,74.624144,-21.37436,0.5481
2023-06-03,0.8783,74.624146,-21.374346,0.8913
2023-06-04,0.8203,74.62415,-21.374363,0.4705
2023-06-05,0.7812,74.624146,-21.374363,0.1515
2023-06-06,0.7577,74.62414,-21.374353,0.0862
2023-06-07,0.7522,74.624144,-21.374352,0.0796
2023-06-08,0.7539,74.624141,-21.374348,0.1729
2023-06-09,0.7566,74.624145,-21.374352,0.5795
2023-06-10,0.8665,74.624145,-21.374344,0.7874
2023-06-11,0.8167,74.624151,-21.37436,0.5946
2023-06-12,0.7552,74.624148,-21.374351,0.1039
2023-06-13,0.7169,74.624146,-21.374371,0.046
2023-06-14,0.7154,74.624145,-21.374349,0.2636
2023-06-15,0.7024,74.624144,-21.374372,0.2198
2023-06-16,0.7086,74.62414,-21.374371,0.4606
2023-06-17,0.7897,74.624141,-21.374354,0.9045
2023-06-18,0.7181,74.624145,-21.374351,0.7321
2023-06-19,0.6927,74.624143,-21.374352,0.428
2023-06-20,0.7388,74.624145,-21.374368,0.7732
2023-06-21,0.8049,74.624144,-21.374352,0.9427
2023-06-22,0.6456,74.624144,-21.374343,0.7234
