time,alb_ZAK_Uv3,lat_ZAK_Uv3,lon_ZAK_Uv3,cloud_ZAK_Uv3
2022-05-01,0.7995,74.643396,-21.462602,0.534
2022-05-02,0.7864,74.643393,-21.462596,0.1037
2022-05-03,0.7849,74.643391,-21.462594,0.1229
2022-05-04,0.779,74.643396,-21.462588,0.1189
2022-05-05,0.7782,74.643391,-21.462589,0.1171
2022-05-06,0.7849,74.643391,-21.462597,0.1422
2022-05-07,0.7785,74.643394,-21.462596,0.1455
2022-05-08,0.7734,74.64339,-21.46259,0.1058
2022-05-09,0.7812,74.643391,-21.462586,0.1222
2022-05-10,0.7726,74.643391,-21.462592,0.1016
2022-05-11,0.7736,74.643397,-21.462595,0.1026
2022-05-12,0.7752,74.643398,-21.462599,0.0914
2022-05-13,0.7701,74.643397,-21.462572,0.0873
2022-05-14,0.772,74.643394,-21.462579,0.0759
2022-05-15,0.7685,74.643397,-21.462587,0.054
2022-05-16,0.7707,74.643396,-21.462575,0.0428
2022-05-17,0.7667,74.643391,-21.462584,0.0473
2022-05-18,0.7831,74.64339,-21.462574,0.2481
2022-05-19,0.7781,74.643389,-21.462568,0.1888
2022-05-20,0.7882,74.643389,-21.462559,0.3361
2022-05-21,0.7725,74.643391,-21.462571,0.1729
2022-05-22,0.7692,74.64339,-21.462566,0.1695
2022-05-23,0.767,74.643389,-21.462569,0.1748
2022-05-24,0.7891,74.643392,-21.462566,0.5138
2022-05-25,0.8054,74.643392,-21.46258,0.8256
2022-05-26,0.7894,74.643394,-21.462583,0.5223
2022-05-27,0.7608,74.643395,-21.462571,0.2436
2022-05-28,0.7424,74.643396,-21.462565,0.0222
2022-05-29,0.7046,74.643397,-21.462564,0.125
2022-05-30,0.6794,74.643397,-21.462563,0.3279
2022-05-31,0.6755,74.643391,-21.462552,0.7072
2022-06-01,0.6528,74.643388,-21.462551,0.449
2022-06-02,0.6496,74.643392,-21.462553,0.5893
2022-06-03,0.6351,74.643394,-21.46254,0.0921
2022-06-04,0.6189,74.643389,-21.462547,0.0461
2022-06-05,0.6687,74.643392,-21.462552,0.4926
2022-06-06,0.7038,74.643388,-21.462554,0.7437
2022-06-07,0.6151,74.643391,-21.462554,0.3064
2022-06-08,0.5886,74.643389,-21.462552,0.0735
2022-06-09,0.5704,74.64339,-21.462548,0.042
2022-06-10,0.5585,74.643394,-21.46255,0.063
2022-06-11,0.5854,74.643393,-21.462538,0.3273
2022-06-12,0.6134,74.643398,-21.462538,0.624
2022-06-13,0.6095,74.643394,-21.462541,0.4724
2022-06-14,0.6345,74.643393,-21.462539,0.6914
2022-06-15,0.5944,74.643386,-21.462523,0.271
2022-06-16,0.5779,74.643388,-21.462527,0.2362
2022-06-17,0.5408,74.643385,-21.462519,0.8209
2022-06-18,0.4996,74.643391,-21.462524,0.4608
2022-06-19,0.6898,74.643389,-21.462521,0.8669
2022-06-20,0.5227,74.643386,-21.462518,0.5259
2022-06-21,0.4845,74.643387,-21.462514,0.4838
2022-06-22,0.6132,74.643383,-21.462524,0.7551
2022-06-23,0.7719,74.643386,-21.462525,0.8582
2022-06-24,0.7302,74.643388,-21.462522,0.8408
2022-06-25,0.7924,74.64339,-21.462499,0.8891
2022-06-26,0.6695,74.643393,-21.46251,0.5437
2022-06-27,0.579,74.643389,-21.46251,0.5323
2022-06-28,0.467,74.64339,-21.462476,0.9234
2022-06-29,0.4324,74.643386,-21.462504,0.2472
2022-06-30,0.4183,74.643385,-21.462497,0.0561
2022-07-01,0.4041,74.643385,-21.462498,0.6091
2022-07-02,0.4139,74.643387,-21.462485,0.568
2022-07-03,0.4003,74.643386,-21.462506,0.6803
2022-07-04,0.4187,74.643385,-21.462479,0.882
2022-07-05,0.4099,74.643383,-21.462479,0.7313
2022-07-06,0.4224,74.643382,-21.462487,0.7286
2022-07-07,0.4492,74.643385,-21.462488,0.2801
2022-07-08,0.419,74.643385,-21.462487,0.4182
2022-07-09,0.4099,74.643386,-21.4625,0.2099
2022-07-10,0.3703,74.643387,-21.462486,0.7281
2022-07-11,0.3472,74.64339,-21.462475,0.5297
2022-07-12,0.3373,74.643381,-21.462459,0.253
2022-07-13,0.3115,74.643387,-21.462464,0.2982
2022-07-14,0.2792,74.643389,-21.462441,0.7439
2022-07-15,0.2907,74.643381,-21.462417,0.3822
2022-07-16,0.3047,74.643376,-21.462425,0.3869
2022-07-17,0.2673,74.643381,-21.462399,0.8958
2022-07-18,0.2279,74.643377,-21.4624,0.8783
2022-07-19,0.2373,74.643377,-21.462391,0.9376
2022-07-20,0.2602,74.643379,-21.462366,0.8511
2022-07-21,0.2544,74.643382,-21.46241,0.2401
2022-07-22,0.2443,74.643384,-21.462406,0.0647
