,time,alb_QAS_L,lat_QAS_L,lon_QAS_L,cloud_QAS_L,alb_CEN1,lat_CEN1,lon_CEN1,cloud_CEN1,alb_CEN2,lat_CEN2,lon_CEN2,cloud_CEN2,alb_CP1,lat_CP1,lon_CP1,cloud_CP1,alb_DY2,lat_DY2,lon_DY2,cloud_DY2,alb_EGP,lat_EGP,lon_EGP,cloud_EGP,alb_FRE,lat_FRE,lon_FRE,cloud_FRE,alb_HUM,lat_HUM,lon_HUM,cloud_HUM,alb_JAR,lat_JAR,lon_JAR,cloud_JAR,alb_JAR_O,lat_JAR_O,lon_JAR_O,cloud_JAR_O,alb_KAN_L,lat_KAN_L,lon_KAN_L,cloud_KAN_L,alb_KAN_Lv3,lat_KAN_Lv3,lon_KAN_Lv3,cloud_KAN_Lv3,alb_KAN_M,lat_KAN_M,lon_KAN_M,cloud_KAN_M,alb_KAN_U,lat_KAN_U,lon_KAN_U,cloud_KAN_U,alb_KPC_L,lat_KPC_L,lon_KPC_L,cloud_KPC_L,alb_KPC_U,lat_KPC_U,lon_KPC_U,cloud_KPC_U,alb_NAE,lat_NAE,lon_NAE,cloud_NAE,alb_NAU,lat_NAU,lon_NAU,cloud_NAU,alb_NEM,lat_NEM,lon_NEM,cloud_NEM,alb_NSE,lat_NSE,lon_NSE,cloud_NSE,alb_NUK_K,lat_NUK_K,lon_NUK_K,cloud_NUK_K,alb_NUK_L,lat_NUK_L,lon_NUK_L,cloud_NUK_L,alb_NUK_N,lat_NUK_N,lon_NUK_N,cloud_NUK_N,alb_NUK_Uv3,lat_NUK_Uv3,lon_NUK_Uv3,cloud_NUK_Uv3,alb_QAS_A,lat_QAS_A,lon_QAS_A,cloud_QAS_A,alb_QAS_L_y,lat_QAS_L_y,lon_QAS_L_y,cloud_QAS_L_y,alb_QAS_Lv3,lat_QAS_Lv3,lon_QAS_Lv3,cloud_QAS_Lv3,alb_QAS_M,lat_QAS_M,lon_QAS_M,cloud_QAS_M,alb_QAS_Mv3,lat_QAS_Mv3,lon_QAS_Mv3,cloud_QAS_Mv3,alb_QAS_U,lat_QAS_U,lon_QAS_U,cloud_QAS_U,alb_SCO_L,lat_SCO_L,lon_SCO_L,cloud_SCO_L,alb_SCO_U,lat_SCO_U,lon_SCO_U,cloud_SCO_U,alb_SDL,lat_SDL,lon_SDL,cloud_SDL,alb_SDM,lat_SDM,lon_SDM,cloud_SDM,alb_SWC,lat_SWC,lon_SWC,cloud_SWC,alb_SWC_O,lat_SWC_O,lon_SWC_O,cloud_SWC_O,alb_TAS_A,lat_TAS_A,lon_TAS_A,cloud_TAS_A,alb_TAS_L,lat_TAS_L,lon_TAS_L,cloud_TAS_L,alb_TAS_U,lat_TAS_U,lon_TAS_U,cloud_TAS_U,alb_THU_L,lat_THU_L,lon_THU_L,cloud_THU_L,alb_THU_U,lat_THU_U,lon_THU_U,cloud_THU_U,alb_THU_U2,lat_THU_U2,lon_THU_U2,cloud_THU_U2,alb_TUN,lat_TUN,lon_TUN,cloud_TUN,alb_UPE_L,lat_UPE_L,lon_UPE_L,cloud_UPE_L,alb_UPE_U,lat_UPE_U,lon_UPE_U,cloud_UPE_U,alb_WEG_L,lat_WEG_L,lon_WEG_L,cloud_WEG_L,alb_ZAK_Lv3,lat_ZAK_Lv3,lon_ZAK_Lv3,cloud_ZAK_Lv3,alb_ZAK_Uv3,lat_ZAK_Uv3,lon_ZAK_Uv3,cloud_ZAK_Uv3
0,2017-05-01,0.7292,61.030726,-46.849103,0.1725,,,,,,,,,,,,,,,,,0.824,75.624933,-35.974062,0.3702,,,,,,,,,,,,,,,,,0.5838,67.095339,-49.952066,0.0619,,,,,0.8028,67.066993,-48.83663,0.0787,0.8461,67.000409,-47.02649,0.4274,0.8068,79.910885,-24.082597,0.2233,0.8159,79.834665,-25.165685,0.2591,,,,,,,,,,,,,,,,,,,,,0.6457,64.482467,-49.53695,0.1451,,,,,,,,,,,,,0.7292,61.030726,-46.849103,0.1725,,,,,0.1212,61.09971,-46.833054,0.9535,,,,,0.0656,61.175002,-46.819724,0.9913,0.7834,72.22262,-26.818084,0.27,0.8862,72.394047,-27.252486,0.2365,,,,,,,,,,,,,,,,,0.5198,65.778535,-38.898733,0.8656,,,,,,,,,0.7508,76.399813,-68.26649,0.2889,0.7752,76.419655,-68.146382,0.2332,,,,,,,,,0.7409,72.893222,-54.295437,0.1614,0.7887,72.887554,-53.581606,0.0714,,,,,,,,,,,,
1,2017-05-02,0.7154,61.030768,-46.849127,0.3201,,,,,,,,,,,,,,,,,0.8279,75.624938,-35.974067,0.3417,,,,,,,,,,,,,,,,,0.6142,67.095336,-49.952072,0.5915,,,,,0.8021,67.066993,-48.836637,0.3134,0.8293,67.000415,-47.026518,0.278,0.8002,79.910884,-24.08261,0.3545,0.8174,79.834667,-25.165732,0.326,,,,,,,,,,,,,,,,,,,,,0.8553,64.482468,-49.536959,0.8144,,,,,,,,,,,,,0.7154,61.030768,-46.849127,0.3201,,,,,0.0938,61.099691,-46.833055,0.9606,,,,,0.0586,61.175015,-46.819728,0.9911,0.8099,72.22262,-26.818079,0.4588,0.8403,72.394047,-27.252486,0.4333,,,,,,,,,,,,,,,,,0.3046,65.778529,-38.89872,0.9519,,,,,,,,,0.7471,76.39981,-68.266504,0.1043,0.7636,76.419658,-68.146402,0.0498,,,,,,,,,0.6619,72.893225,-54.29544,0.1715,0.7847,72.88755,-53.581627,0.0958,,,,,,,,,,,,
2,2017-05-03,0.7208,61.030769,-46.849099,0.2413,,,,,,,,,,,,,,,,,0.8355,75.624938,-35.974059,0.3821,,,,,,,,,,,,,,,,,0.622,67.095337,-49.952072,0.5585,,,,,0.8063,67.066992,-48.836642,0.5,0.8823,67.000407,-47.026488,0.8101,0.8013,79.910885,-24.08261,0.4668,0.8203,79.834673,-25.165612,0.2964,,,,,,,,,,,,,,,,,,,,,0.6887,64.48247,-49.536966,0.5122,,,,,,,,,,,,,0.7208,61.030769,-46.849099,0.2413,,,,,0.0424,61.099692,-46.833059,0.8187,,,,,0.0494,61.175002,-46.819722,0.9947,0.7745,72.222619,-26.818075,0.5749,0.8503,72.394047,-27.252486,0.5361,,,,,,,,,,,,,,,,,0.3722,65.778531,-38.898734,1.0,,,,,,,,,0.8804,76.399809,-68.266497,0.6489,0.8683,76.419657,-68.14638,0.6676,,,,,,,,,0.8566,72.893226,-54.295436,0.988,0.8412,72.887548,-53.581633,0.7235,,,,,,,,,,,,
3,2017-05-04,0.7678,61.030769,-46.849094,0.7611,,,,,,,,,,,,,,,,,0.8418,75.624933,-35.974063,0.2746,,,,,,,,,,,,,,,,,0.5333,67.095335,-49.952081,0.5997,,,,,0.8062,67.066992,-48.836651,0.5028,0.831,67.000411,-47.026487,0.4795,0.7767,79.910886,-24.082618,0.489,0.812,79.834667,-25.165687,0.3755,,,,,,,,,,,,,,,,,,,,,0.7433,64.48247,-49.536978,0.7432,,,,,,,,,,,,,0.7678,61.030769,-46.849094,0.7611,,,,,0.2659,61.099715,-46.833079,0.8253,,,,,0.3854,61.17501,-46.81973,1.0,0.7287,72.222613,-26.81809,0.3221,0.7906,72.394047,-27.252486,0.2197,,,,,,,,,,,,,,,,,0.755,65.778531,-38.898728,0.9883,,,,,,,,,0.8028,76.399812,-68.266504,0.6911,0.8027,76.419659,-68.14641,0.6294,,,,,,,,,0.724,72.893225,-54.295441,0.7673,0.7989,72.887546,-53.581652,0.314,,,,,,,,,,,,
4,2017-05-05,0.7242,61.030778,-46.849093,0.4399,,,,,,,,,,,,,,,,,0.8352,75.624937,-35.974086,0.4855,,,,,,,,,,,,,,,,,0.5393,67.095334,-49.952084,0.3008,,,,,0.7877,67.066993,-48.836658,0.3297,0.8526,67.00041,-47.026489,0.3239,0.8002,79.910886,-24.082624,0.2193,0.8119,79.834673,-25.165584,0.244,,,,,,,,,,,,,,,,,,,,,0.6743,64.482471,-49.536982,0.3767,,,,,,,,,,,,,0.7242,61.030778,-46.849093,0.4399,,,,,0.6754,61.099722,-46.833069,0.6066,,,,,0.2782,61.175013,-46.819744,1.0,0.6821,72.222615,-26.818077,0.1896,0.7604,72.394047,-27.252486,0.1035,,,,,,,,,,,,,,,,,0.779,65.778523,-38.898735,0.9086,,,,,,,,,0.7947,76.399801,-68.266502,0.4803,0.8118,76.419629,-68.146378,0.4134,,,,,,,,,0.7713,72.893224,-54.295448,0.7073,0.8625,72.887541,-53.581664,0.575,,,,,,,,,,,,
5,2017-05-06,0.6862,61.030772,-46.849098,0.2222,,,,,,,,,,,,,,,,,0.8111,75.624937,-35.974056,0.5008,,,,,,,,,,,,,,,,,0.5401,67.095335,-49.952083,0.3117,,,,,0.7383,67.066995,-48.836668,0.1985,0.8158,67.00041,-47.026479,0.221,0.7894,79.910887,-24.082607,0.3353,0.8164,79.834664,-25.165666,0.2914,,,,,,,,,,,,,,,,,,,,,0.5903,64.482472,-49.53698,0.1157,,,,,,,,,,,,,0.6862,61.030772,-46.849098,0.2222,,,,,0.7126,61.09973,-46.833054,0.2573,,,,,0.3078,61.174989,-46.819741,1.0,0.6601,72.222617,-26.8181,0.2427,0.7442,72.394047,-27.252486,0.1362,,,,,,,,,,,,,,,,,0.7111,65.778521,-38.898727,0.3425,,,,,,,,,0.7571,76.399808,-68.266508,0.3393,0.7771,76.419665,-68.146387,0.2688,,,,,,,,,0.7194,72.893225,-54.295439,0.63,0.8035,72.887542,-53.581683,0.6131,,,,,,,,,,,,
6,2017-05-07,0.681,61.030765,-46.849099,0.2496,,,,,,,,,,,,,,,,,0.8069,75.624945,-35.974058,0.4811,,,,,,,,,,,,,,,,,0.5825,67.095337,-49.952092,0.3663,,,,,0.7744,67.066996,-48.83667,0.3619,0.8253,67.00041,-47.026529,0.3336,0.8002,79.910889,-24.082608,0.2033,0.8162,79.834675,-25.165722,0.2555,,,,,,,,,,,,,,,,,,,,,0.6102,64.48247,-49.536991,0.1342,,,,,,,,,,,,,0.681,61.030765,-46.849099,0.2496,,,,,0.7178,61.099694,-46.833053,0.2223,,,,,0.4461,61.175002,-46.819731,1.0,0.6477,72.222612,-26.8181,0.2982,0.7292,72.394047,-27.252486,0.2526,,,,,,,,,,,,,,,,,0.715,65.778527,-38.898732,0.2939,,,,,,,,,0.8163,76.399806,-68.266507,0.7959,0.8198,76.419671,-68.146412,0.85,,,,,,,,,0.7174,72.893229,-54.295448,0.9048,0.8866,72.887545,-53.581703,0.9209,,,,,,,,,,,,
7,2017-05-08,0.6848,61.030762,-46.849088,0.6374,,,,,,,,,,,,,,,,,0.8222,75.624944,-35.974051,0.4846,,,,,,,,,,,,,,,,,0.6452,67.095337,-49.952096,0.7755,,,,,0.8709,67.066995,-48.836679,0.7745,0.903,67.000413,-47.026481,0.8882,0.7986,79.910887,-24.082608,0.6038,0.8191,79.834672,-25.165692,0.6083,,,,,,,,,,,,,,,,,,,,,0.7074,64.482473,-49.537001,0.6072,,,,,,,,,,,,,0.6848,61.030762,-46.849088,0.6374,,,,,0.7162,61.099694,-46.83306,0.2218,,,,,0.4977,61.175001,-46.81973,1.0,0.6556,72.222601,-26.818095,0.3969,0.7293,72.394047,-27.252486,0.2439,,,,,,,,,,,,,,,,,0.7028,65.778523,-38.898717,0.2606,,,,,,,,,0.8369,76.399805,-68.266509,0.797,0.8129,76.419661,-68.146396,0.8176,,,,,,,,,0.8677,72.893228,-54.295455,0.9861,0.9232,72.887543,-53.581716,0.9932,,,,,,,,,,,,
8,2017-05-09,0.6731,61.030769,-46.849092,0.3927,,,,,,,,,,,,,,,,,0.8262,75.624942,-35.974066,0.4344,,,,,,,,,,,,,,,,,0.5958,67.095336,-49.952095,0.9674,,,,,0.8133,67.066995,-48.836682,0.9113,0.9152,67.0004,-47.026512,0.9577,0.7834,79.910886,-24.082605,0.6972,0.8505,79.834672,-25.165635,0.7285,,,,,,,,,,,,,,,,,,,,,0.6034,64.482473,-49.53701,0.8681,,,,,,,,,,,,,0.6731,61.030769,-46.849092,0.3927,,,,,0.7283,61.099688,-46.833046,0.4152,,,,,0.3739,61.175008,-46.819721,0.9662,0.7819,72.222607,-26.818092,0.9247,0.7658,72.394047,-27.252486,0.5745,,,,,,,,,,,,,,,,,0.7607,65.778518,-38.898708,0.5646,,,,,,,,,0.8323,76.399817,-68.266471,0.6309,0.8091,76.419658,-68.146394,0.5307,,,,,,,,,0.7806,72.893226,-54.29545,0.9435,0.8219,72.88754,-53.58173,0.6969,,,,,,,,,,,,
9,2017-05-10,0.6657,61.030771,-46.84909,0.4811,,,,,,,,,,,,,,,,,0.8303,75.624942,-35.974062,0.3164,,,,,,,,,,,,,,,,,0.5602,67.095335,-49.952108,0.2026,,,,,0.7231,67.066997,-48.836686,0.1545,0.805,67.000418,-47.026522,0.1386,0.7898,79.910889,-24.082607,0.2218,0.8358,79.83467,-25.165648,0.232,,,,,,,,,,,,,,,,,0.1292,64.162265,-51.35868,0.473,0.5821,64.482472,-49.53702,0.2711,,,,,,,,,,,,,0.6657,61.030771,-46.84909,0.4811,,,,,0.768,61.099689,-46.83307,0.5639,,,,,0.6368,61.175007,-46.819735,0.6553,0.7132,72.222601,-26.818083,0.3573,0.8477,72.394047,-27.252486,0.3775,,,,,,,,,,,,,,,,,0.6988,65.778518,-38.898705,0.3524,,,,,,,,,0.8251,76.399805,-68.266486,0.8883,0.8198,76.419661,-68.146407,0.9143,,,,,,,,,0.7143,72.893226,-54.295441,0.368,0.7938,72.887545,-53.58175,0.1096,,,,,,,,,,,,
