date,site,alb_sat,alb_AWS,cloud
2017_05_01,EGP,0.824,0.824,0.3702
2017_05_01,KAN_L,0.701,0.5838,0.0619
2017_05_01,KAN_M,0.810,0.8028,0.0787
2017_05_01,KAN_U,0.837,0.8461,0.4274
2017_05_01,KPC_L,0.717,0.8068,0.2233
2017_05_01,KPC_U,0.789,0.8159,0.2591
2017_05_01,NUK_L,0.615,0.6457,0.1451
2017_05_01,QAS_L,0.747,0.7292,0.1725
2017_05_01,QAS_M,0.747,0.1212,0.9535
2017_05_01,QAS_U,0.763,0.0656,0.9913
2017_05_01,SCO_L,0.696,0.7834,0.27
2017_05_01,SCO_U,0.754,0.8862,0.2365
2017_05_01,TAS_A,0.724,0.5198,0.8656
2017_05_01,THU_L,0.797,0.7508,0.2889
2017_05_01,THU_U,0.808,0.7752,0.2332
2017_05_01,UPE_L,0.759,0.7409,0.1614
2017_05_01,UPE_U,0.800,0.7887,0.0714
2017_05_02,EGP,0.822,0.8279,0.3417
2017_05_02,KAN_L,0.700,0.6142,0.5915
2017_05_02,KAN_M,0.809,0.8021,0.3134
2017_05_02,KAN_U,0.837,0.8293,0.278
2017_05_02,KPC_L,0.713,0.8002,0.3545
2017_05_02,KPC_U,0.788,0.8174,0.326
2017_05_02,NUK_L,0.614,0.8553,0.8144
2017_05_02,QAS_L,0.746,0.7154,0.3201
2017_05_02,QAS_M,0.748,0.0938,0.9606
2017_05_02,QAS_U,0.763,0.0586,0.9911
2017_05_02,SCO_L,0.653,0.8099,0.4588
2017_05_02,SCO_U,0.709,0.8403,0.4333
2017_05_02,TAS_A,0.724,0.3046,0.9519
2017_05_02,THU_L,0.796,0.7471,0.1043
2017_05_02,THU_U,0.795,0.7636,0.0498
2017_05_02,UPE_L,0.728,0.6619,0.1715
2017_05_02,UPE_U,0.796,0.7847,0.0958
2017_05_03,EGP,0.822,0.8355,0.3821
2017_05_03,KAN_L,0.680,0.622,0.5585
2017_05_03,KAN_M,0.806,0.8063,0.5
2017_05_03,KAN_U,0.836,0.8823,0.8101
2017_05_03,KPC_L,0.708,0.8013,0.4668
2017_05_03,KPC_U,0.788,0.8203,0.2964
2017_05_03,NUK_L,0.608,0.6887,0.5122
2017_05_03,QAS_L,0.745,0.7208,0.2413
2017_05_03,QAS_M,0.747,0.0424,0.8187
2017_05_03,QAS_U,0.762,0.0494,0.9947
2017_05_03,SCO_L,0.667,0.7745,0.5749
2017_05_03,SCO_U,0.731,0.8503,0.5361
2017_05_03,TAS_A,0.724,0.3722,1.0
2017_05_03,THU_L,0.785,0.8804,0.6489
2017_05_03,THU_U,0.794,0.8683,0.6676
2017_05_03,UPE_L,0.741,0.8566,0.988
2017_05_03,UPE_U,0.818,0.8412,0.7235
2017_05_04,EGP,0.821,0.8418,0.2746
