date,site,alb_s3,alb_AWS,cloud
2017-05-01,EGP,0.847,0.824,0.3702
2017-05-01,KAN_L,nan,0.5838,0.0619
2017-05-01,KAN_M,0.841,0.8028,0.0787
2017-05-01,KAN_U,nan,0.8461,0.4274
2017-05-01,KPC_L,nan,0.8068,0.2233
2017-05-01,KPC_U,0.848,0.8159,0.2591
2017-05-01,NUK_L,nan,0.6457,0.1451
2017-05-01,QAS_L,0.795,0.7292,0.1725
2017-05-01,QAS_M,0.778,0.1212,0.9535
2017-05-01,QAS_U,0.816,0.0656,0.9913
2017-05-01,SCO_L,nan,0.7834,0.27
2017-05-01,SCO_U,nan,0.8862,0.2365
2017-05-01,TAS_A,nan,0.5198,0.8656
2017-05-01,THU_L,nan,0.7508,0.2889
2017-05-01,THU_U,0.816,0.7752,0.2332
2017-05-01,UPE_L,nan,0.7409,0.1614
2017-05-01,UPE_U,nan,0.7887,0.0714
2017-05-02,EGP,0.828,0.8279,0.3417
2017-05-02,KAN_L,nan,0.6142,0.5915
2017-05-02,KAN_M,0.839,0.8021,0.3134
2017-05-02,KAN_U,0.839,0.8293,0.278
2017-05-02,KPC_L,nan,0.8002,0.3545
2017-05-02,KPC_U,0.846,0.8174,0.326
2017-05-02,NUK_L,nan,0.8553,0.8144
2017-05-02,QAS_L,nan,0.7154,0.3201
2017-05-02,QAS_M,nan,0.0938,0.9606
2017-05-02,QAS_U,nan,0.0586,0.9911
2017-05-02,SCO_L,nan,0.8099,0.4588
2017-05-02,SCO_U,nan,0.8403,0.4333
2017-05-02,TAS_A,nan,0.3046,0.9519
2017-05-02,THU_L,nan,0.7471,0.1043
2017-05-02,THU_U,0.817,0.7636,0.0498
2017-05-02,UPE_L,nan,0.6619,0.1715
2017-05-02,UPE_U,nan,0.7847,0.0958
2017-05-03,EGP,0.842,0.8355,0.3821
2017-05-03,KAN_L,nan,0.622,0.5585
2017-05-03,KAN_M,0.831,0.8063,0.5
2017-05-03,KAN_U,nan,0.8823,0.8101
2017-05-03,KPC_L,nan,0.8013,0.4668
2017-05-03,KPC_U,0.840,0.8203,0.2964
2017-05-03,NUK_L,nan,0.6887,0.5122
2017-05-03,QAS_L,0.797,0.7208,0.2413
2017-05-03,QAS_M,0.764,0.0424,0.8187
2017-05-03,QAS_U,0.806,0.0494,0.9947
2017-05-03,SCO_L,nan,0.7745,0.5749
2017-05-03,SCO_U,nan,0.8503,0.5361
2017-05-03,TAS_A,nan,0.3722,1.0
2017-05-03,THU_L,nan,0.8804,0.6489
2017-05-03,THU_U,nan,0.8683,0.6676
2017-05-03,UPE_L,nan,0.8566,0.988
2017-05-03,UPE_U,nan,0.8412,0.7235
2017-05-04,EGP,0.835,0.8418,0.2746
2017-05-04,KAN_L,0.701,0.5333,0.5997
2017-05-04,KAN_M,0.821,0.8062,0.5028
2017-05-04,KAN_U,0.828,0.831,0.4795
2017-05-04,KPC_L,nan,0.7767,0.489
2017-05-04,KPC_U,0.829,0.812,0.3755
2017-05-04,NUK_L,nan,0.7433,0.7432
2017-05-04,QAS_L,nan,0.7678,0.7611
2017-05-04,QAS_M,nan,0.2659,0.8253
2017-05-04,QAS_U,nan,0.3854,1.0
2017-05-04,SCO_L,nan,0.7287,0.3221
2017-05-04,SCO_U,nan,0.7906,0.2197
2017-05-04,TAS_A,nan,0.755,0.9883
2017-05-04,THU_L,nan,0.8028,0.6911
2017-05-04,THU_U,nan,0.8027,0.6294
2017-05-04,UPE_L,nan,0.724,0.7673
2017-05-04,UPE_U,nan,0.7989,0.314
2017-05-05,EGP,nan,0.8352,0.4855
2017-05-05,KAN_L,nan,0.5393,0.3008
2017-05-05,KAN_M,nan,0.7877,0.3297
2017-05-05,KAN_U,nan,0.8526,0.3239
2017-05-05,KPC_L,nan,0.8002,0.2193
2017-05-05,KPC_U,0.848,0.8119,0.244
2017-05-05,NUK_L,nan,0.6743,0.3767
2017-05-05,QAS_L,nan,0.7242,0.4399
2017-05-05,QAS_M,nan,0.6754,0.6066
2017-05-05,QAS_U,nan,0.2782,1.0
2017-05-05,SCO_L,nan,0.6821,0.1896
2017-05-05,SCO_U,0.799,0.7604,0.1035
2017-05-05,TAS_A,nan,0.779,0.9086
2017-05-05,THU_L,0.862,0.7947,0.4803
2017-05-05,THU_U,0.865,0.8118,0.4134
2017-05-05,UPE_L,nan,0.7713,0.7073
2017-05-05,UPE_U,nan,0.8625,0.575
2017-05-06,EGP,0.837,0.8111,0.5008
2017-05-06,KAN_L,0.660,0.5401,0.3117
2017-05-06,KAN_M,0.763,0.7383,0.1985
2017-05-06,KAN_U,0.830,0.8158,0.221
2017-05-06,KPC_L,nan,0.7894,0.3353
2017-05-06,KPC_U,0.820,0.8164,0.2914
2017-05-06,NUK_L,nan,0.5903,0.1157
2017-05-06,QAS_L,0.762,0.6862,0.2222
2017-05-06,QAS_M,0.742,0.7126,0.2573
2017-05-06,QAS_U,nan,0.3078,1.0
2017-05-06,SCO_L,nan,0.6601,0.2427
2017-05-06,SCO_U,nan,0.7442,0.1362
2017-05-06,TAS_A,0.735,0.7111,0.3425
2017-05-06,THU_L,0.825,0.7571,0.3393
2017-05-06,THU_U,0.834,0.7771,0.2688
2017-05-06,UPE_L,nan,0.7194,0.63
2017-05-06,UPE_U,nan,0.8035,0.6131
2017-05-07,EGP,nan,0.8069,0.4811
2017-05-07,KAN_L,nan,0.5825,0.3663
2017-05-07,KAN_M,0.776,0.7744,0.3619
2017-05-07,KAN_U,0.827,0.8253,0.3336
2017-05-07,KPC_L,nan,0.8002,0.2033
2017-05-07,KPC_U,0.822,0.8162,0.2555
2017-05-07,NUK_L,nan,0.6102,0.1342
2017-05-07,QAS_L,0.754,0.681,0.2496
2017-05-07,QAS_M,0.745,0.7178,0.2223
2017-05-07,QAS_U,0.753,0.4461,1.0
2017-05-07,SCO_L,nan,0.6477,0.2982
2017-05-07,SCO_U,nan,0.7292,0.2526
2017-05-07,TAS_A,0.744,0.715,0.2939
2017-05-07,THU_L,nan,0.8163,0.7959
2017-05-07,THU_U,nan,0.8198,0.85
2017-05-07,UPE_L,nan,0.7174,0.9048
2017-05-07,UPE_U,nan,0.8866,0.9209
2017-05-08,EGP,0.833,0.8222,0.4846
2017-05-08,KAN_L,nan,0.6452,0.7755
2017-05-08,KAN_M,nan,0.8709,0.7745
2017-05-08,KAN_U,nan,0.903,0.8882
2017-05-08,KPC_L,nan,0.7986,0.6038
2017-05-08,KPC_U,0.842,0.8191,0.6083
2017-05-08,NUK_L,nan,0.7074,0.6072
2017-05-08,QAS_L,nan,0.6848,0.6374
2017-05-08,QAS_M,0.739,0.7162,0.2218
2017-05-08,QAS_U,0.740,0.4977,1.0
2017-05-08,SCO_L,nan,0.6556,0.3969
2017-05-08,SCO_U,nan,0.7293,0.2439
2017-05-08,TAS_A,0.739,0.7028,0.2606
2017-05-08,THU_L,nan,0.8369,0.797
2017-05-08,THU_U,nan,0.8129,0.8176
2017-05-08,UPE_L,nan,0.8677,0.9861
2017-05-08,UPE_U,nan,0.9232,0.9932
2017-05-09,EGP,nan,0.8262,0.4344
2017-05-09,KAN_L,nan,0.5958,0.9674
2017-05-09,KAN_M,nan,0.8133,0.9113
2017-05-09,KAN_U,nan,0.9152,0.9577
2017-05-09,KPC_L,nan,0.7834,0.6972
2017-05-09,KPC_U,nan,0.8505,0.7285
2017-05-09,NUK_L,nan,0.6034,0.8681
2017-05-09,QAS_L,nan,0.6731,0.3927
2017-05-09,QAS_M,nan,0.7283,0.4152
2017-05-09,QAS_U,nan,0.3739,0.9662
2017-05-09,SCO_L,nan,0.7819,0.9247
2017-05-09,SCO_U,nan,0.7658,0.5745
2017-05-09,TAS_A,nan,0.7607,0.5646
2017-05-09,THU_L,nan,0.8323,0.6309
2017-05-09,THU_U,nan,0.8091,0.5307
2017-05-09,UPE_L,nan,0.7806,0.9435
2017-05-09,UPE_U,0.831,0.8219,0.6969
2017-05-10,EGP,0.847,0.8303,0.3164
2017-05-10,KAN_L,0.626,0.5602,0.2026
2017-05-10,KAN_M,0.755,0.7231,0.1545
2017-05-10,KAN_U,0.834,0.805,0.1386
2017-05-10,KPC_L,nan,0.7898,0.2218
2017-05-10,KPC_U,0.851,0.8358,0.232
2017-05-10,NUK_K,nan,0.1292,0.473
2017-05-10,NUK_L,nan,0.5821,0.2711
2017-05-10,QAS_L,0.734,0.6657,0.4811
2017-05-10,QAS_M,0.579,0.768,0.5639
2017-05-10,QAS_U,0.753,0.6368,0.6553
2017-05-10,SCO_L,nan,0.7132,0.3573
2017-05-10,SCO_U,nan,0.8477,0.3775
2017-05-10,TAS_A,0.714,0.6988,0.3524
2017-05-10,THU_L,nan,0.8251,0.8883
2017-05-10,THU_U,nan,0.8198,0.9143
2017-05-10,UPE_L,nan,0.7143,0.368
2017-05-10,UPE_U,0.835,0.7938,0.1096
2017-05-11,EGP,0.851,0.8203,0.4464
2017-05-11,KAN_L,0.683,0.6124,0.3989
2017-05-11,KAN_M,nan,0.7556,0.3869
2017-05-11,KAN_U,nan,0.8178,0.2066
2017-05-11,KPC_L,nan,0.7898,0.2414
2017-05-11,KPC_U,0.836,0.8341,0.2062
2017-05-11,NUK_K,nan,0.3302,0.1814
2017-05-11,NUK_L,nan,0.5903,0.8222
2017-05-11,QAS_L,nan,0.7051,0.632
2017-05-11,QAS_M,nan,0.7358,0.6842
2017-05-11,QAS_U,nan,0.722,0.4663
2017-05-11,SCO_L,nan,0.6966,0.4156
2017-05-11,SCO_U,nan,0.8282,0.3697
2017-05-11,TAS_A,nan,0.7223,0.5522
2017-05-11,THU_L,0.858,0.7474,0.5476
2017-05-11,THU_U,0.861,0.7247,0.4506
2017-05-11,UPE_L,nan,0.8318,0.8649
2017-05-11,UPE_U,nan,0.8868,0.8651
2017-05-12,EGP,0.851,0.7781,0.3581
2017-05-12,KAN_L,nan,0.7429,0.9205
2017-05-12,KAN_M,nan,0.8045,0.8148
2017-05-12,KAN_U,nan,0.862,0.6757
2017-05-12,KPC_L,nan,0.7871,0.1609
2017-05-12,KPC_U,0.835,0.8274,0.2177
2017-05-12,NUK_K,0.702,0.4596,0.2158
2017-05-12,NUK_L,nan,0.5405,0.528
2017-05-12,QAS_L,nan,0.8151,0.711
2017-05-12,QAS_M,nan,0.8613,0.7282
2017-05-12,QAS_U,nan,0.7595,0.5546
2017-05-12,SCO_L,nan,0.7895,0.707
2017-05-12,SCO_U,nan,0.8306,0.6269
2017-05-12,TAS_A,nan,0.8558,0.5914
2017-05-12,THU_L,nan,0.7677,0.1262
2017-05-12,THU_U,0.847,0.806,0.0826
2017-05-12,UPE_L,nan,0.8224,0.964
2017-05-12,UPE_U,nan,0.7913,0.3157
2017-05-13,EGP,0.826,0.8158,0.2045
2017-05-13,KAN_L,nan,0.6722,0.3193
2017-05-13,KAN_M,0.814,0.757,0.3173
2017-05-13,KAN_U,0.827,0.8185,0.241
2017-05-13,KPC_L,nan,0.7851,0.1972
2017-05-13,KPC_U,0.829,0.8254,0.2815
2017-05-13,NUK_K,nan,0.5365,0.7067
2017-05-13,NUK_L,nan,0.6583,0.6702
2017-05-13,QAS_L,nan,0.7732,0.5694
2017-05-13,QAS_M,nan,0.791,0.5335
2017-05-13,QAS_U,nan,0.7382,0.3781
2017-05-13,SCO_L,nan,0.7497,0.3555
2017-05-13,SCO_U,nan,0.8006,0.2565
2017-05-13,TAS_A,nan,0.7476,0.5266
2017-05-13,THU_L,0.831,0.764,0.2124
2017-05-13,THU_U,0.834,0.798,0.119
2017-05-13,UPE_L,nan,0.7983,0.7427
2017-05-13,UPE_U,0.840,0.7697,0.1108
2017-05-14,EGP,0.820,0.8206,0.2623
2017-05-14,KAN_L,nan,0.6423,0.0519
2017-05-14,KAN_M,0.789,0.7674,0.0689
2017-05-14,KAN_U,0.826,0.8165,0.0935
2017-05-14,KPC_L,nan,0.7686,0.3815
2017-05-14,KPC_U,0.853,0.8463,0.5357
2017-05-14,NUK_K,0.684,0.4989,0.1487
2017-05-14,NUK_L,nan,0.5499,0.0078
2017-05-14,QAS_L,nan,0.6924,0.1688
2017-05-14,QAS_M,0.901,0.7537,0.171
2017-05-14,QAS_U,0.846,0.7316,0.0195
2017-05-14,SCO_L,nan,0.7402,0.5593
2017-05-14,SCO_U,nan,0.8142,0.4968
2017-05-14,TAS_A,0.756,0.733,0.6378
2017-05-14,THU_L,nan,0.7641,0.1312
2017-05-14,THU_U,0.835,0.7884,0.0941
2017-05-14,UPE_L,nan,0.7661,0.4664
2017-05-14,UPE_U,0.835,0.8322,0.3403
2017-05-15,EGP,0.834,0.8028,0.3321
2017-05-15,KAN_L,0.695,0.6039,0.0915
2017-05-15,KAN_M,0.780,0.7582,0.117
2017-05-15,KAN_U,0.816,0.8095,0.1076
2017-05-15,KPC_L,nan,0.7855,0.1734
2017-05-15,KPC_U,0.836,0.828,0.223
2017-05-15,NUK_K,nan,0.5157,0.1375
2017-05-15,NUK_L,nan,0.5259,0.0418
2017-05-15,QAS_L,0.738,0.6665,0.1635
2017-05-15,QAS_M,0.812,0.717,0.1903
2017-05-15,QAS_U,nan,0.6898,0.0914
2017-05-15,SCO_L,nan,0.7262,0.4077
2017-05-15,SCO_U,nan,0.8103,0.3551
2017-05-15,TAS_A,nan,0.8778,0.9724
2017-05-15,THU_L,nan,0.7544,0.0938
2017-05-15,THU_U,0.824,0.7848,0.0847
2017-05-15,UPE_L,nan,0.741,0.5672
2017-05-15,UPE_U,nan,0.8182,0.4454
2017-05-16,EGP,0.831,0.7679,0.3094
2017-05-16,KAN_L,0.680,0.5742,0.1203
2017-05-16,KAN_M,0.778,0.7585,0.1147
2017-05-16,KAN_U,0.809,0.8034,0.1579
2017-05-16,KPC_L,nan,0.7829,0.2114
2017-05-16,KPC_U,0.836,0.819,0.2784
2017-05-16,NUK_K,nan,0.5757,0.3688
2017-05-16,NUK_L,nan,0.5075,0.0786
2017-05-16,QAS_L,nan,0.7077,0.6464
2017-05-16,QAS_M,nan,0.7191,0.2861
2017-05-16,QAS_U,0.767,0.7002,0.1545
2017-05-16,SCO_L,nan,0.7085,0.5429
2017-05-16,SCO_U,nan,0.7923,0.5174
2017-05-16,TAS_A,0.840,0.7741,0.458
2017-05-16,THU_L,nan,0.7671,0.169
2017-05-16,THU_U,0.818,0.7782,0.0811
2017-05-16,UPE_L,nan,0.7558,0.6737
2017-05-16,UPE_U,nan,0.8424,0.6828
2017-05-17,EGP,0.822,0.8003,0.4796
2017-05-17,KAN_L,nan,0.5727,0.327
2017-05-17,KAN_M,nan,0.7815,0.3504
2017-05-17,KAN_U,0.823,0.8237,0.3055
2017-05-17,KPC_L,nan,0.7808,0.266
2017-05-17,KPC_U,0.831,0.8213,0.3433
2017-05-17,NUK_K,nan,0.6755,0.9047
2017-05-17,NUK_L,nan,0.529,0.5624
2017-05-17,QAS_L,0.787,0.6749,0.4907
2017-05-17,QAS_M,0.744,0.7295,0.4582
